ucid,court,cid,year,filing_date,original_text,extracted_pretext,extracted_entity,Ent_span_start,Ent_span_end,Pre_span_start,Pre_span_end,docket_source,Entity_Extraction_Method,judge_enum,party_enum,pacer_id,docket_index
akd;;3:16-cr-00011,akd,3:16-cr-00011,2016,01/20/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cr-00113,akd,3:16-cr-00113,2016,09/22/2016,Timothy M. Burgess,,Timothy M. Burgess,0,18,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cv-00113,akd,3:16-cv-00113,2016,06/06/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_header,assigned_judge,0,,,
akd;;3:16-cv-00237,akd,3:16-cv-00237,2016,10/11/2016,H. Russel Holland,,H. Russel Holland,0,17,,,case_header,assigned_judge,0,,,
akd;;4:16-cr-00024,akd,4:16-cr-00024,2016,12/14/2016,Ralph R. Beistline,,Ralph R. Beistline,0,18,,,case_parties,assigned_judge,0,0.0,1.0,
almd;;2:16-cv-00187,almd,2:16-cv-00187,2016,03/21/2016,"Honorable Judge Wallace Capel, Jr",Honorable Judge,"Wallace Capel, Jr",16,33,0.0,15.0,case_header,referred_judges,1,,,
almd;;2:16-cv-00187,almd,2:16-cv-00187,2016,03/21/2016,Chief Judge Emily C. Marks,Chief Judge,Emily C. Marks,12,26,0.0,11.0,case_header,assigned_judge,0,,,
almd;;2:16-cv-00575,almd,2:16-cv-00575,2016,07/15/2016,"Honorable Judge Wallace Capel, Jr",Honorable Judge,"Wallace Capel, Jr",16,33,0.0,15.0,case_header,referred_judges,1,,,
almd;;2:16-cv-00575,almd,2:16-cv-00575,2016,07/15/2016,Chief Judge Emily C. Marks,Chief Judge,Emily C. Marks,12,26,0.0,11.0,case_header,assigned_judge,0,,,
almd;;2:16-cv-00675,almd,2:16-cv-00675,2016,08/15/2016,Gray M. Borden,,Gray M. Borden,0,14,,,case_header,assigned_judge,0,,,
almd;;3:16-cv-00189,almd,3:16-cv-00189,2016,03/21/2016,Honorable Judge Susan Russ Walker,Honorable Judge,Susan Russ Walker,16,33,0.0,15.0,case_header,referred_judges,1,,,
almd;;3:16-cv-00189,almd,3:16-cv-00189,2016,03/21/2016,Honorable Judge Myron H. Thompson,Honorable Judge,Myron H. Thompson,16,33,0.0,15.0,case_header,assigned_judge,0,,,
almd;;3:16-cv-00576,almd,3:16-cv-00576,2016,07/15/2016,"Honorable Judge Wallace Capel, Jr",Honorable Judge,"Wallace Capel, Jr",16,33,0.0,15.0,case_header,assigned_judge,0,,,
alnd;;2:16-cv-00853,alnd,2:16-cv-00853,2016,05/24/2016,R. David Proctor,,R. David Proctor,0,16,,,case_header,assigned_judge,0,,,
alnd;;2:16-cv-01714,alnd,2:16-cv-01714,2016,10/20/2016,"Judge C Lynwood Smith, Jr",Judge,"C Lynwood Smith, Jr",6,25,0.0,5.0,case_header,assigned_judge,0,,,
alnd;;3:16-cv-01379,alnd,3:16-cv-01379,2016,08/23/2016,John H. England III,,John H. England III,0,19,,,case_header,referred_judges,1,,,
alnd;;3:16-cv-01379,alnd,3:16-cv-01379,2016,08/23/2016,Madeline Hughes Haikala,,Madeline Hughes Haikala,0,23,,,case_header,assigned_judge,0,,,
alnd;;5:16-cv-00473,alnd,5:16-cv-00473,2016,03/23/2016,R. David Proctor,,R. David Proctor,0,16,,,case_header,assigned_judge,0,,,
alnd;;6:16-cv-01453,alnd,6:16-cv-01453,2016,09/02/2016,Staci G. Cornelius,,Staci G. Cornelius,0,18,,,case_header,referred_judges,1,,,
alnd;;6:16-cv-01453,alnd,6:16-cv-01453,2016,09/02/2016,Karon O. Bowdre,,Karon O. Bowdre,0,15,,,case_header,assigned_judge,0,,,
alsd;;1:16-cr-00104,alsd,1:16-cr-00104,2016,05/26/2016,Magistrate Judge Katherine P. Nelson,Magistrate Judge,Katherine P. Nelson,17,36,0.0,16.0,case_parties,referred_judges,1,0.0,1.0,
alsd;;1:16-cr-00104,alsd,1:16-cr-00104,2016,05/26/2016,Judge Kristi K. DuBose,Judge,Kristi K. DuBose,6,22,0.0,5.0,case_parties,assigned_judge,0,0.0,1.0,
alsd;;1:16-cv-00045,alsd,1:16-cv-00045,2016,01/28/2016,Katherine P. Nelson,,Katherine P. Nelson,0,19,,,case_header,referred_judges,1,,,
alsd;;1:16-cv-00045,alsd,1:16-cv-00045,2016,01/28/2016,William H. Steele,,William H. Steele,0,17,,,case_header,assigned_judge,0,,,
alsd;;1:16-cv-00098,alsd,1:16-cv-00098,2016,03/04/2016,Sonja F. Bivins,,Sonja F. Bivins,0,15,,,case_header,referred_judges,1,,,
alsd;;1:16-cv-00098,alsd,1:16-cv-00098,2016,03/04/2016,William H. Steele,,William H. Steele,0,17,,,case_header,assigned_judge,0,,,
alsd;;1:16-cv-00162,alsd,1:16-cv-00162,2016,04/15/2016,Sonja F. Bivins,,Sonja F. Bivins,0,15,,,case_header,referred_judges,1,,,
