ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,3,12/19/2016,Keith Michael Gerlinger. Signed by Judge Scott A. Oravec on 12/19/16.,72,141,Keith Michael Gerlinger. Signed by Judge,Scott A. Oravec,on 12/19/16.,113,128,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,4,12/19/2016,00 AM in Fairbanks Courtroom 2 before Scott A. Oravec. Counsel for the Government and Federal,121,214,00 AM in Fairbanks Courtroom 2 before,Scott A. Oravec,. Counsel for the Government and Federal,159,174,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,5,12/21/2016,Entry for proceedings held before Magistrate Judge Scott A. Oravec:Arraignment on Indictment 2 /Detention Hearing,7,120,Entry for proceedings held before Magistrate Judge,Scott A. Oravec,:Arraignment on Indictment 2 /Detention Hearing,58,73,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,7,12/21/2016,30 AM in Fairbanks Courtroom 1 before Ralph R. Beistline. Signed by Judge Scott A.,306,388,30 AM in Fairbanks Courtroom 1 before,Ralph R. Beistline,. Signed by Judge Scott A.,344,362,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,7,12/21/2016,R. Beistline. Signed by Judge Scott A. Oravec on 12/21/16.,350,408,R. Beistline. Signed by Judge,Scott A. Oravec,on 12/21/16.,380,395,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,8,12/21/2016,to Keith Michael Gerlinger Signed by Judge Scott A. Oravec on 12/21/16.,22,93,to Keith Michael Gerlinger Signed by Judge,Scott A. Oravec,on 12/21/16.,65,80,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,10,12/29/2016,30 AM in Fairbanks Courtroom 1 before Ralph R. Beistline. Government counsel may attend telephonically by,171,276,30 AM in Fairbanks Courtroom 1 before,Ralph R. Beistline,. Government counsel may attend telephonically by,209,227,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,14,02/09/2017,", in Fairbanks Courtroom 1 before Judge Ralph R. Beistline. cc: USM, USPO.",188,262,", in Fairbanks Courtroom 1 before Judge",Ralph R. Beistline,". cc: USM, USPO.",228,246,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,15,02/10/2017,Minute Entry for proceedings held before Judge Ralph R. Beistline:Change of Plea Hearing (Final,0,95,Minute Entry for proceedings held before Judge,Ralph R. Beistline,:Change of Plea Hearing (Final,47,65,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,15,02/10/2017,30 AM in Fairbanks Courtroom 1 before Ralph R. Beistline. Pursuant to Fed. R.,297,374,30 AM in Fairbanks Courtroom 1 before,Ralph R. Beistline,. Pursuant to Fed. R.,335,353,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,19,04/21/2017,26/2017. Signed by Judge Ralph R. Beistline on 4/21/17.,133,188,26/2017. Signed by Judge,Ralph R. Beistline,on 4/21/17.,158,176,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,21,05/31/2017,Gerlinger (1) Signed by Judge Ralph R. Beistline on 5/31/17.,55,115,Gerlinger (1) Signed by Judge,Ralph R. Beistline,on 5/31/17.,85,103,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,28,06/16/2017,Minute Entry for proceedings held before Judge Ralph R. Beistline:Imposition of Sentence held on 6,0,98,Minute Entry for proceedings held before Judge,Ralph R. Beistline,:Imposition of Sentence held on 6,47,65,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,29,06/19/2017,00 Special Assessment. Signed by Judge Ralph R. Beistline on 6/19/17.,109,178,00 Special Assessment. Signed by Judge,Ralph R. Beistline,on 6/19/17.,148,166,line_entry,SPACY JNLP2
akd;;4:16-cr-00024,akd,2016,4:16-cr-00024,32,02/05/2018,JUDGE BEISTLINE TEXT ORDER as to Keith Michael Gerlinger,0,56,JUDGE,BEISTLINE,TEXT ORDER as to Keith Michael Gerlinger,6,15,line_entry,SPACY JNLP2
