ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,25,03/29/2018,OPINION. Signed by Honorable Judge Myron H. Thompson on 3/29/2018.,0,66,OPINION. Signed by Honorable Judge,Myron H. Thompson,on 3/29/2018.,35,52,line_entry,SPACY JNLP2
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,26,03/29/2018,is closed. Signed by Honorable Judge Myron H. Thompson on 3/29/2018.,432,500,is closed. Signed by Honorable Judge,Myron H. Thompson,on 3/29/2018.,469,486,line_entry,SPACY JNLP2
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,30,04/26/2018,good faith. Signed by Honorable Judge Myron H. Thompson on 04/26/2018.,163,233,good faith. Signed by Honorable Judge,Myron H. Thompson,on 04/26/2018.,201,218,line_entry,SPACY JNLP2
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,31,04/26/2018,of Appealability. Signed by Honorable Judge Myron H. Thompson on 04/26/2018.,40,116,of Appealability. Signed by Honorable Judge,Myron H. Thompson,on 04/26/2018.,84,101,line_entry,SPACY JNLP2
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,36,10/04/2019,payment schedule. Signed by Honorable Judge Myron H. Thompson on 10/4/2019.,358,433,payment schedule. Signed by Honorable Judge,Myron H. Thompson,on 10/4/2019.,402,419,line_entry,SPACY JNLP2
almd;;3:16-cv-00189,almd,2016,3:16-cv-00189,37,10/04/2019,entered today. Signed by Honorable Judge Myron H. Thompson on 10/4/2019.,132,204,entered today. Signed by Honorable Judge,Myron H. Thompson,on 10/4/2019.,173,190,line_entry,SPACY JNLP2
almd;;3:16-cv-00576,almd,2016,3:16-cv-00576,4,07/20/2016,"is GRANTED. Signed by Honorable Judge Wallace Capel, Jr on 7/20/2016.",71,140,is GRANTED. Signed by Honorable Judge,"Wallace Capel, Jr",on 7/20/2016.,109,126,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,7,09/28/2016,in order. Signed by Honorable Judge Gray M. Borden on 9/28/16.,366,428,in order. Signed by Honorable Judge,Gray M. Borden,on 9/28/16.,402,416,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,10,10/05/2016,for plf. Signed by Honorable Judge Gray M. Borden on 10/5/16.,87,148,for plf. Signed by Honorable Judge,Gray M. Borden,on 10/5/16.,122,136,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,18,10/25/2016,"/19/2018 before Honorable Judge Gray M. Borden, in Courtroom 4E, FMJ US",56,127,/19/2018 before Honorable Judge,Gray M. Borden,", in Courtroom 4E, FMJ US",88,102,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,18,10/25/2016,"/6/2018 before Honorable Judge Gray M. Borden, in Montgomery, AL; Amended",168,241,/6/2018 before Honorable Judge,Gray M. Borden,", in Montgomery, AL; Amended",199,213,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,18,10/25/2016,in order. Signed by Honorable Judge Gray M. Borden on 10/25/16.,404,467,in order. Signed by Honorable Judge,Gray M. Borden,on 10/25/16.,440,454,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,20,11/01/2016,in order. Signed by Honorable Judge Gray M. Borden on 11/1/16.,86,148,in order. Signed by Honorable Judge,Gray M. Borden,on 11/1/16.,122,136,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,22,11/02/2016,/2016. Signed by Honorable Judge Gray M. Borden on 11/2/16.,116,175,/2016. Signed by Honorable Judge,Gray M. Borden,on 11/2/16.,149,163,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,24,11/03/2016,Protective Order. Signed by Honorable Judge Gray M. Borden on 11/3/16.,29,99,Protective Order. Signed by Honorable Judge,Gray M. Borden,on 11/3/16.,73,87,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,25,11/03/2016,in order. Signed by Honorable Judge Gray M. Borden on 11/3/16.,43,105,in order. Signed by Honorable Judge,Gray M. Borden,on 11/3/16.,79,93,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,27,05/16/2017,/2017. Signed by Honorable Judge Gray M. Borden on 5/16/17.,162,221,/2017. Signed by Honorable Judge,Gray M. Borden,on 5/16/17.,195,209,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,29,06/02/2017,be allowed. Signed by Honorable Judge Gray M. Borden on 6/2/2017.,565,630,be allowed. Signed by Honorable Judge,Gray M. Borden,on 6/2/2017.,603,617,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,31,06/22/2017,in order. Signed by Honorable Judge Gray M. Borden on 6/22/17.,70,132,in order. Signed by Honorable Judge,Gray M. Borden,on 6/22/17.,106,120,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,33,11/29/2017,-3975. Signed by Honorable Judge Gray M. Borden on 11/29/17.,743,803,-3975. Signed by Honorable Judge,Gray M. Borden,on 11/29/17.,776,790,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,34,11/29/2017,-3975. Signed by Honorable Judge Gray M. Borden on 11/29/17.,729,789,-3975. Signed by Honorable Judge,Gray M. Borden,on 11/29/17.,762,776,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,35,12/01/2017,Entry for proceedings held before Honorable Judge Gray M. Borden: Status Conference held on 12/,7,102,Entry for proceedings held before Honorable Judge,Gray M. Borden,: Status Conference held on 12/,57,71,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,36,12/01/2017,the chambers of United States Magistrate Judge Wallace Capel on or before 1/31/,138,217,the chambers of United States Magistrate Judge,Wallace Capel,on or before 1/31/,185,198,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,36,12/01/2017,that date. Signed by Honorable Judge Gray M. Borden on 12/1/17.,280,343,that date. Signed by Honorable Judge,Gray M. Borden,on 12/1/17.,317,331,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,40,12/26/2017,in order. Signed by Honorable Judge Gray M. Borden on 12/26/17.,182,245,in order. Signed by Honorable Judge,Gray M. Borden,on 12/26/17.,218,232,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,44,02/09/2018,"10:00 AM before Honorable Judge Wallace Capel Jr., in Courtroom 5A, US Courthouse",68,149,10:00 AM before Honorable Judge,Wallace Capel Jr.,", in Courtroom 5A, US Courthouse",100,117,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,44,02/09/2018,"other parties. Signed by Honorable Judge Wallace Capel, Jr on 2/9/18.",521,590,other parties. Signed by Honorable Judge,"Wallace Capel, Jr",on 2/9/18.,562,579,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,45,03/22/2018,"Entry for proceedings held before Honorable Judge Wallace Capel, Jr: Mediation Conference held on 3/",7,107,Entry for proceedings held before Honorable Judge,"Wallace Capel, Jr",: Mediation Conference held on 3/,57,74,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,47,04/11/2018,this court. Signed by Honorable Judge Gray M. Borden on 4/11/18.,164,228,this court. Signed by Honorable Judge,Gray M. Borden,on 4/11/18.,202,216,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,48,04/13/2018,". 40 . Signed by Honorable Judge Wallace Capel, Jr on 4/13/2018.",205,269,. 40 . Signed by Honorable Judge,"Wallace Capel, Jr",on 4/13/2018.,238,255,line_entry,SPACY JNLP2
almd;;2:16-cv-00675,almd,2016,2:16-cv-00675,50,05/15/2018,the file. Signed by Honorable Judge Gray M. Borden on 5/15/18.,303,365,the file. Signed by Honorable Judge,Gray M. Borden,on 5/15/18.,339,353,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,2,03/23/2016,"Correctional Facility. Signed by Honorable Judge Wallace Capel, Jr on 3/23/2016.",356,436,Correctional Facility. Signed by Honorable Judge,"Wallace Capel, Jr",on 3/23/2016.,405,422,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,5,04/22/2016,"of Alabama. Signed by Honorable Judge Wallace Capel, Jr on 4/22/2016.",250,319,of Alabama. Signed by Honorable Judge,"Wallace Capel, Jr",on 4/22/2016.,288,305,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,7,05/09/2016,"in order. Signed by Honorable Judge Wallace Capel, Jr on 5/9/2016.",134,200,in order. Signed by Honorable Judge,"Wallace Capel, Jr",on 5/9/2016.,170,187,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,10,05/18/2016,"Karla Jones. Signed by Honorable Judge Wallace Capel, Jr on 5/18/2016.",651,721,Karla Jones. Signed by Honorable Judge,"Wallace Capel, Jr",on 5/18/2016.,690,707,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,13,05/26/2016,"as directed. Signed by Honorable Judge Wallace Capel, Jr on 5/26/2016.",232,302,as directed. Signed by Honorable Judge,"Wallace Capel, Jr",on 5/26/2016.,271,288,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,18,06/07/2016,"Defendant Arnold. Signed by Honorable Judge Wallace Capel, Jr on 6/7/2016.",544,618,Defendant Arnold. Signed by Honorable Judge,"Wallace Capel, Jr",on 6/7/2016.,588,605,line_entry,SPACY JNLP2
almd;;2:16-cv-00187,almd,2016,2:16-cv-00187,21,06/28/2016,"of perjury. Signed by Honorable Judge Wallace Capel, Jr on 6/28/2016.",445,514,of perjury. Signed by Honorable Judge,"Wallace Capel, Jr",on 6/28/2016.,483,500,line_entry,SPACY JNLP2
