ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,15,06/29/2016,"Interpleader Complaint. Signed by Magistrate Judge T Michael Putnam on June 29, 2016. (",192,279,Interpleader Complaint. Signed by Magistrate Judge,T Michael Putnam,"on June 29, 2016. (",243,259,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,16,07/06/2016,"DANA M. EDMONDS ANSWER to 1 Complaint, COUNTERCLAIM against",0,59,,DANA M. EDMONDS,"ANSWER to 1 Complaint, COUNTERCLAIM against",0,15,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,19,07/08/2016,"Interpleader Complaint. Signed by Magistrate Judge T Michael Putnam on July 8, 2016. (",185,271,Interpleader Complaint. Signed by Magistrate Judge,T Michael Putnam,"on July 8, 2016. (",236,252,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,21,07/20/2016,of prosecution. Signed by Magistrate Judge T Michael Putnam on 7/20/16.,128,199,of prosecution. Signed by Magistrate Judge,T Michael Putnam,on 7/20/16.,171,187,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,25,08/02/2016,"of Time. Signed by Magistrate Judge T Michael Putnam on August 2, 2016. (",54,127,of Time. Signed by Magistrate Judge,T Michael Putnam,"on August 2, 2016. (",90,106,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,26,08/03/2016,provided within. Signed by Magistrate Judge T Michael Putnam on 8/3/16.,503,574,provided within. Signed by Magistrate Judge,T Michael Putnam,on 8/3/16.,547,563,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,33,08/23/2016,further proceedings. Signed by Magistrate Judge T Michael Putnam on 8/23/16.,290,366,further proceedings. Signed by Magistrate Judge,T Michael Putnam,on 8/23/16.,338,354,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,34,08/23/2016,action has been reassigned to the Honorable R. David Proctor. Please use case number 2:,47,134,action has been reassigned to the Honorable,R. David Proctor,. Please use case number 2:,91,107,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,35,08/24/2016,with appendices attached. Signed by Judge R David Proctor on 8/24/2016.,16,87,with appendices attached. Signed by Judge,R David Proctor,on 8/24/2016.,58,73,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,39,09/19/2016,DENIED WITHOUT PREJUDICE. Signed by Judge R David Proctor on 9/19/2016.,220,291,DENIED WITHOUT PREJUDICE. Signed by Judge,R David Proctor,on 9/19/2016.,262,277,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,40,10/06/2016,Black US Courthouse. Signed by Judge R David Proctor on 10/6/2016.,129,195,Black US Courthouse. Signed by Judge,R David Proctor,on 10/6/2016.,166,181,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,42,10/12/2016,the same day. Signed by Judge R David Proctor on 10/12/2016.,290,350,the same day. Signed by Judge,R David Proctor,on 10/12/2016.,320,335,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,43,10/17/2016,HIPAA PROTECTIVE ORDER. Signed by Judge R David Proctor on 10/17/2016.,10,80,HIPAA PROTECTIVE ORDER. Signed by Judge,R David Proctor,on 10/17/2016.,50,65,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,44,10/18/2016,Minute Entry for proceedings held before Judge R David Proctor: Scheduling Conference held on 10/,0,97,Minute Entry for proceedings held before Judge,R David Proctor,: Scheduling Conference held on 10/,47,62,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,45,10/20/2016,the scheduling conference. Signed by Judge R David Proctor on 10/20/2016.,370,443,the scheduling conference. Signed by Judge,R David Proctor,on 10/20/2016.,413,428,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,47,10/28/2016,"14, 2016. Signed by Judge R David Proctor on 10/28/2016.",505,561,"14, 2016. Signed by Judge",R David Proctor,on 10/28/2016.,531,546,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,50,11/08/2016,Cross-Claim. Signed by Judge R David Proctor on 11/8/2016.,435,493,Cross-Claim. Signed by Judge,R David Proctor,on 11/8/2016.,464,479,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,52,11/15/2016,28/2016. Signed by Judge R David Proctor on 11/15/2016.,398,453,28/2016. Signed by Judge,R David Proctor,on 11/15/2016.,423,438,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,55,11/22/2016,fees and disbursements. Signed by Judge R David Proctor on 11/22/2016.,1201,1271,fees and disbursements. Signed by Judge,R David Proctor,on 11/22/2016.,1241,1256,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,58,04/05/2017,at 2:00 p.m. before Judge R David Proctor. The call-in number is,83,147,at 2:00 p.m. before Judge,R David Proctor,. The call-in number is,109,124,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,58,04/05/2017,code is 6022965. Signed by Judge R David Proctor on 4/5/2017.,173,234,code is 6022965. Signed by Judge,R David Proctor,on 4/5/2017.,206,221,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,60,04/10/2017,Minute Entry for proceedings held before Judge R David Proctor: Telephone Conference held on 4/,0,95,Minute Entry for proceedings held before Judge,R David Proctor,: Telephone Conference held on 4/,47,62,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,61,04/10/2017,code is 6022965. Signed by Judge R David Proctor on 4/10/2017.,360,422,code is 6022965. Signed by Judge,R David Proctor,on 4/10/2017.,393,408,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,63,04/25/2017,Minute Entry for proceedings held before Judge R David Proctor: Telephone Conference held on 4/,0,95,Minute Entry for proceedings held before Judge,R David Proctor,: Telephone Conference held on 4/,47,62,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,64,04/25/2017,in April 2018. Signed by Judge R David Proctor on 4/25/2017.,226,286,in April 2018. Signed by Judge,R David Proctor,on 4/25/2017.,257,272,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,65,06/30/2017,TERMINATED as MOOT. Signed by Judge R David Proctor on 6/30/2017.,294,359,TERMINATED as MOOT. Signed by Judge,R David Proctor,on 6/30/2017.,330,345,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,67,07/05/2017,the Court promptly. Signed by Judge R David Proctor on 7/5/2017.,299,363,the Court promptly. Signed by Judge,R David Proctor,on 7/5/2017.,335,350,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,73,08/07/2017,Initial Order 35 . Signed by Judge R David Proctor on 8/7/2017.,224,287,Initial Order 35 . Signed by Judge,R David Proctor,on 8/7/2017.,259,274,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,75,08/10/2017,DISMISSED with prejudice. Signed by Judge R David Proctor on 8/10/2017.,64,135,DISMISSED with prejudice. Signed by Judge,R David Proctor,on 8/10/2017.,106,121,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,77,08/14/2017,"21, 2017. Signed by Judge R David Proctor on 8/14/2017.",483,538,"21, 2017. Signed by Judge",R David Proctor,on 8/14/2017.,509,524,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,83,08/24/2017,registry 55 56 . Signed by Judge R David Proctor on 8/24/2017.,346,408,registry 55 56 . Signed by Judge,R David Proctor,on 8/24/2017.,379,394,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,88,09/06/2017,"Order 35 ."" Signed by Judge R David Proctor on 9/6/2017.",333,389,"Order 35 ."" Signed by Judge",R David Proctor,on 9/6/2017.,361,376,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,90,09/11/2017,"13, 2017. Signed by Judge R David Proctor on 9/11/2017.",300,355,"13, 2017. Signed by Judge",R David Proctor,on 9/11/2017.,326,341,line_entry,SPACY JNLP2
alnd;;2:16-cv-00853,alnd,2016,2:16-cv-00853,93,09/29/2017,DENIED as moot. Signed by Judge R David Proctor on 9/28/2017.,627,688,DENIED as moot. Signed by Judge,R David Proctor,on 9/28/2017.,659,674,line_entry,SPACY JNLP2
