ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,2,02/12/2016,ENTRY for proceedings held before Magistrate Judge Bridget S. Bade: Initial Appearance as to Dagoberto Mendoza,7,117,ENTRY for proceedings held before Magistrate Judge,Bridget S. Bade,: Initial Appearance as to Dagoberto Mendoza,58,73,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,3,02/12/2016,-Ibarra. Signed by Magistrate Judge Bridget S Bade on 02/12/16.,42,105,-Ibarra. Signed by Magistrate Judge,Bridget S Bade,on 02/12/16.,78,92,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,5,03/04/2016,-Ibarra. Signed by Magistrate Judge David K. Duncan on 3/4/2016.,85,149,-Ibarra. Signed by Magistrate Judge,David K. Duncan,on 3/4/2016.,121,136,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,6,04/05/2016,"Phoenix, AZ 85003 before Magistrate Judge Bridget S Bade. (ATD) (Entered:",146,219,"Phoenix, AZ 85003 before Magistrate Judge",Bridget S Bade,. (ATD) (Entered:,188,202,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,7,04/05/2016,: No probable conflict re Magistrate Judge John Z Boyle. No probable conflict re Judge Diane,17,109,: No probable conflict re Magistrate Judge,John Z Boyle,. No probable conflict re Judge Diane,60,72,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,7,04/05/2016,Boyle. No probable conflict re Judge Diane J Humetewa. No probable conflict re Judge Steven,67,158,Boyle. No probable conflict re Judge,Diane J Humetewa,. No probable conflict re Judge Steven,104,120,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,7,04/05/2016,Humetewa. No probable conflict re Judge Steven P Logan. No probable conflict re Judge John,112,202,Humetewa. No probable conflict re Judge,Steven P Logan,. No probable conflict re Judge John,152,166,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,7,04/05/2016,Logan. No probable conflict re Judge John J Tuchi. Filed by USA as to Dagoberto,161,240,Logan. No probable conflict re Judge,John J Tuchi,. Filed by USA as to Dagoberto,198,210,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,8,04/13/2016,ENTRY for proceedings held before Magistrate Judge Bridget S. Bade: Arraignment as to Dagoberto Mendoza-,7,111,ENTRY for proceedings held before Magistrate Judge,Bridget S. Bade,: Arraignment as to Dagoberto Mendoza-,58,73,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,8,04/13/2016,", Phoenix, AZ 85003 before Judge Steven P. Logan. (Recorded by COURTSMART.)",520,595,", Phoenix, AZ 85003 before Judge",Steven P. Logan,. (Recorded by COURTSMART.),553,568,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,10,05/10/2016,", Phoenix, AZ 85003 before Judge Steven P Logan. Pretrial Motions due by 6/",212,287,", Phoenix, AZ 85003 before Judge",Steven P Logan,. Pretrial Motions due by 6/,245,259,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,10,05/10/2016,3/2016. Signed by Judge Steven P Logan on 5/10/16.,287,337,3/2016. Signed by Judge,Steven P Logan,on 5/10/16.,311,325,line_entry,SPACY JNLP2
azd;;2:16-cr-00400,azd,2016,2:16-cr-00400,11,06/15/2016,", Phoenix, AZ 85003 before Judge Steven P Logan. This is a TEXT ENTRY ONLY",144,218,", Phoenix, AZ 85003 before Judge",Steven P Logan,. This is a TEXT ENTRY ONLY,177,191,line_entry,SPACY JNLP2
