ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
caed;;2:16-cv-02461,caed,2016,2:16-cv-02461,0,05/01/2017, ORDER signed by Magistrate Judge Edmund F. Brennan on 5/1/2017 GRANTING,0,72, ORDER signed by Magistrate Judge,Edmund F. Brennan,on 5/1/2017 GRANTING,34,51,line_entry,SPACY JNLP2
caed;;2:16-cv-02461,caed,2016,2:16-cv-02461,1,05/01/2017,ORDER signed by Magistrate Judge Edmund F. Brennan on 5/1/2017 DIRECTING,0,72,ORDER signed by Magistrate Judge,Edmund F. Brennan,on 5/1/2017 DIRECTING,33,50,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,0,06/02/2017,"before U.S. Magistrate Judge Seng,signed by Magistrate Judge Stanley A",82,152,before U.S. Magistrate Judge,Seng,",signed by Magistrate Judge Stanley A",111,115,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,0,06/02/2017,"Judge Seng,signed by Magistrate Judge Stanley A. Boone on 06/2/2017.",105,173,"Judge Seng,signed by Magistrate Judge",Stanley A. Boone,on 06/2/2017.,143,159,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,0,06/02/2017,"08:30 AM before Magistrate Judge Michael J. Seng.) (Martin-Gill,",218,282,08:30 AM before Magistrate Judge,Michael J. Seng,".) (Martin-Gill,",251,266,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,1,06/02/2017,"before U.S. Magistrate Judge Seng, signed by Magistrate Judge Stanley A",144,215,before U.S. Magistrate Judge,Seng,", signed by Magistrate Judge Stanley A",173,177,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,1,06/02/2017,"Judge Seng, signed by Magistrate Judge Stanley A. Boone on 06/02/2017.",167,237,"Judge Seng, signed by Magistrate Judge",Stanley A. Boone,on 06/02/2017.,206,222,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,2,06/12/2017,Michael Carter  signed by Magistrate Judge Stanley A. Boone on 6/9/2017.,76,148,Michael Carter  signed by Magistrate Judge,Stanley A. Boone,on 6/9/2017.,119,135,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,3,06/15/2017,TO CLOSE CASE signed by Magistrate Judge Stanley A. Boone on 6/15/2017.,31,102,TO CLOSE CASE signed by Magistrate Judge,Stanley A. Boone,on 6/15/2017.,72,88,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,4,06/21/2017, 20   signed by Magistrate Judge Stanley A. Boone on 6/21/2017.,107,170, 20   signed by Magistrate Judge,Stanley A. Boone,on 6/21/2017.,140,156,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,4,06/21/2017,/2017.  Referred to Judge Dale A. Drozd;  Objections to F&R,164,223,/2017.  Referred to Judge,Dale A. Drozd,;  Objections to F&R,190,203,line_entry,SPACY JNLP2
caed;;1:16-cv-01202,caed,2016,1:16-cv-01202,5,12/04/2017,Settlement Agreement  signed by District Judge Dale A. Drozd on 12/2/2017.,85,159,Settlement Agreement  signed by District Judge,Dale A. Drozd,on 12/2/2017.,132,145,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,2,09/01/2016,3 (KJM) before District Judge Kimberly J. Mueller. (Attachments: # 1 Standing,105,182,3 (KJM) before District Judge,Kimberly J. Mueller,. (Attachments: # 1 Standing,135,154,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,8,10/03/2016,TO VISITING JUDGE signed by Chief Judge Lawrence J. O'Neill Case reassigned to District Judge Leslie E,23,125,TO VISITING JUDGE signed by Chief Judge,Lawrence J. O'Neill,Case reassigned to District Judge Leslie E,63,82,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,8,10/03/2016,'Neill Case reassigned to District Judge Leslie E. Kobayashi for all further proceedings. District Judge,76,180,'Neill Case reassigned to District Judge,Leslie E. Kobayashi,for all further proceedings. District Judge,117,136,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,8,10/03/2016,for all further proceedings. District Judge Kimberly J. Mueller no longer assigned to case. (,137,230,for all further proceedings. District Judge,Kimberly J. Mueller,no longer assigned to case. (,181,200,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,17,11/03/2016,ORDER signed by District Judge Leslie E. Kobayashi on 11/02/16 ORDERING,0,71,ORDER signed by District Judge,Leslie E. Kobayashi,on 11/02/16 ORDERING,31,50,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,20,11/16/2016,MINUTE ORDER: signed by District Judge Leslie E. Kobayashi on 11/16/16 ORDERING,0,79,MINUTE ORDER: signed by District Judge,Leslie E. Kobayashi,on 11/16/16 ORDERING,39,58,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,26,12/21/2016,MINUTE ORDER signed by District Judge Leslie E. Kobayashi on 12/20/16:,0,70,MINUTE ORDER signed by District Judge,Leslie E. Kobayashi,on 12/20/16:,38,57,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,31,02/23/2017,ORDER signed by District Judge Leslie E. Kobayashi on 2/22/2017 RESERVING,0,73,ORDER signed by District Judge,Leslie E. Kobayashi,on 2/22/2017 RESERVING,31,50,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,60,07/25/2017,STIPULATION and ORDER signed by District Judge Leslie E. Kobayashi on 07/24/17 ORDERING,0,87,STIPULATION and ORDER signed by District Judge,Leslie E. Kobayashi,on 07/24/17 ORDERING,47,66,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,64,09/05/2017,MINUTES signed by District Judge Leslie E. Kobayashi on 09/01/17.,0,65,MINUTES signed by District Judge,Leslie E. Kobayashi,on 09/01/17.,33,52,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,67,11/14/2017,ORDER signed by District Judge Leslie E. Kobayashi on 11/13/17 ORDERING,0,71,ORDER signed by District Judge,Leslie E. Kobayashi,on 11/13/17 ORDERING,31,50,line_entry,SPACY JNLP2
caed;;2:16-cv-02098,caed,2016,2:16-cv-02098,69,01/02/2020,DISMISSING CASE  signed by District Judge Leslie E. Kobayashi on 12/31/2019 ORDERING,6,90,DISMISSING CASE  signed by District Judge,Leslie E. Kobayashi,on 12/31/2019 ORDERING,48,67,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,0,05/20/2016,MOTION to STAY signed by Magistrate Judge Michael J. Seng on 5/20/2016.,57,128,MOTION to STAY signed by Magistrate Judge,Michael J. Seng,on 5/20/2016.,99,114,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,1,03/07/2017,"27 ,   signed by Magistrate Judge Michael J. Seng on 3/6/17.",68,128,"27 ,   signed by Magistrate Judge",Michael J. Seng,on 3/6/17.,102,117,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,2,04/26/2017,Motions to Stay signed by Chief Judge Lawrence J. O'Neill on 04/26/2017.,75,147,Motions to Stay signed by Chief Judge,Lawrence J. O'Neill,on 04/26/2017.,113,132,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,3,12/12/2018,"SHOW CAUSE, signed by Magistrate Judge Jeremy D. Peterson on 12/12/2018.",9,81,"SHOW CAUSE, signed by Magistrate Judge",Jeremy D. Peterson,on 12/12/2018.,48,66,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,4,01/08/2019,Habeas Corpus   signed by Magistrate Judge Jeremy D. Peterson on 1/8/2019.,160,234,Habeas Corpus   signed by Magistrate Judge,Jeremy D. Peterson,on 1/8/2019.,203,221,line_entry,SPACY JNLP2
caed;;1:16-cv-00209,caed,2016,1:16-cv-00209,4,01/08/2019,8/2019. Referred to Judge O'Neill.  Objections to F&R,227,280,8/2019. Referred to Judge,O'Neill,.  Objections to F&R,253,260,line_entry,SPACY JNLP2
caed;;1:16-cv-01176,caed,2016,1:16-cv-01176,0,10/27/2016,with Prejudice  signed by District Judge Anthony W. Ishii on 10/27/2016.,61,133,with Prejudice  signed by District Judge,Anthony W. Ishii,on 10/27/2016.,102,118,line_entry,SPACY JNLP2
