ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,2,11/02/2016,Case assigned to Hon. Phyllis J. Hamilton. Counsel for plaintiff or the removing,0,80,Case assigned to Hon,. Phyllis J. Hamilton,. Counsel for plaintiff or the removing,20,41,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,17,11/29/2016,"TIME TO RESPOND TO COMPLAINT by Hon. Phyllis J. Hamilton.(dtmS, COURT STAFF)",39,115,TIME TO RESPOND TO COMPLAINT by Hon,. Phyllis J. Hamilton,".(dtmS, COURT STAFF)",74,95,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,18,12/09/2016,", 3rd Floor, Oakland before Hon. Phyllis J. Hamilton. Responses due by 12/23",132,208,", 3rd Floor, Oakland before Hon",. Phyllis J. Hamilton,. Responses due by 12/23,163,184,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,21,12/20/2016,", 3rd Floor, Oakland before Hon. Phyllis J. Hamilton. Responses due by 1/3",137,211,", 3rd Floor, Oakland before Hon",. Phyllis J. Hamilton,. Responses due by 1/3,168,189,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,23,12/27/2016,RELATED CASE ORDER by Judge Phyllis J. Hamilton granting 19 Administrative Motion. C 16,0,87,RELATED CASE ORDER by Judge,Phyllis J. Hamilton,granting 19 Administrative Motion. C 16,28,47,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,27,12/29/2016,Order by Hon. Phyllis J. Hamilton granting 24 Motion for Pro Hac Vice,0,69,Order by Hon,. Phyllis J. Hamilton,granting 24 Motion for Pro Hac Vice,12,33,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,33,01/05/2017,ORDER GRANTING MOTION TO CONSOLIDATE by Hon. Phyllis J. Hamilton granting (18) Motion to Consolidate,0,100,ORDER GRANTING MOTION TO CONSOLIDATE by Hon,. Phyllis J. Hamilton,granting (18) Motion to Consolidate,43,64,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,36,01/09/2017,", 3rd Floor, Oakland before Hon. Phyllis J. Hamilton. Responses due by 1/23",113,188,", 3rd Floor, Oakland before Hon",. Phyllis J. Hamilton,. Responses due by 1/23,144,165,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,41,01/11/2017,"TIME TO RESPOND TO COMPLAINT by Hon. Phyllis J. Hamilton granting 37 Stipulation.(napS,",39,126,TIME TO RESPOND TO COMPLAINT by Hon,. Phyllis J. Hamilton,"granting 37 Stipulation.(napS,",74,95,line_entry,SPACY JNLP2
cand;;4:16-cv-06356,cand,2016,4:16-cv-06356,42,01/12/2017,2017 09:00 AM before Hon. Phyllis J. Hamilton. Responses due by 1/26,167,235,2017 09:00 AM before Hon,. Phyllis J. Hamilton,. Responses due by 1/26,191,212,line_entry,SPACY JNLP2
