ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,4,01/27/2016,Joseph Diego Gonzalez. Signed by Judge Janis L. Sammartino on 1/27/2016.,47,119,Joseph Diego Gonzalez. Signed by Judge,Janis L. Sammartino,on 1/27/2016.,86,105,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,5,01/28/2016,ARREST WARRANT ISSUED by Judge Janis L. Sammartino in case as to Joseph Diego Gonzalez,0,86,ARREST WARRANT ISSUED by Judge,Janis L. Sammartino,in case as to Joseph Diego Gonzalez,31,50,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,7,02/04/2016,/4/2016 before Magistrate Judge Bernard G. Skomal. (no document attached) (,88,163,/4/2016 before Magistrate Judge,Bernard G. Skomal,. (no document attached) (,120,137,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,8,02/04/2016,Entry for proceedings held before Magistrate Judge Bernard G. Skomal: Arraignment on Indictment and Initial Appearance,7,125,Entry for proceedings held before Magistrate Judge,Bernard G. Skomal,: Arraignment on Indictment and Initial Appearance,58,75,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,8,02/04/2016,2016 01:30 PM before Judge Janis L. Sammartino. (CD# 2/4,401,457,2016 01:30 PM before Judge,Janis L. Sammartino,. (CD# 2/4,428,447,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,10,02/04/2016,1 FRA. Signed by Magistrate Judge Bernard G. Skomal on 02/04/2016.,100,166,1 FRA. Signed by Magistrate Judge,Bernard G. Skomal,on 02/04/2016.,134,151,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,13,02/17/2016,Document Discrepancies and Order Thereon by Judge Janis L. Sammartino Rejecting re 12 Joint MOTION for Protective,10,123,Document Discrepancies and Order Thereon by Judge,Janis L. Sammartino,Rejecting re 12 Joint MOTION for Protective,60,79,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,13,02/17/2016,on all parties. Signed by Judge Janis L. Sammartino on 2/17/2016.,368,433,on all parties. Signed by Judge,Janis L. Sammartino,on 2/17/2016.,400,419,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,15,02/19/2016,",000. Signed by Magistrate Judge Bernard G. Skomal on 2/19/2016.",73,137,",000. Signed by Magistrate Judge",Bernard G. Skomal,on 2/19/2016.,106,123,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,17,02/26/2016,Minute Entry for proceedings held before Judge Janis L. Sammartino: Motion Hearing/Trial Setting as,0,99,Minute Entry for proceedings held before Judge,Janis L. Sammartino,: Motion Hearing/Trial Setting as,47,66,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,17,02/26/2016,2016 01:30 PM before Judge Janis L. Sammartino (Court Reporter/ECR Gayle Wakefield,178,260,2016 01:30 PM before Judge,Janis L. Sammartino,(Court Reporter/ECR Gayle Wakefield,205,224,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,20,03/18/2016,(1). Signed by Judge Janis L. Sammartino on 3/18/2016.,100,154,(1). Signed by Judge,Janis L. Sammartino,on 3/18/2016.,121,140,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,21,03/22/2016,PM in Courtroom 1B before Magistrate Judge Bernard G. Skomal. (no document attached) (,141,227,PM in Courtroom 1B before Magistrate Judge,Bernard G. Skomal,. (no document attached) (,184,201,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,22,03/24/2016,Entry for proceedings held before Magistrate Judge Bernard G. Skomal:Defendant Joseph Diego Gonzalez present on,7,118,Entry for proceedings held before Magistrate Judge,Bernard G. Skomal,:Defendant Joseph Diego Gonzalez present on,58,75,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,22,03/24/2016,2016 09:00 AM before Judge Janis L. Sammartino.) Pending motions w/drawn,419,491,2016 09:00 AM before Judge,Janis L. Sammartino,.) Pending motions w/drawn,446,465,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,23,03/24/2016,TO RULE 11 PLEA before Magistrate Judge Barbara Lynn Major by Joseph Diego Gonzalez. (,8,94,TO RULE 11 PLEA before Magistrate Judge,Barbara Lynn,Major by Joseph Diego Gonzalez. (,48,60,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,25,03/24/2016,of guilty. Signed by Magistrate Judge Bernard G. Skomal on 3/24/2016.,177,246,of guilty. Signed by Magistrate Judge,Bernard G. Skomal,on 3/24/2016.,215,232,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,26,04/27/2016,Findings and Recommendation. Signed by Judge Janis L. Sammartino on 4/27/2016.,105,183,Findings and Recommendation. Signed by Judge,Janis L. Sammartino,on 4/27/2016.,150,169,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,29,06/08/2016,2016 09:00 AM before Judge Janis L. Sammartino. Signed by Judge Janis L.,336,408,2016 09:00 AM before Judge,Janis L. Sammartino,. Signed by Judge Janis L.,363,382,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,29,06/08/2016,L. Sammartino. Signed by Judge Janis L. Sammartino on 6/8/2016.,369,432,L. Sammartino. Signed by Judge,Janis L. Sammartino,on 6/8/2016.,400,419,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,30,06/08/2016,the same time. Signed by Judge Janis L. Sammartino on 6/8/2016.,189,252,the same time. Signed by Judge,Janis L. Sammartino,on 6/8/2016.,220,239,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,34,06/24/2016,Minute Entry for proceedings held before Judge Janis L. Sammartino: Sentence With PSR for Joseph Diego,0,102,Minute Entry for proceedings held before Judge,Janis L. Sammartino,: Sentence With PSR for Joseph Diego,47,66,line_entry,SPACY JNLP2
casd;;3:16-cr-00134,casd,2016,3:16-cr-00134,35,06/30/2016,and no fine. Signed by Judge Janis L. Sammartino. (kcm) (sjt),141,202,and no fine. Signed by Judge,Janis L. Sammartino,. (kcm) (sjt),170,189,line_entry,SPACY JNLP2
