ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,5,03/25/2016,"Case assigned to Magistrate Judge Michael E. Hegarty. Text Only Entry (dbera,",0,77,Case assigned to Magistrate Judge,Michael E. Hegarty,". Text Only Entry (dbera,",34,52,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,7,03/29/2016,"a District Judge, by Magistrate Judge Michael E. Hegarty on 3/29/2016.",213,283,"a District Judge, by Magistrate Judge",Michael E. Hegarty,on 3/29/2016.,251,269,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,8,03/29/2016,. This case is reassigned to Judge Lewis T. Babcock. All future pleadings should be designated,42,136,. This case is reassigned to Judge,Lewis T. Babcock,. All future pleadings should be designated,77,93,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,10,03/31/2016,: This case is reassigned to Judge Philip A. Brimmer. All future pleadings should be designated,56,151,: This case is reassigned to Judge,Philip A. Brimmer,. All future pleadings should be designated,91,108,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,11,03/31/2016,a.m. in Courtroom A 701 before Judge Philip A. Brimmer. By Judge Philip A. Brimmer,113,195,a.m. in Courtroom A 701 before Judge,Philip A. Brimmer,. By Judge Philip A. Brimmer,150,167,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,11,03/31/2016,Philip A. Brimmer. By Judge Philip A. Brimmer on 3/31/16.,150,207,Philip A. Brimmer. By Judge,Philip A. Brimmer,on 3/31/16.,178,195,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,13,04/05/2016,subject matter jurisdiction. Signed by Judge Philip A. Brimmer on 04/05/2016.,166,243,subject matter jurisdiction. Signed by Judge,Philip A. Brimmer,on 04/05/2016.,211,228,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,15,04/06/2016,00 a.m. is vacated. By Judge Philip A. Brimmer on 4/6/16.,99,156,00 a.m. is vacated. By Judge,Philip A. Brimmer,on 4/6/16.,128,145,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,16,04/06/2016,no bond is necessary. By Judge Philip A. Brimmer on 4/6/16.,1003,1062,no bond is necessary. By Judge,Philip A. Brimmer,on 4/6/16.,1034,1051,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,19,04/13/2016,ORDER REFERRING CASE to Magistrate Judge Michael E. Hegarty for non-dispositive matters. Pursuant,0,97,ORDER REFERRING CASE to Magistrate Judge,Michael E. Hegarty,for non-dispositive matters. Pursuant,41,59,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,19,04/13/2016,alternative dispute resolution proceeding. By Judge Philip A. Brimmer on 4/13/16.,1052,1133,alternative dispute resolution proceeding. By Judge,Philip A. Brimmer,on 4/13/16.,1104,1121,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,20,04/14/2016,"in Courtroom A 501 before Magistrate Judge Michael E. Hegarty, by Magistrate Judge Michael E.",61,154,in Courtroom A 501 before Magistrate Judge,Michael E. Hegarty,", by Magistrate Judge Michael E.",104,122,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,20,04/14/2016,"E. Hegarty, by Magistrate Judge Michael E. Hegarty on 4/14/2016.",112,176,"E. Hegarty, by Magistrate Judge",Michael E. Hegarty,on 4/14/2016.,144,162,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,22,04/20/2016,by the Court. Signed by Judge Philip A. Brimmer on 4/20/2016.,285,346,by the Court. Signed by Judge,Philip A. Brimmer,on 4/20/2016.,315,332,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,24,05/13/2016,conference will be referred to Magistrate Judge Hegarty. Signed by Judge Philip A.,214,296,conference will be referred to Magistrate Judge,Hegarty,. Signed by Judge Philip A.,262,269,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,24,05/13/2016,Magistrate Judge Hegarty. Signed by Judge Philip A. Brimmer on 05/13/16.,245,317,Magistrate Judge Hegarty. Signed by Judge,Philip A. Brimmer,on 05/13/16.,287,304,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,25,05/13/2016,"& Co. Motion referred to Magistrate Judge Michael E. Hegarty, to the extent that it requests",89,181,& Co. Motion referred to Magistrate Judge,Michael E. Hegarty,", to the extent that it requests",131,149,line_entry,SPACY JNLP2
cod;;1:16-cv-00703,cod,2016,1:16-cv-00703,25,05/13/2016,of a status conference. By Judge Philip A. Brimmer on 5/13/16.,197,259,of a status conference. By Judge,Philip A. Brimmer,on 5/13/16.,230,247,line_entry,SPACY JNLP2
