ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
dcd;;1:16-cv-00955,dcd,2016,1:16-cv-00955,1,05/20/2016,Case Assigned to Judge Reggie B. Walton. (jd),0,45,Case Assigned to Judge,Reggie B. Walton,. (jd),23,39,line_entry,SPACY JNLP2
dcd;;1:16-cv-00955,dcd,2016,1:16-cv-00955,5,05/20/2016,"pro hac vice. Signed by Judge Reggie B. Walton on May 20, 2016. (",448,513,pro hac vice. Signed by Judge,Reggie B. Walton,"on May 20, 2016. (",478,494,line_entry,SPACY JNLP2
dcd;;1:16-cv-00955,dcd,2016,1:16-cv-00955,7,06/14/2016,"15, 2016. Signed by Judge Reggie B. Walton on June 14, 2016. (",343,405,"15, 2016. Signed by Judge",Reggie B. Walton,"on June 14, 2016. (",369,385,line_entry,SPACY JNLP2
dcd;;1:16-cv-00955,dcd,2016,1:16-cv-00955,10,07/18/2016,"case is closed. Signed by Judge Reggie B. Walton on July 18, 2016. (",185,253,case is closed. Signed by Judge,Reggie B. Walton,"on July 18, 2016. (",217,233,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,3,01/05/2016,Case Assigned to Judge Randolph D. Moss. (sth) (Entered:,0,56,Case Assigned to Judge,Randolph D. Moss,. (sth) (Entered:,23,39,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,9,04/01/2016,of the Court. Signed by Judge Randolph D. Moss on 4/1/2016.,135,194,of the Court. Signed by Judge,Randolph D. Moss,on 4/1/2016.,165,181,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,11,04/17/2017,document for details. Signed by Judge Randolph D. Moss on 4/17/2017.,473,541,document for details. Signed by Judge,Randolph D. Moss,on 4/17/2017.,511,527,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,12,02/01/2019,"3, 2019. Signed by Judge Randolph D. Moss on 2/1/2019.",489,543,"3, 2019. Signed by Judge",Randolph D. Moss,on 2/1/2019.,514,530,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,15,03/05/2019,"18, 2019. Signed by Judge Randolph D. Moss on 3/5/2019.",232,287,"18, 2019. Signed by Judge",Randolph D. Moss,on 3/5/2019.,258,274,line_entry,SPACY JNLP2
dcd;;1:16-cv-00016,dcd,2016,1:16-cv-00016,18,04/17/2019,", 2018). Signed by Judge Randolph D. Moss on 4/17/2019.",305,360,", 2018). Signed by Judge",Randolph D. Moss,on 4/17/2019.,330,346,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,1,05/18/2016,Case Assigned to Judge Royce C. Lamberth. (jd) (Entered:,0,56,Case Assigned to Judge,Royce C. Lamberth,. (jd) (Entered:,23,40,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,7,07/22/2016,proposed scheduling order. Signed by Judge Royce C. Lamberth on 7/21/2016.,310,384,proposed scheduling order. Signed by Judge,Royce C. Lamberth,on 7/21/2016.,353,370,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,10,07/26/2016,"Pro Hac Vice. Signed by Judge Royce C. Lamberth on July 26, 2016.(",44,110,Pro Hac Vice. Signed by Judge,Royce C. Lamberth,"on July 26, 2016.(",74,91,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,11,07/26/2016,"Pro Hac Vice. Signed by Judge Royce C. Lamberth on July 26, 2016.(",44,110,Pro Hac Vice. Signed by Judge,Royce C. Lamberth,"on July 26, 2016.(",74,91,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,14,08/11/2016,"Pro Hac Vice. Signed by Judge Royce C. Lamberth on August 11, 2016.(",45,113,Pro Hac Vice. Signed by Judge,Royce C. Lamberth,"on August 11, 2016.(",75,92,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,15,08/16/2016,the status conference. Signed by Judge Royce C. Lamberth on 8/15/2016.,870,940,the status conference. Signed by Judge,Royce C. Lamberth,on 8/15/2016.,909,926,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,18,04/07/2017,remaining the same. Signed by Judge Royce C. Lamberth on 4/6/17.,143,207,remaining the same. Signed by Judge,Royce C. Lamberth,on 4/6/17.,179,196,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,19,04/07/2017,remain the same. Signed by Judge Royce C. Lamberth on 4/7/17.,256,317,remain the same. Signed by Judge,Royce C. Lamberth,on 4/7/17.,289,306,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,22,05/30/2017,30/17. Signed by Judge Royce C. Lamberth on 5/25/17.,94,146,30/17. Signed by Judge,Royce C. Lamberth,on 5/25/17.,117,134,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,31,11/01/2017,Court Mediation Program. Signed by Judge Royce C. Lamberth on 11/1/2017.,87,159,Court Mediation Program. Signed by Judge,Royce C. Lamberth,on 11/1/2017.,128,145,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,33,03/26/2018,Partial Summary Judgment. Signed by Judge Royce C. Lamberth on 3/26/18.,100,171,Partial Summary Judgment. Signed by Judge,Royce C. Lamberth,on 3/26/18.,142,159,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,34,03/26/2018,re Order 33 . Signed by Judge Royce C. Lamberth on 3/26/18.,19,78,re Order 33 . Signed by Judge,Royce C. Lamberth,on 3/26/18.,49,66,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,37,09/18/2018,00 AM in Courtroom 15 before Judge Royce C. Lamberth. Jury Selection/Trial to commence,91,177,00 AM in Courtroom 15 before Judge,Royce C. Lamberth,. Jury Selection/Trial to commence,126,143,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,37,09/18/2018,00 AM in Courtroom 15 before Judge Royce C. Lamberth. Signed by Judge Royce C.,196,274,00 AM in Courtroom 15 before Judge,Royce C. Lamberth,. Signed by Judge Royce C.,231,248,line_entry,SPACY JNLP2
dcd;;1:16-cv-00939,dcd,2016,1:16-cv-00939,37,09/18/2018,C. Lamberth. Signed by Judge Royce C. Lamberth on 9/17/18.,237,295,C. Lamberth. Signed by Judge,Royce C. Lamberth,on 9/17/18.,266,283,line_entry,SPACY JNLP2
dcd;;1:16-cv-01810,dcd,2016,1:16-cv-01810,1,09/09/2016,Case Assigned to Judge Colleen Kollar-Kotelly. (sth) (Entered:,0,62,Case Assigned to Judge,Colleen Kollar-Kotelly,. (sth) (Entered:,23,45,line_entry,SPACY JNLP2
