ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ded;;1:16-cv-00011,ded,2016,1:16-cv-00011,4,01/13/2016,Case Assigned to Judge Sue L. Robinson. Please include the initials of the,0,74,Case Assigned to Judge,Sue L. Robinson,. Please include the initials of the,23,38,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,7,09/28/2016,Case Assigned to Judge Richard G. Andrews. Please include the initials of the,0,77,Case Assigned to Judge,Richard G. Andrews,. Please include the initials of the,23,41,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,9,10/13/2016,Par Pharmaceutical Inc.. Signed by Judge Richard G. Andrews on 10/13/2016.,78,152,Par Pharmaceutical Inc.. Signed by Judge,Richard G. Andrews,on 10/13/2016.,119,137,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,12,04/24/2017,of All Proceedings. Signed by Judge Richard G. Andrews on 4/24/2017.,62,130,of All Proceedings. Signed by Judge,Richard G. Andrews,on 4/24/2017.,98,116,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,13,05/17/2017,further details). Signed by Judge Richard G. Andrews on 5/17/2017.,51,117,further details). Signed by Judge,Richard G. Andrews,on 5/17/2017.,85,103,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,17,07/19/2018,/2018). Signed by Judge Richard G. Andrews on 7/19/2018.,149,205,/2018). Signed by Judge,Richard G. Andrews,on 7/19/2018.,173,191,line_entry,SPACY JNLP2
ded;;1:16-cv-00856,ded,2016,1:16-cv-00856,19,08/07/2018,Case Terminated). Signed by Judge Richard G. Andrews on 8/7/2018.,58,123,Case Terminated). Signed by Judge,Richard G. Andrews,on 8/7/2018.,92,110,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,4,04/04/2016,Minute Entry for proceedings held before Judge Christopher J. Burke - Initial Appearance as to Sealed Defendant,0,111,Minute Entry for proceedings held before Judge,Christopher J. Burke,- Initial Appearance as to Sealed Defendant,47,67,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,5,04/04/2016,for Sealed Defendant. Signed by Judge Christopher J. Burke on 4/4/16.,103,172,for Sealed Defendant. Signed by Judge,Christopher J. Burke,on 4/4/16.,141,161,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,7,04/04/2016,to Sealed Defendant.. Signed by Judge Christopher J. Burke on 4/4/16.,32,101,to Sealed Defendant.. Signed by Judge,Christopher J. Burke,on 4/4/16.,70,90,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,21,04/20/2016,00 PM in Courtroom 6C before Judge Sherry R. Fallon. (dlk) (Entered:,140,208,00 PM in Courtroom 6C before Judge,Sherry R. Fallon,. (dlk) (Entered:,175,191,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,23,04/27/2016,"Case assigned to Judge Leonard P. Stark, as to Manuel Herrera-Rodriguez",0,71,Case assigned to Judge,Leonard P. Stark,", as to Manuel Herrera-Rodriguez",23,39,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,24,04/28/2016,Minute Entry for proceedings held before Judge Sherry R. Fallon - Defendant was present with counsel Interpreter,0,112,Minute Entry for proceedings held before Judge,Sherry R. Fallon,- Defendant was present with counsel Interpreter,47,63,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,25,04/28/2016,31/2016. Signed by Judge Sherry R. Fallon on 4/28/2016.,184,239,31/2016. Signed by Judge,Sherry R. Fallon,on 4/28/2016.,209,225,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,26,04/28/2016,at 01:15 PM before Judge Leonard P. Stark). Signed by Judge Leonard P,203,272,at 01:15 PM before Judge,Leonard P. Stark,). Signed by Judge Leonard P,228,244,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,26,04/28/2016,. Stark). Signed by Judge Leonard P. Stark on 4/28/2016.,237,293,. Stark). Signed by Judge,Leonard P. Stark,on 4/28/2016.,263,279,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,27,06/08/2016,Minute Entry for proceedings held before Judge Leonard P. Stark - Telephone Conference as to Manuel Herrera,0,107,Minute Entry for proceedings held before Judge,Leonard P. Stark,- Telephone Conference as to Manuel Herrera,47,63,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,28,06/10/2016,at 11:30 AM before Judge Leonard P. Stark). Signed by Judge Leonard P,205,274,at 11:30 AM before Judge,Leonard P. Stark,). Signed by Judge Leonard P,230,246,line_entry,SPACY JNLP2
ded;;1:16-cr-00043,ded,2016,1:16-cr-00043,28,06/10/2016,. Stark). Signed by Judge Leonard P. Stark on 6/10/2016.,239,295,. Stark). Signed by Judge,Leonard P. Stark,on 6/10/2016.,265,281,line_entry,SPACY JNLP2
