ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
flmd;;8:16-cv-00571,flmd,2016,8:16-cv-00571,8,04/15/2016,"on 04/28/16 before Cary R. Singletary.(Castillo, Angel) (",50,107,on 04/28/16 before,Cary R. Singletary,".(Castillo, Angel) (",69,87,line_entry,SPACY JNLP2
flmd;;8:16-cv-00571,flmd,2016,8:16-cv-00571,9,04/18/2016,leave of Court. Signed by Judge Richard A. Lazzara on 4/18/2016.,188,252,leave of Court. Signed by Judge,Richard A. Lazzara,on 4/18/2016.,220,238,line_entry,SPACY JNLP2
flmd;;8:16-cv-00571,flmd,2016,8:16-cv-00571,11,04/29/2016,CLOSE the file. Signed by Judge Richard A. Lazzara on 4/29/2016.,136,200,CLOSE the file. Signed by Judge,Richard A. Lazzara,on 4/29/2016.,168,186,line_entry,SPACY JNLP2
flmd;;8:16-cv-00571,flmd,2016,8:16-cv-00571,13,06/28/2016,Dismissal with Prejudice. Signed by Judge Richard A. Lazzara on 6/28/2016.,81,155,Dismissal with Prejudice. Signed by Judge,Richard A. Lazzara,on 6/28/2016.,123,141,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,1,04/14/2016,LAB) Motions referred to Magistrate Judge Philip R. Lammens. (Entered: 04/14,96,172,LAB) Motions referred to Magistrate Judge,Philip R. Lammens,. (Entered: 04/14,138,155,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,3,05/03/2016,of incarceration. Signed by Magistrate Judge Philip R. Lammens on 5/3/2016.,409,484,of incarceration. Signed by Magistrate Judge,Philip R. Lammens,on 5/3/2016.,454,471,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,4,05/06/2016,Amended Complaint. Signed by Magistrate Judge Philip R. Lammens on 5/3/2016.,358,434,Amended Complaint. Signed by Magistrate Judge,Philip R. Lammens,on 5/3/2016.,404,421,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,10,09/15/2016,each defendant. Signed by Magistrate Judge Philip R. Lammens on 9/14/2016.,212,286,each defendant. Signed by Magistrate Judge,Philip R. Lammens,on 9/14/2016.,255,272,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,12,09/30/2016,of Columbia. Signed by Magistrate Judge Philip R. Lammens on 9/29/2016.,437,508,of Columbia. Signed by Magistrate Judge,Philip R. Lammens,on 9/29/2016.,477,494,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,21,12/22/2016,LMF) Motions referred to Magistrate Judge Philip R. Lammens. (Entered: 12/23,156,232,LMF) Motions referred to Magistrate Judge,Philip R. Lammens,. (Entered: 12/23,198,215,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,24,01/05/2017,this Order. Signed by Magistrate Judge Philip R. Lammens on 1/3/2017.,167,236,this Order. Signed by Magistrate Judge,Philip R. Lammens,on 1/3/2017.,206,223,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,26,02/28/2017,/2017. Signed by Magistrate Judge Philip R. Lammens on 2/27/2017.,119,184,/2017. Signed by Magistrate Judge,Philip R. Lammens,on 2/27/2017.,153,170,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,29,03/23/2017,to date. Signed by Magistrate Judge Philip R. Lammens on 3/22/2017.,142,209,to date. Signed by Magistrate Judge,Philip R. Lammens,on 3/22/2017.,178,195,line_entry,SPACY JNLP2
flmd;;5:16-cv-00258,flmd,2016,5:16-cv-00258,31,04/14/2017,. Signed by Senior Judge Wm. Terrell Hodges on 4/14/2017.,142,199,. Signed by Senior Judge Wm.,Terrell Hodges,on 4/14/2017.,171,185,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,2,12/14/2016,of this order. Signed by Judge John Antoon II on 12/14/2016.,147,207,of this order. Signed by Judge,John Antoon II,on 12/14/2016.,178,192,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,3,12/14/2016,of this order. Signed by Judge John Antoon II on 12/14/2016.,161,221,of this order. Signed by Judge,John Antoon II,on 12/14/2016.,192,206,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,10,01/30/2017,AND SCHEDULING ORDER. Signed by Judge John Antoon II on 1/30/2017.,16,82,AND SCHEDULING ORDER. Signed by Judge,John Antoon II,on 1/30/2017.,54,68,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,11,01/30/2017,"in Orlando Courtroom 6 B before Judge John Antoon II.,Conduct mediation hearing by 5/",245,330,in Orlando Courtroom 6 B before Judge,John Antoon II.,",Conduct mediation hearing by 5/",283,298,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,13,02/06/2017,"at 10:00 a.m. before Kay L. Wolf. (Saba, Christopher) (",66,121,at 10:00 a.m. before Kay,L. Wolf,". (Saba, Christopher) (",91,98,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,14,06/23/2017,"30, 2017. Signed by Judge John Antoon II on 6/22/2017.",124,178,"30, 2017. Signed by Judge",John Antoon II,on 6/22/2017.,150,164,line_entry,SPACY JNLP2
flmd;;6:16-cv-02122,flmd,2016,6:16-cv-02122,17,06/27/2017,close the file. Signed by Judge John Antoon II on 6/27/2017.,86,146,close the file. Signed by Judge,John Antoon II,on 6/27/2017.,118,132,line_entry,SPACY JNLP2
flmd;;3:16-cv-00505,flmd,2016,3:16-cv-00505,2,04/27/2016,to the Clerk. Signed by Judge Brian J. Davis on 4/27/2016.,65,123,to the Clerk. Signed by Judge,Brian J. Davis,on 4/27/2016.,95,109,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,3,06/10/2016,AG) Motions referred to Magistrate Judge Julie S. Sneed. (Entered: 06/13,99,171,AG) Motions referred to Magistrate Judge,Julie S. Sneed,. (Entered: 06/13,140,154,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,4,06/13/2016,27/2016. Signed by Judge Virginia M. Hernandez Covington on 6/13/2016.,123,193,27/2016. Signed by Judge,Virginia M. Hernandez Covington,on 6/13/2016.,148,179,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,5,06/14/2016,Writ of Mandamus. Signed by Judge Virginia M. Hernandez Covington on 6/14/2016.,48,127,Writ of Mandamus. Signed by Judge,Virginia M. Hernandez Covington,on 6/14/2016.,82,113,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,8,06/24/2016,"13, 2017, before the Honorable Virginia M Hernandez Covington in Courtroom 14B of the Sam Gibbons",688,785,"13, 2017, before the Honorable",Virginia M Hernandez Covington,in Courtroom 14B of the Sam Gibbons,719,749,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,8,06/24/2016,the telephone number. Signed by Judge Virginia M. Hernandez Covington on 6/24/2016.,1086,1169,the telephone number. Signed by Judge,Virginia M. Hernandez Covington,on 6/24/2016.,1124,1155,line_entry,SPACY JNLP2
flmd;;8:16-cv-01493,flmd,2016,8:16-cv-01493,9,06/24/2016,to State Court. Signed by Judge Virginia M. Hernandez Covington on 6/24/2016.,42,119,to State Court. Signed by Judge,Virginia M. Hernandez Covington,on 6/24/2016.,74,105,line_entry,SPACY JNLP2
