ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,1,03/05/2016,Judge Assignment to Judge James I. Cohn (bb) (Entered: 03,0,57,Judge Assignment to Judge,James I. Cohn,(bb) (Entered: 03,26,39,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,2,03/05/2016,the U.S. Magistrate Judge Barry S. Seltzer is available to handle any or all,74,150,the U.S. Magistrate Judge,Barry S. Seltzer,is available to handle any or all,100,116,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,10,03/14/2016,"AM in Fort Lauderdale Division before Judge James I. Cohn., Calendar Call set for 11",187,271,AM in Fort Lauderdale Division before Judge,James I. Cohn,"., Calendar Call set for 11",231,244,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,10,03/14/2016,"2016 09:00 AM before Judge James I. Cohn.), ORDER REFERRING CASE to",275,342,2016 09:00 AM before Judge,James I. Cohn,".), ORDER REFERRING CASE to",302,315,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,10,03/14/2016,", ORDER REFERRING CASE to Magistrate Judge Barry S. Seltzer for Appropriate Disposition of aII Pro Hac",317,419,", ORDER REFERRING CASE to Magistrate Judge",Barry S. Seltzer,for Appropriate Disposition of aII Pro Hac,360,376,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,10,03/14/2016,Pretrial Discovery Motions. Signed by Judge James I. Cohn on 3/14/2016.,442,513,Pretrial Discovery Motions. Signed by Judge,James I. Cohn,on 3/14/2016.,486,499,line_entry,SPACY JNLP2
flsd;;9:16-cv-80329,flsd,2016,9:16-cv-80329,13,05/31/2016,ORDER Closing Case. Signed by Judge James I. Cohn on 5/25/2016.,0,63,ORDER Closing Case. Signed by Judge,James I. Cohn,on 5/25/2016.,36,49,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,1,12/28/2016,Judge Assignment to Judge Kenneth A. Marra (lrz1) (Entered: 12,0,62,Judge Assignment to Judge,Kenneth A. Marra,(lrz1) (Entered: 12,26,42,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,2,12/28/2016,the U.S. Magistrate Judge William Matthewman is available to handle any or all,74,152,the U.S. Magistrate Judge,William Matthewman,is available to handle any or all,100,118,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,6,02/02/2017,in forma pauperis. Signed by Judge Kenneth A. Marra on 2/1/2017.,44,108,in forma pauperis. Signed by Judge,Kenneth A. Marra,on 2/1/2017.,79,95,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,8,02/15/2017,Service NOT Ordered. Signed by Judge Kenneth A. Marra on 2/14/2017.,68,135,Service NOT Ordered. Signed by Judge,Kenneth A. Marra,on 2/14/2017.,105,121,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,9,02/15/2017,PRO SE LITIGANT. Signed by Judge Kenneth A. Marra on 2/14/2017.,25,88,PRO SE LITIGANT. Signed by Judge,Kenneth A. Marra,on 2/14/2017.,58,74,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,10,04/13/2017,350.00. Signed by Judge Kenneth A. Marra on 4/13/2017.,106,160,350.00. Signed by Judge,Kenneth A. Marra,on 4/13/2017.,130,146,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,11,04/19/2017,AND SERVE SUMMONS. Signed by Judge Kenneth A. Marra on 4/18/2017.,17,82,AND SERVE SUMMONS. Signed by Judge,Kenneth A. Marra,on 4/18/2017.,52,68,line_entry,SPACY JNLP2
flsd;;9:16-cv-82046,flsd,2016,9:16-cv-82046,26,08/04/2017,case is CLOSED. Signed by Judge Kenneth A. Marra on 8/4/2017.,310,371,case is CLOSED. Signed by Judge,Kenneth A. Marra,on 8/4/2017.,342,358,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,1,08/01/2016,Judge Assignment to Judge Ursula Ungaro (srd) (Entered: 08,0,58,Judge Assignment to Judge,Ursula Ungaro,(srd) (Entered: 08,26,39,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,2,08/01/2016,the U.S. Magistrate Judge Alicia M. Otazo-Reyes is available to handle any or all,74,155,the U.S. Magistrate Judge,Alicia M. Otazo-Reyes,is available to handle any or all,100,121,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,8,08/23/2016,30 AM in Miami Division before Judge Ursula Ungaro.) Signed by Judge Ursula Ungaro,146,228,30 AM in Miami Division before Judge,Ursula Ungaro,.) Signed by Judge Ursula Ungaro,183,196,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,8,08/23/2016,Ursula Ungaro.) Signed by Judge Ursula Ungaro on 8/18/2016.,183,242,Ursula Ungaro.) Signed by Judge,Ursula Ungaro,on 8/18/2016.,215,228,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,9,09/01/2016,9/2016. Signed by Judge Ursula Ungaro on 9/1/2016.,49,99,9/2016. Signed by Judge,Ursula Ungaro,on 9/1/2016.,73,86,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,21,09/20/2016,by Nilda Grisoni. Signed by Judge Ursula Ungaro on 9/20/2016.,106,167,by Nilda Grisoni. Signed by Judge,Ursula Ungaro,on 9/20/2016.,140,153,line_entry,SPACY JNLP2
flsd;;1:16-cv-23285,flsd,2016,1:16-cv-23285,22,09/21/2016,28/2016. Signed by Judge Ursula Ungaro on 9/21/2016.,175,227,28/2016. Signed by Judge,Ursula Ungaro,on 9/21/2016.,200,213,line_entry,SPACY JNLP2
