ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,1,02/02/2016,.. Motion(s) referred to CHARLES H WEIGLE.(cal) (Entered:,96,153,.. Motion(s) referred to,CHARLES H WEIGLE,.(cal) (Entered:,121,137,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,2,02/02/2016,). Ordered by US MAGISTRATE JUDGE CHARLES H WEIGLE on 2/2/16.,88,149,). Ordered by US MAGISTRATE JUDGE,CHARLES H WEIGLE,on 2/2/16.,122,138,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,3,02/03/2016,PM in Macon before US MAGISTRATE JUDGE CHARLES H WEIGLE. Initial Appearance set for 2/,82,168,PM in Macon before US MAGISTRATE JUDGE,CHARLES H WEIGLE,. Initial Appearance set for 2/,121,137,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,3,02/03/2016,PM in Macon before US MAGISTRATE JUDGE CHARLES H WEIGLE. (cal) (Entered:,182,254,PM in Macon before US MAGISTRATE JUDGE,CHARLES H WEIGLE,. (cal) (Entered:,221,237,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,4,02/12/2016,.. Motion(s) referred to CHARLES H WEIGLE.(cal) (Entered:,90,147,.. Motion(s) referred to,CHARLES H WEIGLE,.(cal) (Entered:,115,131,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,5,02/12/2016,). Ordered by US MAGISTRATE JUDGE CHARLES H WEIGLE on 2/12/16.,86,148,). Ordered by US MAGISTRATE JUDGE,CHARLES H WEIGLE,on 2/12/16.,120,136,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,8,02/12/2016,PM in Macon before US MAGISTRATE JUDGE CHARLES H WEIGLE. Initial Appearance set for 2/,88,174,PM in Macon before US MAGISTRATE JUDGE,CHARLES H WEIGLE,. Initial Appearance set for 2/,127,143,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,8,02/12/2016,PM in Macon before US MAGISTRATE JUDGE CHARLES H WEIGLE. (cal) (Entered:,188,260,PM in Macon before US MAGISTRATE JUDGE,CHARLES H WEIGLE,. (cal) (Entered:,227,243,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,11,02/12/2016,RICHARDSON. Ordered by US MAGISTRATE JUDGE CHARLES H WEIGLE on 2/12/16.,63,134,RICHARDSON. Ordered by US MAGISTRATE JUDGE,CHARLES H WEIGLE,on 2/12/16.,106,122,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,12,02/12/2016,for proceedings held before US MAGISTRATE JUDGE CHARLES H WEIGLE:Arraignment held on 2/12,13,102,for proceedings held before US MAGISTRATE JUDGE,CHARLES H WEIGLE,:Arraignment held on 2/12,61,77,line_entry,SPACY JNLP2
gamd;;5:16-cr-00002,gamd,2016,5:16-cr-00002,14,02/12/2016,Unsecured. Ordered by US MAGISTRATE JUDGE CHARLES H WEIGLE on 2/12/16.,74,144,Unsecured. Ordered by US MAGISTRATE JUDGE,CHARLES H WEIGLE,on 2/12/16.,116,132,line_entry,SPACY JNLP2
