ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
hid;;1:16-cr-00042,hid,2016,1:16-cr-00042,1,01/13/2016,9:00 a.m. before Magistrate Judge Richard L. Puglisi.Counsel also informs the court that,783,871,9:00 a.m. before Magistrate Judge,Richard L. Puglisi,.Counsel also informs the court that,817,835,line_entry,SPACY JNLP2
hid;;1:16-cr-00042,hid,2016,1:16-cr-00042,1,01/13/2016,09:00 AM before MAGISTRATE JUDGE RICHARD L. PUGLISI.) (FTR-Ctrm C7,1055,1121,09:00 AM before MAGISTRATE JUDGE,RICHARD L. PUGLISI,.) (FTR-Ctrm C7,1088,1106,line_entry,SPACY JNLP2
hid;;1:16-cr-00042,hid,2016,1:16-cr-00042,1,01/13/2016,":49.) (MAGISTRATE JUDGE BARRY M. KURREN)(ecs, )No COS",1128,1181,:49.) (MAGISTRATE JUDGE,BARRY M. KURREN,")(ecs, )No COS",1152,1167,line_entry,SPACY JNLP2
hid;;1:16-cr-00042,hid,2016,1:16-cr-00042,3,02/24/2016,"Ctrm C6.) (MAGISTRATE JUDGE RICHARD L. PUGLISI)(ecs, )No COS",153,213,Ctrm C6.) (MAGISTRATE JUDGE,RICHARD L. PUGLISI,")(ecs, )No COS",181,199,line_entry,SPACY JNLP2
hid;;1:16-cr-00042,hid,2016,1:16-cr-00042,4,03/03/2016,. Walter. Signed by MAGISTRATE JUDGE RICHARD L. PUGLISI on 2/25/2016.,52,121,. Walter. Signed by MAGISTRATE JUDGE,RICHARD L. PUGLISI,on 2/25/2016.,89,107,line_entry,SPACY JNLP2
hid;;1:16-cr-00081,hid,2016,1:16-cr-00081,1,01/27/2016,:43.) (MAGISTRATE JUDGE BARRY M. KURREN) (afc) No COS issued,293,353,:43.) (MAGISTRATE JUDGE,BARRY M. KURREN,) (afc) No COS issued,317,332,line_entry,SPACY JNLP2
hid;;1:16-cv-00524,hid,2016,1:16-cv-00524,4,09/23/2016,S.C. CHANG. Signed by CHIEF JUDGE J. MICHAEL SEABRIGHT on 09/23/2016.,100,169,S.C. CHANG. Signed by CHIEF JUDGE,J. MICHAEL SEABRIGHT,on 09/23/2016.,134,154,line_entry,SPACY JNLP2
hid;;1:16-cv-00524,hid,2016,1:16-cv-00524,12,11/21/2016,/2017 in Aha Kanawai before JUDGE HELEN GILLMOR. Final Pretrial Conference set for 10,152,237,/2017 in Aha Kanawai before JUDGE,HELEN GILLMOR,. Final Pretrial Conference set for 10,186,199,line_entry,SPACY JNLP2
hid;;1:16-cv-00524,hid,2016,1:16-cv-00524,12,11/21/2016,30 AM in Aha Kanawai before JUDGE HELEN GILLMOR. Settlement Conference set for 8/,366,447,30 AM in Aha Kanawai before JUDGE,HELEN GILLMOR,. Settlement Conference set for 8/,400,413,line_entry,SPACY JNLP2
hid;;1:16-cv-00524,hid,2016,1:16-cv-00524,24,06/29/2017,COURT AND ORDER - Signed by JUDGE HELEN GILLMOR on 6/29/2017.,50,111,COURT AND ORDER - Signed by JUDGE,HELEN GILLMOR,on 6/29/2017.,84,97,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,3,10/18/2016,/19/2016 before Magistrate Judge KENNETH J. MANSFIELD.. Signed by CHIEF JUDGE J.,61,141,/19/2016 before Magistrate Judge,KENNETH J. MANSFIELD,.. Signed by CHIEF JUDGE J.,94,114,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,3,10/18/2016,. MANSFIELD.. Signed by CHIEF JUDGE J. MICHAEL SEABRIGHT on 10/18/2016.,103,174,. MANSFIELD.. Signed by CHIEF JUDGE,J. MICHAEL SEABRIGHT,on 10/18/2016.,139,159,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,10,11/18/2016,prejudice as premature. (Magistrate Judge KENNETH J. MANSFIELD) (gms) (Entered:,333,412,prejudice as premature. (Magistrate Judge,KENNETH J. MANSFIELD,) (gms) (Entered:,375,395,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,00 a.m. in Aha Nonoi before JUDGE LESLIE E. KOBAYASHI. Final Pretrial Conference is set for,238,329,00 a.m. in Aha Nonoi before JUDGE,LESLIE E. KOBAYASHI,. Final Pretrial Conference is set for,272,291,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,a.m. in Courtroom 6 before Magistrate Judge KENNETH J. MANSFIELD. Early Settlement Conference is set for,349,453,a.m. in Courtroom 6 before Magistrate Judge,KENNETH J. MANSFIELD,. Early Settlement Conference is set for,393,413,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,30 a.m. in Chambers of Magistrate Judge Kenneth J. Mansfield before Magistrate Judge KENNETH J. MANSFIELD,471,576,30 a.m. in Chambers of Magistrate Judge,Kenneth J. Mansfield,before Magistrate Judge KENNETH J. MANSFIELD,511,531,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,Kenneth J. Mansfield before Magistrate Judge KENNETH J. MANSFIELD. Settlement Conference #2 is set,511,609,Kenneth J. Mansfield before Magistrate Judge,KENNETH J. MANSFIELD,. Settlement Conference #2 is set,556,576,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,30 a.m. in Chambers of Magistrate Judge Kenneth J. Mansfield before Magistrate Judge KENNETH J. MANSFIELD,631,736,30 a.m. in Chambers of Magistrate Judge,Kenneth J. Mansfield,before Magistrate Judge KENNETH J. MANSFIELD,671,691,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,Kenneth J. Mansfield before Magistrate Judge KENNETH J. MANSFIELD. Dispositive Motions filed by 07/,671,770,Kenneth J. Mansfield before Magistrate Judge,KENNETH J. MANSFIELD,. Dispositive Motions filed by 07/,716,736,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,22,12/19/2016,:40.) (Magistrate Judge KENNETH J. MANSFIELD)(bbb)No COS issued,926,989,:40.) (Magistrate Judge,KENNETH J. MANSFIELD,)(bbb)No COS issued,950,970,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,24,12/19/2016,SE LITIGANTS. Signed by Magistrate Judge KENNETH J. MANSFIELD on 12/19/2016.,40,116,SE LITIGANTS. Signed by Magistrate Judge,KENNETH J. MANSFIELD,on 12/19/2016.,81,101,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,27,12/20/2016,"MOTION for Summary Judgment. (JUDGE LESLIE E. KOBAYASHI)(wnn, )CERTIFICATE OF",24,101,MOTION for Summary Judgment. (JUDGE,LESLIE E. KOBAYASHI,")(wnn, )CERTIFICATE OF",60,79,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,29,01/04/2017,"27 Ex Parte Motion. (JUDGE LESLIE E. KOBAYASHI)(wnn, )CERTIFICATE OF",183,251,27 Ex Parte Motion. (JUDGE,LESLIE E. KOBAYASHI,")(wnn, )CERTIFICATE OF",210,229,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,30,01/10/2017,"25 Motion to Expedite. (JUDGE LESLIE E. KOBAYASHI)(wnn, )CERTIFICATE OF",117,188,25 Motion to Expedite. (JUDGE,LESLIE E. KOBAYASHI,")(wnn, )CERTIFICATE OF",147,166,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,32,01/19/2017,"31 Ex Parte Motion. (JUDGE LESLIE E. KOBAYASHI)(wnn, )CERTIFICATE OF",149,217,31 Ex Parte Motion. (JUDGE,LESLIE E. KOBAYASHI,")(wnn, )CERTIFICATE OF",176,195,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,39,02/10/2017,2017 is VACATED. (Magistrate Judge KENNETH J. MANSFIELD)(bbb)CERTIFICATE OF SERVICEParticipants,142,237,2017 is VACATED. (Magistrate Judge,KENNETH J. MANSFIELD,)(bbb)CERTIFICATE OF SERVICEParticipants,177,197,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,40,03/29/2017,"/29/2017. (JUDGE LESLIE E. KOBAYASHI)(wnn, )CERTIFICATE OF",242,300,/29/2017. (JUDGE,LESLIE E. KOBAYASHI,")(wnn, )CERTIFICATE OF",259,278,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,41,06/30/2017,FOR SUMMARY JUDGMENT. Signed by JUDGE LESLIE E. KOBAYASHI on 06/30/2017.,131,203,FOR SUMMARY JUDGMENT. Signed by JUDGE,LESLIE E. KOBAYASHI,on 06/30/2017.,169,188,line_entry,SPACY JNLP2
hid;;1:16-cv-00562,hid,2016,1:16-cv-00562,42,07/17/2017,TAXATION OF COSTS. Signed by JUDGE LESLIE E. KOBAYASHI on 07/17/2017.,32,101,TAXATION OF COSTS. Signed by JUDGE,LESLIE E. KOBAYASHI,on 07/17/2017.,67,86,line_entry,SPACY JNLP2
hid;;1:16-cv-00079,hid,2016,1:16-cv-00079,1,02/23/2016,to U.S. DISTRICT JUDGE DERRICK K. WATSON and U.S. MAGISTRATE JUDGE,26,92,to U.S. DISTRICT JUDGE,DERRICK K. WATSON,and U.S. MAGISTRATE JUDGE,49,66,line_entry,SPACY JNLP2
hid;;1:16-cv-00079,hid,2016,1:16-cv-00079,1,02/23/2016,and U.S. MAGISTRATE JUDGE RICHARD L. PUGLISI. Please reflect Civil case number CV,67,148,and U.S. MAGISTRATE JUDGE,RICHARD L. PUGLISI,. Please reflect Civil case number CV,93,111,line_entry,SPACY JNLP2
hid;;1:16-cv-00079,hid,2016,1:16-cv-00079,2,02/23/2016,before U.S. MAGISTRATE JUDGE RICHARD L. PUGLISI. Signed by CHIEF U.S,56,124,before U.S. MAGISTRATE JUDGE,RICHARD L. PUGLISI,. Signed by CHIEF U.S,85,103,line_entry,SPACY JNLP2
