ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
iand;;1:16-cv-00162,iand,2016,1:16-cv-00162,8,08/04/2016,Walters. Signed by Chief Magistrate Judge Jon S Scoles on 8/4/2016.,100,167,Walters. Signed by Chief Magistrate Judge,Jon S Scoles,on 8/4/2016.,142,154,line_entry,SPACY JNLP2
iand;;1:16-cv-00162,iand,2016,1:16-cv-00162,9,08/15/2016,/2016. Signed by Chief Judge Linda R Reade on 8/15/2016.,238,294,/2016. Signed by Chief Judge,Linda R Reade,on 8/15/2016.,267,280,line_entry,SPACY JNLP2
iand;;1:16-cv-00162,iand,2016,1:16-cv-00162,11,08/22/2016,this case. Signed by Chief Judge Linda R Reade on 8/22/2016 (,158,219,this case. Signed by Chief Judge,Linda R Reade,on 8/22/2016 (,191,204,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,0,10/05/2016,"Granillo, Daniel Perez Heredia. Judge Leonard T Strand and Magistrate Judge CJ Williams added.",138,232,"Granillo, Daniel Perez Heredia. Judge",Leonard T Strand,and Magistrate Judge CJ Williams added.,176,192,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,0,10/05/2016,Judge Leonard T Strand and Magistrate Judge CJ Williams added. Conflicts checked; none found,170,262,Judge Leonard T Strand and Magistrate Judge,CJ Williams,added. Conflicts checked; none found,214,225,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,3,10/06/2016,SC 1st Fl Ct before Magistrate Judge CJ Williams. Signed by Magistrate Judge CJ Williams,107,195,SC 1st Fl Ct before Magistrate Judge,CJ Williams,. Signed by Magistrate Judge CJ Williams,144,155,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,3,10/06/2016,CJ Williams. Signed by Magistrate Judge CJ Williams on 10/06/2016.,144,210,CJ Williams. Signed by Magistrate Judge,CJ Williams,on 10/06/2016.,184,195,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,4,10/06/2016,are cancelled. Signed by Magistrate Judge CJ Williams on 10/06/16.,179,245,are cancelled. Signed by Magistrate Judge,CJ Williams,on 10/06/16.,221,232,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,5,10/06/2016,SC 1st Fl Ct before Magistrate Judge CJ Williams. Signed by Magistrate Judge CJ Williams,114,202,SC 1st Fl Ct before Magistrate Judge,CJ Williams,. Signed by Magistrate Judge CJ Williams,151,162,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,5,10/06/2016,CJ Williams. Signed by Magistrate Judge CJ Williams on 10/06/16.,151,215,CJ Williams. Signed by Magistrate Judge,CJ Williams,on 10/06/16.,191,202,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,6,10/06/2016,SC 1st Fl Ct before Magistrate Judge CJ Williams. Signed by Magistrate Judge CJ Williams,106,194,SC 1st Fl Ct before Magistrate Judge,CJ Williams,. Signed by Magistrate Judge CJ Williams,143,154,line_entry,SPACY JNLP2
iand;;5:16-cr-04084,iand,2016,5:16-cr-04084,6,10/06/2016,CJ Williams. Signed by Magistrate Judge CJ Williams on 10/06/16.,143,207,CJ Williams. Signed by Magistrate Judge,CJ Williams,on 10/06/16.,183,194,line_entry,SPACY JNLP2
