ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,3,12/12/2016,"2:30 p.m. before Magistrate Judge Stephen B. Jackson, Jr. The parties shall file a proposed scheduling",127,229,2:30 p.m. before Magistrate Judge,"Stephen B. Jackson, Jr.",The parties shall file a proposed scheduling,161,184,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,3,12/12/2016,"-5. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 12/12/2016.",392,461,-5. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 12/12/2016.,423,446,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,6,12/21/2016,"ENTRY for proceedings held before Magistrate Judge Stephen B. Jackson, Jr.: Telephonic Scheduling Conference held on 12",12,131,ENTRY for proceedings held before Magistrate Judge,"Stephen B. Jackson, Jr.",: Telephonic Scheduling Conference held on 12,63,86,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,7,12/21/2016,"in Des Moines Courthouse before Magistrate Judge Stephen B. Jackson, Jr. Estimated length 4 days. Final Pretrial",75,187,in Des Moines Courthouse before Magistrate Judge,"Stephen B. Jackson, Jr.",Estimated length 4 days. Final Pretrial,124,147,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,7,12/21/2016,"in Des Moines Courthouse before Magistrate Judge Stephen B. Jackson, Jr. Motions to Add Parties due by 2",228,332,in Des Moines Courthouse before Magistrate Judge,"Stephen B. Jackson, Jr.",Motions to Add Parties due by 2,277,300,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,7,12/21/2016,"/2017. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 12/21/2016.",629,701,/2017. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 12/21/2016.,663,686,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,8,12/21/2016,"and form. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 12/21/2016.",80,155,and form. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 12/21/2016.,117,140,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,9,12/22/2016,"Magistrate Judge Stephen B. Jackson, Jr added. Judge Rebecca Goodgame Ebinger and",0,81,Magistrate Judge,"Stephen B. Jackson, Jr",added. Judge Rebecca Goodgame Ebinger and,17,39,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,9,12/22/2016,"Judge Rebecca Goodgame Ebinger and Magistrate Judge Stephen B. Jackson, Jr no longer assigned to case as the",47,155,Judge Rebecca Goodgame Ebinger and Magistrate Judge,"Stephen B. Jackson, Jr",no longer assigned to case as the,99,121,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,12,05/04/2017,"-5. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 5/4/2017.",202,269,-5. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 5/4/2017.,233,256,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,14,05/08/2017,"-5. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 5/8/2017.",260,327,-5. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 5/8/2017.,291,314,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,15,06/05/2017,"ENTRY for proceedings held before Magistrate Judge Stephen B. Jackson, Jr.: Telephonic Status Conference held on 6",12,126,ENTRY for proceedings held before Magistrate Judge,"Stephen B. Jackson, Jr.",: Telephonic Status Conference held on 6,63,86,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,17,07/19/2017,"-5. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 7/19/2017.",214,282,-5. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 7/19/2017.,245,268,line_entry,SPACY JNLP2
iasd;;4:16-cv-00548,iasd,2016,4:16-cv-00548,19,07/19/2017,"-5. Signed by Magistrate Judge Stephen B. Jackson, Jr. on 7/19/2017.",231,299,-5. Signed by Magistrate Judge,"Stephen B. Jackson, Jr.",on 7/19/2017.,262,285,line_entry,SPACY JNLP2
