ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,2,01/19/2016,- Bankruptcy/Magistrate Courtroom before Judge Candy W. Dale. (jp),126,192,- Bankruptcy/Magistrate Courtroom before Judge,Candy W. Dale,. (jp),173,186,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,3,01/19/2016,be referred to United States Magistrate Judge Candy W. Dale for the purpose of taking a plea,84,176,be referred to United States Magistrate Judge,Candy W. Dale,for the purpose of taking a plea,130,143,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,3,01/19/2016,taking a plea. Signed by Judge B. Lynn Winmill. (Notice sent to USM),163,231,taking a plea. Signed by Judge,B. Lynn Winmill,. (Notice sent to USM),194,209,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,7,02/10/2016,Minute Entry for proceedings held before Judge Candy W. Dale: Arraignment as to Kim Thompson (,0,94,Minute Entry for proceedings held before Judge,Candy W. Dale,: Arraignment as to Kim Thompson (,47,60,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,7,02/10/2016,in Pocatello - District Courtroom before Judge B. Lynn Winmill.) (ESR A. Tate,224,301,in Pocatello - District Courtroom before Judge,B. Lynn Winmill,.) (ESR A. Tate,271,286,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,8,02/10/2016,& USM). Signed by Judge Candy W. Dale.(caused to be mailed to,56,117,& USM). Signed by Judge,Candy W. Dale,.(caused to be mailed to,80,93,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,10,02/10/2016,29/2016. Signed by Judge Candy W. Dale.(caused to be mailed to,92,154,29/2016. Signed by Judge,Candy W. Dale,.(caused to be mailed to,117,130,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,11,03/01/2016,& USM). Signed by Judge B. Lynn Winmill.(caused to be mailed to,130,193,& USM). Signed by Judge,B. Lynn Winmill,.(caused to be mailed to,154,169,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,14,04/18/2016,in Pocatello - District Courtroom before Judge B. Lynn Winmill. Signed by Judge B. Lynn,139,226,in Pocatello - District Courtroom before Judge,B. Lynn Winmill,. Signed by Judge B. Lynn,186,201,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,14,04/18/2016,. Lynn Winmill. Signed by Judge B. Lynn Winmill. (caused to be mailed to,187,259,. Lynn Winmill. Signed by Judge,B. Lynn Winmill,. (caused to be mailed to,219,234,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,15,04/22/2016,in Pocatello - District Courtroom before Judge B. Lynn Winmill. (jp),79,147,in Pocatello - District Courtroom before Judge,B. Lynn Winmill,. (jp),126,141,line_entry,SPACY JNLP2
idd;;4:16-cr-00015,idd,2016,4:16-cr-00015,19,05/31/2016,Minute Entry for proceedings held before Judge B. Lynn Winmill: Sentencing held on 5/31,0,87,Minute Entry for proceedings held before Judge,B. Lynn Winmill,: Sentencing held on 5/31,47,62,line_entry,SPACY JNLP2
