ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,1,11/30/2016,"your case has been assigned to Judge Sue E Myerscough. Effective immediately, all documents should",47,145,your case has been assigned to Judge,Sue E Myerscough,". Effective immediately, all documents should",84,100,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,2,12/13/2016,in forma pauperis. Entered by Judge Sue E. Myerscough on 12/13/2016.,594,662,in forma pauperis. Entered by Judge,Sue E. Myerscough,on 12/13/2016.,630,647,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,7,12/28/2016,Trust Fund Office. Entered by Judge Sue E. Myerscough on 12/28/2016.,930,998,Trust Fund Office. Entered by Judge,Sue E. Myerscough,on 12/28/2016.,966,983,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,14,01/31/2017,judgment shall enter. Entered by Judge Sue E. Myerscough on 01/31/2017.,138,209,judgment shall enter. Entered by Judge,Sue E. Myerscough,on 01/31/2017.,177,194,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,19,03/17/2017,"10, 2017.Entered by Judge Sue E. Myerscough on 03/17/2017.",189,247,"10, 2017.Entered by Judge",Sue E. Myerscough,on 03/17/2017.,215,232,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02361,ilcd,2016,2:16-cv-02361,22,04/10/2017,judgment shall enter. Entered by Judge Sue E. Myerscough on 04/10/2017.,138,209,judgment shall enter. Entered by Judge,Sue E. Myerscough,on 04/10/2017.,177,194,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,1,05/04/2016,TO SHOW CAUSE entered by Magistrate Judge Eric I. Long on 5/4/2016.,18,85,TO SHOW CAUSE entered by Magistrate Judge,Eric I. Long,on 5/4/2016.,60,72,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,4,05/06/2016,TEXT ORDER entered by Magistrate Judge Eric I. Long on 5/6/2016.,0,64,TEXT ORDER entered by Magistrate Judge,Eric I. Long,on 5/6/2016.,39,51,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,10,06/20/2016,16 Scheduling Conference entered by Magistrate Judge Eric I. Long on 6/20/2016.,19,98,16 Scheduling Conference entered by Magistrate Judge,Eric I. Long,on 6/20/2016.,72,84,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,10,06/20/2016,Courtroom B in Urbana before Magistrate Judge Eric I. Long. See written Order.(DS,164,245,Courtroom B in Urbana before Magistrate Judge,Eric I. Long,. See written Order.(DS,210,222,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,13,07/07/2016,TEXT ORDER entered by Magistrate Judge Eric I. Long on 7/7/2016.,0,64,TEXT ORDER entered by Magistrate Judge,Eric I. Long,on 7/7/2016.,39,51,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,14,07/21/2016,/21/16 before Magistrate Judge Eric I. Long. Appearance for Plaintiff by Ryan Bradley,35,120,/21/16 before Magistrate Judge,Eric I. Long,. Appearance for Plaintiff by Ryan Bradley,66,78,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,14,07/21/2016,will place call) before Magistrate Judge Eric I. Long to discuss possible court hosted mediation or,807,906,will place call) before Magistrate Judge,Eric I. Long,to discuss possible court hosted mediation or,848,860,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,20,09/16/2016,TEXT ORDER Entered by Magistrate Judge Eric I. Long on 9/16/16.,0,63,TEXT ORDER Entered by Magistrate Judge,Eric I. Long,on 9/16/16.,39,51,line_entry,SPACY JNLP2
ilcd;;2:16-cv-02121,ilcd,2016,2:16-cv-02121,22,10/05/2016,/5/16 before Magistrate Judge Eric I. Long. Appearances on behalf of plaintiff by,36,117,/5/16 before Magistrate Judge,Eric I. Long,. Appearances on behalf of plaintiff by,66,78,line_entry,SPACY JNLP2
