ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
innd;;3:16-cv-00166,innd,2016,3:16-cv-00166,1,04/06/2016,fee status. Signed by Senior Judge James T Moody on 4/6/2016.,202,263,fee status. Signed by Senior Judge,James T Moody,on 4/6/2016.,237,250,line_entry,SPACY JNLP2
innd;;3:16-cv-00166,innd,2016,3:16-cv-00166,4,06/06/2016,/2016. Signed by Senior Judge James T Moody on 6/6/2016.,172,228,/2016. Signed by Senior Judge,James T Moody,on 6/6/2016.,202,215,line_entry,SPACY JNLP2
innd;;3:16-cv-00166,innd,2016,3:16-cv-00166,9,04/28/2017,Adonis Robinson. Signed by Senior Judge James T Moody on 4/28/17.,452,517,Adonis Robinson. Signed by Senior Judge,James T Moody,on 4/28/17.,492,505,line_entry,SPACY JNLP2
innd;;3:16-cv-00166,innd,2016,3:16-cv-00166,11,05/30/2017,on appeal. Signed by Senior Judge James T Moody on 5/30/17.,398,457,on appeal. Signed by Senior Judge,James T Moody,on 5/30/17.,432,445,line_entry,SPACY JNLP2
innd;;3:16-cv-00062,innd,2016,3:16-cv-00062,2,02/23/2016,without further notice. Signed by Judge Rudy Lozano on 2/23/2016.,251,316,without further notice. Signed by Judge,Rudy Lozano,on 2/23/2016.,291,302,line_entry,SPACY JNLP2
innd;;3:16-cv-00062,innd,2016,3:16-cv-00062,6,03/16/2016,"Watkins, Superintendent) Signed by Judge Rudy Lozano on 3/16/16.",168,232,"Watkins, Superintendent) Signed by Judge",Rudy Lozano,on 3/16/16.,209,220,line_entry,SPACY JNLP2
innd;;3:16-cv-00062,innd,2016,3:16-cv-00062,11,04/05/2017,credit time restored. Signed by Judge Rudy Lozano on 4/5/17.,277,337,credit time restored. Signed by Judge,Rudy Lozano,on 4/5/17.,315,326,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,2,09/30/2016,Judge Joseph S Van Bokkelen and Magistrate Judge Michael,0,56,Judge,Joseph,S Van Bokkelen and Magistrate Judge Michael,6,12,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,2,09/30/2016,"Joseph S Van Bokkelen and Magistrate Judge Michael G Gotsch, Sr added. NEW CASE IFP (tc",6,93,Joseph S Van Bokkelen and Magistrate Judge,"Michael G Gotsch, Sr",added. NEW CASE IFP (tc,49,69,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,3,10/11/2016,plaintiff's counsel. Signed by Judge Joseph S Van Bokkelen on 10/11,304,371,plaintiff's counsel. Signed by Judge,Joseph,S Van Bokkelen on 10/11,341,347,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,10,12/12/2016,Court - South Bend before Magistrate Judge Michael G Gotsch Sr.. Signed by Magistrate Judge Michael G Gotsch,130,238,Court - South Bend before Magistrate Judge,Michael G Gotsch Sr..,Signed by Magistrate Judge Michael G Gotsch,173,194,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,10,12/12/2016,"Gotsch Sr.. Signed by Magistrate Judge Michael G Gotsch, Sr on 12/12/16.",183,255,Gotsch Sr.. Signed by Magistrate Judge,"Michael G Gotsch, Sr",on 12/12/16.,222,242,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,14,12/14/2016,"contact chambers. Approved by Magistrate Judge Michael G Gotsch, Sr on 12/14/2016.",417,499,contact chambers. Approved by Magistrate Judge,"Michael G Gotsch, Sr",on 12/14/2016.,464,484,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,16,12/20/2016,"this case is referred to Magistrate Judge Michael G Gotsch, Sr for all purposes and is reassigned pursuant",119,225,this case is referred to Magistrate Judge,"Michael G Gotsch, Sr",for all purposes and is reassigned pursuant,161,181,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,16,12/20/2016,"Order 2007-10 from Magistrate Judge Michael G Gotsch, Sr and Judge Joseph S Van Bokkelen to",237,328,Order 2007-10 from Magistrate Judge,"Michael G Gotsch, Sr",and Judge Joseph S Van Bokkelen to,273,293,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,16,12/20/2016,"Michael G Gotsch, Sr and Judge Joseph S Van Bokkelen to Magistrate Judge Michael",273,353,"Michael G Gotsch, Sr and Judge",Joseph,S Van Bokkelen to Magistrate Judge Michael,304,310,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,16,12/20/2016,"Joseph S Van Bokkelen to Magistrate Judge Michael G Gotsch, Sr. (rmc) (Entered: 12",304,386,Joseph S Van Bokkelen to Magistrate Judge,"Michael G Gotsch, Sr.",(rmc) (Entered: 12,346,367,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,17,01/13/2017,"appropriate written form. before Magistrate Judge Michael G Gotsch, Sr. Pla appeared by atty Hull. Dft",238,340,appropriate written form. before Magistrate Judge,"Michael G Gotsch, Sr.",Pla appeared by atty Hull. Dft,288,309,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,17,01/13/2017,Court - South Bend before Magistrate Judge Michael G Gotsch Sr. (slm) (Entered: 01,992,1074,Court - South Bend before Magistrate Judge,Michael G Gotsch Sr.,(slm) (Entered: 01,1035,1055,line_entry,SPACY JNLP2
innd;;3:16-cv-00663,innd,2016,3:16-cv-00663,21,05/08/2017,"Hull terminated. Approved by Magistrate Judge Michael G Gotsch, Sr on 5/8/17.",64,141,Hull terminated. Approved by Magistrate Judge,"Michael G Gotsch, Sr",on 5/8/17.,110,130,line_entry,SPACY JNLP2
innd;;2:16-cv-00313,innd,2016,2:16-cv-00313,0,05/01/2019,CASE. Case reassigned to Chief Judge Theresa L Springmann for all further proceedings. Judge Rudy,18,115,CASE. Case reassigned to Chief Judge,Theresa L Springmann,for all further proceedings. Judge Rudy,55,75,line_entry,SPACY JNLP2
innd;;2:16-cv-00313,innd,2016,2:16-cv-00313,0,05/01/2019,Springmann for all further proceedings. Judge Rudy Lozano no longer assigned to case. Signed,65,157,Springmann for all further proceedings. Judge,Rudy Lozano,no longer assigned to case. Signed,111,122,line_entry,SPACY JNLP2
innd;;2:16-cv-00313,innd,2016,2:16-cv-00313,0,05/01/2019,to case. Signed by Chief Judge Theresa L Springmann on 5/1/2019.,142,206,to case. Signed by Chief Judge,Theresa L Springmann,on 5/1/2019.,173,193,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,2,11/17/2016,"ORDER REFERRING PLEA AGREEMENT to Magistrate Judge Michael G Gotsch, Sr as to Jasmine Felske. Signed by",0,103,ORDER REFERRING PLEA AGREEMENT to Magistrate Judge,"Michael G Gotsch, Sr",as to Jasmine Felske. Signed by,51,71,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,2,11/17/2016,to Jasmine Felske. Signed by Judge Jon E DeGuilio on 11/17/2016.,75,139,to Jasmine Felske. Signed by Judge,Jon E DeGuilio,on 11/17/2016.,110,124,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,3,11/18/2016,Court - South Bend before Magistrate Judge Michael G Gotsch Sr. (slm) (Entered: 11,172,254,Court - South Bend before Magistrate Judge,Michael G Gotsch Sr.,(slm) (Entered: 11,215,235,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,6,11/28/2016,"/28/2016 before Magistrate Judge Michael G Gotsch, Sr. Govt appeared by atty Gabrielse. Dft",48,139,/28/2016 before Magistrate Judge,"Michael G Gotsch, Sr.",Govt appeared by atty Gabrielse. Dft,81,102,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,6,11/28/2016,District Court - South Bend before Judge Jon E DeGuilio. Dft released on unsecured bond with,1652,1744,District Court - South Bend before Judge,Jon E DeGuilio,. Dft released on unsecured bond with,1693,1707,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,7,11/28/2016,"Felony Case Before United States Magistrate Judge Michael G Gotsch Sr by United States of America, Jasmine",29,135,Felony Case Before United States Magistrate Judge,Michael G Gotsch Sr,"by United States of America, Jasmine",79,98,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,10,11/28/2016,"1). Signed by Magistrate Judge Michael G Gotsch, Sr on 11/28/16.",58,122,1). Signed by Magistrate Judge,"Michael G Gotsch, Sr",on 11/28/16.,89,109,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,11,12/15/2016,(j). Signed by Judge Jon E DeGuilio on 12/15/2016.,246,296,(j). Signed by Judge,Jon E DeGuilio,on 12/15/2016.,267,281,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,17,02/22/2017,District Court - South Bend before Judge Jon E DeGuilio.Approved by Magistrate Judge Michael G,176,270,District Court - South Bend before Judge,Jon E DeGuilio,.Approved by Magistrate Judge Michael G,217,231,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,17,02/22/2017,"E DeGuilio.Approved by Magistrate Judge Michael G Gotsch, Sr on 2/22/17.",221,293,E DeGuilio.Approved by Magistrate Judge,"Michael G Gotsch, Sr",on 2/22/17.,261,281,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,21,05/30/2017,a text-only order by Judge Jon E DeGuilio on 5/30/2017.,162,217,a text-only order by Judge,Jon E DeGuilio,on 5/30/2017.,189,203,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,24,06/13/2017,District Court - South Bend before Judge Jon E DeGuilio. This is a text-only,153,229,District Court - South Bend before Judge,Jon E DeGuilio,. This is a text-only,194,208,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,24,06/13/2017,a text-only order by Judge Jon E DeGuilio on 6/13/2017.,218,273,a text-only order by Judge,Jon E DeGuilio,on 6/13/2017.,245,259,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,25,06/21/2017,Jasmine Felske (1) before Judge Jon E DeGuilio. Govt appeared by atty Gabrielse.,33,113,Jasmine Felske (1) before Judge,Jon E DeGuilio,. Govt appeared by atty Gabrielse.,65,79,line_entry,SPACY JNLP2
innd;;3:16-cr-00091,innd,2016,3:16-cr-00091,26,06/21/2017,(1). Signed by Judge Jon E DeGuilio on 6/21/2017.,30,79,(1). Signed by Judge,Jon E DeGuilio,on 6/21/2017.,51,65,line_entry,SPACY JNLP2
