ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,0,10/17/2016,out of order) Signed by Judge Richard L. Young on 10/17/2016.,689,750,out of order) Signed by Judge,Richard L. Young,on 10/17/2016.,719,735,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,4,11/01/2016,"13, 2016 of Case to Judge Richard L. Young and Magistrate Judge Tim A. Baker",60,136,"13, 2016 of Case to Judge",Richard L. Young,and Magistrate Judge Tim A. Baker,86,102,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,4,11/01/2016,"Richard L. Young and Magistrate Judge Tim A. Baker. Judge Tanya Walton Pratt, Magistrate",86,174,Richard L. Young and Magistrate Judge,Tim A. Baker,". Judge Tanya Walton Pratt, Magistrate",124,136,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,4,11/01/2016,"Judge Tanya Walton Pratt, Magistrate Judge Mark J. Dinsmore no longer assigned to the case.",138,229,"Judge Tanya Walton Pratt, Magistrate Judge",Mark J. Dinsmore,no longer assigned to the case.,181,197,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,5,11/03/2016,and Procedures. Signed by Magistrate Judge Tim A. Baker on 11/3/2016.,28,97,and Procedures. Signed by Magistrate Judge,Tim A. Baker,on 11/3/2016.,71,83,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,7,11/04/2016,further details. Signed by Magistrate Judge Tim A. Baker on 11/4/2016.,393,463,further details. Signed by Magistrate Judge,Tim A. Baker,on 11/4/2016.,437,449,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,12,11/15/2016,**. Signed by Magistrate Judge Tim A. Baker on 11/15/2016.,199,257,**. Signed by Magistrate Judge,Tim A. Baker,on 11/15/2016.,230,242,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,13,11/15/2016,CONFERENCE for proceedings held before Magistrate Judge Tim A. Baker: The parties appeared by counsel November,37,147,CONFERENCE for proceedings held before Magistrate Judge,Tim A. Baker,: The parties appeared by counsel November,93,105,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,13,11/15/2016,early 2017. Signed by Magistrate Judge Tim A. Baker. (JRT) (Entered:,645,713,early 2017. Signed by Magistrate Judge,Tim A. Baker,. (JRT) (Entered:,684,696,line_entry,SPACY JNLP2
insd;;1:16-cv-02954,insd,2016,1:16-cv-02954,14,11/15/2016,**. Signed by Magistrate Judge Tim A. Baker on 11/15/2016.,518,576,**. Signed by Magistrate Judge,Tim A. Baker,on 11/15/2016.,549,561,line_entry,SPACY JNLP2
