ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,5,01/11/2016,ASSIGNMENT: Case assigned to District Judge Daniel D. Crabtree and Magistrate Judge Gerald L. Rushfelt,16,118,ASSIGNMENT: Case assigned to District Judge,Daniel D. Crabtree,and Magistrate Judge Gerald L. Rushfelt,60,78,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,5,01/11/2016,Daniel D. Crabtree and Magistrate Judge Gerald L. Rushfelt for all proceedings. (This is,60,148,Daniel D. Crabtree and Magistrate Judge,Gerald L. Rushfelt,for all proceedings. (This is,100,118,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,8,01/19/2016,", Inc. (referred to Magistrate Judge Gerald L. Rushfelt) (Webb, Danne) (",97,169,", Inc. (referred to Magistrate Judge",Gerald L. Rushfelt,") (Webb, Danne) (",134,152,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,11,01/19/2016,", 2016. Signed by Magistrate Judge Gerald L. Rushfelt on 1/19/2016.",137,204,", 2016. Signed by Magistrate Judge",Gerald L. Rushfelt,on 1/19/2016.,172,190,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,13,02/01/2016,", Inc. (referred to Magistrate Judge Gerald L. Rushfelt) (Webb, Danne) (",121,193,", Inc. (referred to Magistrate Judge",Gerald L. Rushfelt,") (Webb, Danne) (",158,176,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,14,02/01/2016,", 2016. Signed by Magistrate Judge Gerald L. Rushfelt on 2/1/16.",138,202,", 2016. Signed by Magistrate Judge",Gerald L. Rushfelt,on 2/1/16.,173,191,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,16,03/03/2016,", Inc. (referred to Magistrate Judge Gerald L. Rushfelt) (Attachments: # 1 Affidavit",179,263,", Inc. (referred to Magistrate Judge",Gerald L. Rushfelt,) (Attachments: # 1 Affidavit,216,234,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,17,03/11/2016,15 PM in Telephone before Magistrate Judge Gerald L. Rushfelt. Report of Parties Planning Meeting deadline,95,201,15 PM in Telephone before Magistrate Judge,Gerald L. Rushfelt,. Report of Parties Planning Meeting deadline,138,156,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,17,03/11/2016,/2016. Signed by Magistrate Judge Gerald L. Rushfelt on 3/11/16.,259,323,/2016. Signed by Magistrate Judge,Gerald L. Rushfelt,on 3/11/16.,293,311,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,18,03/17/2016,gov/. Signed by Magistrate Judge Gerald L. Rushfelt on 3/17/16.,405,468,gov/. Signed by Magistrate Judge,Gerald L. Rushfelt,on 3/17/16.,438,456,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,20,04/15/2016,", Inc. (referred to Magistrate Judge Gerald L. Rushfelt) (Attachments: # 1 Affidavit",173,257,", Inc. (referred to Magistrate Judge",Gerald L. Rushfelt,) (Attachments: # 1 Affidavit,210,228,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,24,04/28/2016,gov/. Signed by Magistrate Judge Gerald L. Rushfelt on 4/28/16.,399,462,gov/. Signed by Magistrate Judge,Gerald L. Rushfelt,on 4/28/16.,432,450,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,29,05/10/2016,/2016. Signed by District Judge Daniel D. Crabtree on 05/10/2016.,134,199,/2016. Signed by District Judge,Daniel D. Crabtree,on 05/10/2016.,166,184,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,30,05/17/2016,ENTRY for proceedings held before Magistrate Judge Gerald L. Rushfelt: PHONE SCHEDULING CONFERENCE held on 5,7,115,ENTRY for proceedings held before Magistrate Judge,Gerald L. Rushfelt,: PHONE SCHEDULING CONFERENCE held on 5,58,76,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,31,05/25/2016,15 PM in Telephone before Magistrate Judge Gerald L. Rushfelt. Dispositive motion deadline 1/16,140,235,15 PM in Telephone before Magistrate Judge,Gerald L. Rushfelt,. Dispositive motion deadline 1/16,183,201,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,31,05/25/2016,"Courtroom (Unknown) before District Judge Daniel D. Crabtree, estimated trial time 2 days.",290,380,Courtroom (Unknown) before District Judge,Daniel D. Crabtree,", estimated trial time 2 days.",332,350,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,31,05/25/2016,the conference. Signed by Magistrate Judge Gerald L. Rushfelt on 5/25/16.,466,539,the conference. Signed by Magistrate Judge,Gerald L. Rushfelt,on 5/25/16.,509,527,line_entry,SPACY JNLP2
ksd;;2:16-cv-02018,ksd,2016,2:16-cv-02018,36,06/10/2016,/2016. Signed by District Judge Daniel D. Crabtree on 06/10/2016.,128,193,/2016. Signed by District Judge,Daniel D. Crabtree,on 06/10/2016.,160,178,line_entry,SPACY JNLP2
ksd;;6:16-cv-01087,ksd,2016,6:16-cv-01087,3,04/05/2016,ASSIGNMENT: Case assigned to District Judge John W. Lungstrum for all proceedings. (This is,16,107,ASSIGNMENT: Case assigned to District Judge,John W. Lungstrum,for all proceedings. (This is,60,77,line_entry,SPACY JNLP2
ksd;;6:16-cv-01087,ksd,2016,6:16-cv-01087,8,07/21/2016,/2016. Signed by District Judge John W. Lungstrum on 07/21/2016.,133,197,/2016. Signed by District Judge,John W. Lungstrum,on 07/21/2016.,165,182,line_entry,SPACY JNLP2
ksd;;6:16-cv-01087,ksd,2016,6:16-cv-01087,11,08/24/2016,/2016. Signed by District Judge John W. Lungstrum on 08/24/2016.,160,224,/2016. Signed by District Judge,John W. Lungstrum,on 08/24/2016.,192,209,line_entry,SPACY JNLP2
ksd;;6:16-cv-01087,ksd,2016,6:16-cv-01087,14,02/27/2017,'s decision. Signed by District Judge John W. Lungstrum on 02/27/2017.,148,218,'s decision. Signed by District Judge,John W. Lungstrum,on 02/27/2017.,186,203,line_entry,SPACY JNLP2
ksd;;6:16-cv-01357,ksd,2016,6:16-cv-01357,0,09/16/2016,).   Signed by Chief Judge J. Thomas Marten on 09/16/2016.,298,356,).   Signed by Chief Judge,J. Thomas Marten,on 09/16/2016.,325,341,line_entry,SPACY JNLP2
ksd;;6:16-cv-01077,ksd,2016,6:16-cv-01077,4,03/25/2016,ASSIGNMENT: Case assigned to District Judge Eric F. Melgren for all proceedings. (This is,16,105,ASSIGNMENT: Case assigned to District Judge,Eric F. Melgren,for all proceedings. (This is,60,75,line_entry,SPACY JNLP2
