ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,1,01/27/2016,with the court. Signed by Judge David L. Bunning on 01/13/2011.,923,986,with the court. Signed by Judge,David L. Bunning,on 01/13/2011.,955,971,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,5,02/26/2016,28/2016.Signed by Judge David L. Bunning on 2/26/2016.,466,520,28/2016.Signed by Judge,David L. Bunning,on 2/26/2016.,490,506,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,8,03/08/2016,Agreed Order. Signed by Magistrate Judge J. Gregory Wehrman on 3/8/2016.,267,339,Agreed Order. Signed by Magistrate Judge,J. Gregory Wehrman,on 3/8/2016.,308,326,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,13,03/23/2016,hereby REFERRED to United States Magistrate Judge J. Gregory Wehrman to conduct all proceedings and enter final,51,162,hereby REFERRED to United States Magistrate Judge,J. Gregory Wehrman,to conduct all proceedings and enter final,101,119,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,13,03/23/2016,(c).. Signed by Judge David L. Bunning on 3/23/2016.,207,259,(c).. Signed by Judge,David L. Bunning,on 3/23/2016.,229,245,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,14,03/23/2016,by reference. Signed by Magistrate Judge J. Gregory Wehrman on 3/23/2016.,831,904,by reference. Signed by Magistrate Judge,J. Gregory Wehrman,on 3/23/2016.,872,890,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,19,09/09/2016,*FILE SUBMITTED TO CHAMBERS of MAGISTRATE WEHRMAN for review: re 19 Proposed Agreed,2,85,*FILE SUBMITTED TO CHAMBERS of MAGISTRATE,WEHRMAN,for review: re 19 Proposed Agreed,44,51,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,20,09/12/2016,are adopted. Signed by Magistrate Judge J. Gregory Wehrman on 9/9/2016.,811,882,are adopted. Signed by Magistrate Judge,J. Gregory Wehrman,on 9/9/2016.,851,869,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,28,02/01/2017,FILE SUBMITTED TO CHAMBERS of Magistrate Judge Wehrman for review: re 27 Proposed Agreed,3,91,FILE SUBMITTED TO CHAMBERS of Magistrate Judge,Wehrman,for review: re 27 Proposed Agreed,50,57,line_entry,SPACY JNLP2
kyed;;2:16-cv-00012,kyed,2016,2:16-cv-00012,29,02/01/2017,/prejudice. Signed by Magistrate Judge J. Gregory Wehrman on 2/1/2017.,214,284,/prejudice. Signed by Magistrate Judge,J. Gregory Wehrman,on 2/1/2017.,253,271,line_entry,SPACY JNLP2
