ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,2,07/20/2016,Selection): Case Assigned to Senior Judge Charles R. Simpson III. Magistrate Judge designation: Judge Dave Whalin,24,137,Selection): Case Assigned to Senior Judge,Charles R. Simpson III.,Magistrate Judge designation: Judge Dave Whalin,66,89,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,2,07/20/2016,III. Magistrate Judge designation: Judge Dave Whalin. (JSS) (Entered:,85,154,III. Magistrate Judge designation: Judge,Dave Whalin,. (JSS) (Entered:,126,137,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,5,08/02/2016,"ORDER (EBOC) by Senior Judge Charles R. Simpson, III on 8/2/2016,",0,65,ORDER (EBOC) by Senior Judge,"Charles R. Simpson, III","on 8/2/2016,",29,52,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,5,08/02/2016,"2016, REFERRING case to Magistrate Judge Dave Whalin. Scheduling Conference is set for 10",60,149,"2016, REFERRING case to Magistrate Judge",Dave Whalin,. Scheduling Conference is set for 10,101,112,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,5,08/02/2016,00 AM in chambers before Magistrate Judge Dave Whalin.cc: Counsel (RLK),163,234,00 AM in chambers before Magistrate Judge,Dave Whalin,.cc: Counsel (RLK),205,216,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,6,08/08/2016,TEXT ORDER by Magistrate Judge Dave Whalin on 8/8/2016.,0,55,TEXT ORDER by Magistrate Judge,Dave Whalin,on 8/8/2016.,31,42,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,6,08/08/2016,11:00 AM before Magistrate Judge Dave Whalin. This Notice of Electronic Filing is,185,266,11:00 AM before Magistrate Judge,Dave Whalin,. This Notice of Electronic Filing is,218,229,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,12,10/11/2016,TEXT ORDER by Magistrate Judge Dave Whalin on 10/14/2016.,0,57,TEXT ORDER by Magistrate Judge,Dave Whalin,on 10/14/2016.,31,42,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,12,10/11/2016,"11:00 AM before Magistrate Judge Dave Whalin, will be TELEPHONIC. The Court",137,212,11:00 AM before Magistrate Judge,Dave Whalin,", will be TELEPHONIC. The Court",170,181,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,14,10/14/2016,TEXT ORDER by Magistrate Judge Dave Whalin on 10/14/2016.,0,57,TEXT ORDER by Magistrate Judge,Dave Whalin,on 10/14/2016.,31,42,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,15,10/14/2016,"ORDER signed by Magistrate Judge Dave Whalin on 10/14/2016,",0,59,ORDER signed by Magistrate Judge,Dave Whalin,"on 10/14/2016,",33,44,line_entry,SPACY JNLP2
kywd;;3:16-cv-00469,kywd,2016,3:16-cv-00469,16,10/19/2016,"ORDER (EBOC) by Senior Judge Charles R. Simpson, III, on 10/19/2016",0,67,ORDER (EBOC) by Senior Judge,"Charles R. Simpson, III",", on 10/19/2016",29,52,line_entry,SPACY JNLP2
