ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,2,09/16/2016,00 AM in chambers before Magistrate Judge Erin Wilder-Doomes. Status Report due by 11/,76,162,00 AM in chambers before Magistrate Judge,Erin Wilder-Doomes,. Status Report due by 11/,118,136,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,2,09/16/2016,/2016. Signed by Magistrate Judge Erin Wilder-Doomes on 09/16/2016.,163,230,/2016. Signed by Magistrate Judge,Erin Wilder-Doomes,on 09/16/2016.,197,215,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,5,11/14/2016,00 AM in chambers before Magistrate Judge Erin Wilder-Doomes. Status Report due by 1/,138,223,00 AM in chambers before Magistrate Judge,Erin Wilder-Doomes,. Status Report due by 1/,180,198,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,13,01/20/2017,at 2:30 PM before Judge John W. deGravelles. Counsel for Plaintiff is responsible for,71,156,at 2:30 PM before Judge,John W. deGravelles,. Counsel for Plaintiff is responsible for,95,114,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,15,01/20/2017,Minute Entry for proceedings held before Judge John W. deGravelles: Telephone Status Conference held on 1,0,105,Minute Entry for proceedings held before Judge,John W. deGravelles,: Telephone Status Conference held on 1,47,66,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,17,01/26/2017,N.A. Signed by Judge John W. deGravelles on 01/26/2017.,153,208,N.A. Signed by Judge,John W. deGravelles,on 01/26/2017.,174,193,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,18,01/27/2017,"30 PM in chambers before Magistrate Judge Erin Wilder-Doomes. Amended Status Report, if necessary",190,287,30 PM in chambers before Magistrate Judge,Erin Wilder-Doomes,". Amended Status Report, if necessary",232,250,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,20,02/06/2017,subject matter jurisdiction. Signed by Judge John W. deGravelles on 02/06/2017.,244,323,subject matter jurisdiction. Signed by Judge,John W. deGravelles,on 02/06/2017.,289,308,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,21,02/08/2017,is necessary. Signed by Magistrate Judge Erin Wilder-Doomes on 2/7/2017.,784,856,is necessary. Signed by Magistrate Judge,Erin Wilder-Doomes,on 2/7/2017.,825,843,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,22,02/24/2017,/2017. Signed by Magistrate Judge Erin Wilder-Doomes on 2/24/2017.,514,580,/2017. Signed by Magistrate Judge,Erin Wilder-Doomes,on 2/24/2017.,548,566,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,23,02/27/2017,Amended Complaint. Signed by Magistrate Judge Erin Wilder-Doomes on 02/27/2017.,52,131,Amended Complaint. Signed by Magistrate Judge,Erin Wilder-Doomes,on 02/27/2017.,98,116,line_entry,SPACY JNLP2
lamd;;3:16-cv-00599,lamd,2016,3:16-cv-00599,26,03/07/2017,is not consummated. Signed by Judge John W. deGravelles on 03/07/2017.,169,239,is not consummated. Signed by Judge,John W. deGravelles,on 03/07/2017.,205,224,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,3,12/20/2016,30 AM in chambers before Magistrate Judge Richard L. Bourgeois Jr. Status Report due by 1/25,74,166,30 AM in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Status Report due by 1/25,116,140,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,3,12/20/2016,"/2017. Signed by Magistrate Judge Richard L. Bourgeois, Jr. on 12/20/2016.",166,240,/2017. Signed by Magistrate Judge,"Richard L. Bourgeois, Jr.",on 12/20/2016.,200,225,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,4,01/17/2017,30 PM in chambers before Magistrate Judge Richard L. Bourgeois Jr. Deadline to file Joint Status Report is,125,231,30 PM in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Deadline to file Joint Status Report is,167,191,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,7,03/06/2017,30 AM in chambers before Magistrate Judge Richard L. Bourgeois Jr. Deadline to file Joint Status Report is,154,260,30 AM in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Deadline to file Joint Status Report is,196,220,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,8,04/13/2017,15 AM in chambers before Magistrate Judge Richard L. Bourgeois Jr. Deadline to file Joint Status Report is,87,193,15 AM in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Deadline to file Joint Status Report is,129,153,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,9,05/03/2017,00 p.m. in chambers before Magistrate Judge Richard L. Bourgeois Jr. Deadline to file Joint Status Report is,113,221,00 p.m. in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Deadline to file Joint Status Report is,157,181,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,11,06/07/2017,"00 p.m. before United States Magistrate Judge Richard L. Bourgeois, Jr. are CANCELLED. (This is a",205,302,00 p.m. before United States Magistrate Judge,"Richard L. Bourgeois, Jr.",are CANCELLED. (This is a,251,276,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,15,01/03/2018,be entered accordingly. Signed by Judge Shelly D. Dick on 1/3/2018.,123,190,be entered accordingly. Signed by Judge,Shelly D. Dick,on 1/3/2018.,163,177,line_entry,SPACY JNLP2
lamd;;3:16-cv-00822,lamd,2016,3:16-cv-00822,16,01/03/2018,dismissed without prejudice. Signed by Judge Shelly D. Dick on 1/3/2018.,263,335,dismissed without prejudice. Signed by Judge,Shelly D. Dick,on 1/3/2018.,308,322,line_entry,SPACY JNLP2
lamd;;3:16-cv-00318,lamd,2016,3:16-cv-00318,2,05/24/2016,30 PM in chambers before Magistrate Judge Richard L. Bourgeois Jr. Status Report due by 6/30,75,167,30 PM in chambers before Magistrate Judge,Richard L. Bourgeois Jr.,Status Report due by 6/30,117,141,line_entry,SPACY JNLP2
lamd;;3:16-cv-00318,lamd,2016,3:16-cv-00318,2,05/24/2016,"/2016. Signed by Magistrate Judge Richard L. Bourgeois, Jr on 5/24/2016.",167,239,/2016. Signed by Magistrate Judge,"Richard L. Bourgeois, Jr",on 5/24/2016.,201,225,line_entry,SPACY JNLP2
