ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,11,01/04/2016,was filed. So Ordered by Judge Landya B. McCafferty.(ko) (Entered:,235,301,was filed. So Ordered by Judge,Landya B. McCafferty,.(ko) (Entered:,266,286,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,24,02/03/2016,matter jurisdiction. So Ordered by Judge Landya B. McCafferty.(ko) (Entered:,239,315,matter jurisdiction. So Ordered by Judge,Landya B. McCafferty,.(ko) (Entered:,280,300,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,28,02/18/2016,Stay Dismissal. So Ordered by Judge Landya B. McCafferty.(gla) (Entered:,39,111,Stay Dismissal. So Ordered by Judge,Landya B. McCafferty,.(gla) (Entered:,75,95,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,37,04/19/2016,without prejudice. So Ordered by Judge Landya B. McCafferty.(gla) (Entered:,278,353,without prejudice. So Ordered by Judge,Landya B. McCafferty,.(gla) (Entered:,317,337,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,60,08/16/2016,NOTICE of Case Assignment. Magistrate Judge Marianne B. Bowler assigned to case. Plaintiff's counsel,0,100,NOTICE of Case Assignment. Magistrate Judge,Marianne B. Bowler,assigned to case. Plaintiff's counsel,44,62,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,61,08/16/2016,"PM in Courtroom 25 before Magistrate Judge Marianne B. Bowler. (Garvin, Brendan) (",426,508,PM in Courtroom 25 before Magistrate Judge,Marianne B. Bowler,". (Garvin, Brendan) (",469,487,line_entry,SPACY JNLP2
mad;;1:16-cv-11661,mad,2016,1:16-cv-11661,64,08/18/2016,"ELECTRONIC NOTICE of Reassignment. Judge Nathaniel M. Gorton added. (Abaid, Kimberly)",0,85,ELECTRONIC NOTICE of Reassignment. Judge,Nathaniel M. Gorton,"added. (Abaid, Kimberly)",41,60,line_entry,SPACY JNLP2
mad;;1:16-cv-10955,mad,2016,1:16-cv-10955,2,05/26/2016,"ELECTRONIC NOTICE of Case Assignment. Judge Douglas P. Woodlock assigned to case. (Abaid,",0,89,ELECTRONIC NOTICE of Case Assignment. Judge,Douglas P. Woodlock,"assigned to case. (Abaid,",44,63,line_entry,SPACY JNLP2
mad;;1:16-cv-10955,mad,2016,1:16-cv-10955,5,10/22/2016,Judge Douglas P. Woodlock: ORDER entered in case 1:,0,51,Judge,Douglas P. Woodlock,: ORDER entered in case 1:,6,25,line_entry,SPACY JNLP2
mad;;1:16-cv-10955,mad,2016,1:16-cv-10955,6,01/26/2017,Judge Douglas P. Woodlock: CASE MANAGEMENT ORDER NO. 17,0,55,Judge,Douglas P. Woodlock,: CASE MANAGEMENT ORDER NO. 17,6,25,line_entry,SPACY JNLP2
mad;;1:16-cv-10955,mad,2016,1:16-cv-10955,7,03/09/2017,Judge Douglas P. Woodlock: MEMORANDUM REGARDING CASE MANAGEMENT ORDER NO,0,72,Judge,Douglas P. Woodlock,: MEMORANDUM REGARDING CASE MANAGEMENT ORDER NO,6,25,line_entry,SPACY JNLP2
