ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mdd;;1:16-cv-02159,mdd,2016,1:16-cv-02159,0,08/24/2016,MEMORANDUM.  Signed by Judge James K. Bredar on 8/24/2016.,0,58,MEMORANDUM.  Signed by Judge,James K. Bredar,on 8/24/2016.,29,44,line_entry,SPACY JNLP2
mdd;;1:16-cv-01981,mdd,2016,1:16-cv-01981,1,09/28/2017,Case reassigned to Chief Judge Catherine C. Blake. Judge William M Nickerson no longer,0,86,Case reassigned to Chief Judge,Catherine C. Blake,. Judge William M Nickerson no longer,31,49,line_entry,SPACY JNLP2
mdd;;1:16-cv-01981,mdd,2016,1:16-cv-01981,1,09/28/2017,Judge Catherine C. Blake. Judge William M Nickerson no longer assigned to the case.,25,108,Judge Catherine C. Blake. Judge,William M Nickerson,no longer assigned to the case.,57,76,line_entry,SPACY JNLP2
mdd;;1:16-cv-01981,mdd,2016,1:16-cv-01981,2,11/17/2017,close the case. Signed by Judge Catherine C. Blake on 11/17/2017.,186,251,close the case. Signed by Judge,Catherine C. Blake,on 11/17/2017.,218,236,line_entry,SPACY JNLP2
mdd;;1:16-cv-03904,mdd,2016,1:16-cv-03904,1,12/06/2016,"Case Assigned to Judge George Levi Russell, III. (ko",0,52,Case Assigned to Judge,George,"Levi Russell, III. (ko",23,29,line_entry,SPACY JNLP2
mdd;;1:16-cv-03904,mdd,2016,1:16-cv-03904,1,12/06/2016,"Case Assigned to Judge George Levi Russell, III. (ko, Deputy Clerk) (",0,69,Case Assigned to Judge George Levi,"Russell, III.","(ko, Deputy Clerk) (",35,48,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,1,09/20/2016,Case reassigned to Judge Marvin J. Garbis. Judge Ellen L. Hollander no,0,70,Case reassigned to Judge,Marvin J. Garbis,. Judge Ellen L. Hollander no,25,41,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,1,09/20/2016,Judge Marvin J. Garbis. Judge Ellen L. Hollander no longer assigned to the case.,19,99,Judge Marvin J. Garbis. Judge,Ellen L. Hollander,no longer assigned to the case.,49,67,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,7,10/13/2016,R. Maghari. Signed by Judge Marvin J. Garbis on 10/13/2016.,109,168,R. Maghari. Signed by Judge,Marvin J. Garbis,on 10/13/2016.,137,153,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,8,10/14/2016,ORDER REFERRING CASE to Magistrate Judge Timothy J. Sullivan for settlement. Signed by Judge Marvin,0,99,ORDER REFERRING CASE to Magistrate Judge,Timothy J. Sullivan,for settlement. Signed by Judge Marvin,41,60,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,8,10/14/2016,Sullivan for settlement. Signed by Judge Marvin J. Garbis on 10/14/2016.,52,124,Sullivan for settlement. Signed by Judge,Marvin J. Garbis,on 10/14/2016.,93,109,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,11,11/08/2016,", 2017. Signed by Magistrate Judge Timothy J. Sullivan on 11/8/2016.",81,149,", 2017. Signed by Magistrate Judge",Timothy J. Sullivan,on 11/8/2016.,116,135,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,13,01/24/2017,/24/2017 before Magistrate Judge Timothy J. Sullivan. Associated Cases: 1:16,31,107,/24/2017 before Magistrate Judge,Timothy J. Sullivan,. Associated Cases: 1:16,64,83,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,15,01/30/2017,", Sherry Orban. Signed by Judge Marvin J. Garbis on 1/30/2017.",68,130,", Sherry Orban. Signed by Judge",Marvin J. Garbis,on 1/30/2017.,100,116,line_entry,SPACY JNLP2
mdd;;1:16-cv-03179,mdd,2016,1:16-cv-03179,18,02/27/2017,for Settlement Approval. Signed by Judge Marvin J. Garbis on 2/27/2017.,31,102,for Settlement Approval. Signed by Judge,Marvin J. Garbis,on 2/27/2017.,72,88,line_entry,SPACY JNLP2
mdd;;8:16-cv-01882,mdd,2016,8:16-cv-01882,2,06/09/2016,by that Court. Signed by Judge Deborah K. Chasanow on 6/9/2016.,178,241,by that Court. Signed by Judge,Deborah K. Chasanow,on 6/9/2016.,209,228,line_entry,SPACY JNLP2
