ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
med;;1:16-cr-00022,med,2016,1:16-cr-00022,1,02/11/2016,"KLINGENSMITH (1). By JUDGE JOHN A. WOODCOCK, JR. (jlg) (Entered: 02",77,144,KLINGENSMITH (1). By JUDGE,"JOHN A. WOODCOCK, JR.",(jlg) (Entered: 02,104,125,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,8,02/16/2016,in Bangor Courtroom 1 before MAGISTRATE JUDGE JOHN C. NIVISON. (bld) (Entered:,84,162,in Bangor Courtroom 1 before MAGISTRATE JUDGE,JOHN C. NIVISON,. (bld) (Entered:,130,145,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,11,02/16/2016,Entry for proceedings held before MAGISTRATE JUDGE JOHN C. NIVISON:Initial Appearance held as to WILLIAM,7,111,Entry for proceedings held before MAGISTRATE JUDGE,JOHN C. NIVISON,:Initial Appearance held as to WILLIAM,58,73,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,13,02/16/2016,to WILLIAM KLINGENSMITH. By MAGISTRATE JUDGE JOHN C. NIVISON. (bld) (Entered:,39,116,to WILLIAM KLINGENSMITH. By MAGISTRATE JUDGE,JOHN C. NIVISON,. (bld) (Entered:,84,99,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,15,02/16/2016,5/2016. By MAGISTRATE JUDGE JOHN C. NIVISON. (bld) (Entered:,109,169,5/2016. By MAGISTRATE JUDGE,JOHN C. NIVISON,. (bld) (Entered:,137,152,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,18,03/03/2016,"KLINGENSMITH (1). By JUDGE JOHN A. WOODCOCK, JR. (jlg) (Entered: 03",122,189,KLINGENSMITH (1). By JUDGE,"JOHN A. WOODCOCK, JR.",(jlg) (Entered: 03,149,170,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,22,03/23/2016,"KLINGENSMITH (1) By MAGISTRATE JUDGE JOHN C. NIVISON. (NIVISON, JOHN) Modified",100,178,KLINGENSMITH (1) By MAGISTRATE JUDGE,JOHN C. NIVISON,". (NIVISON, JOHN) Modified",137,152,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,23,03/23/2016,"Gray, Deputy Clerk for MAGISTRATE JUDGE JOHN C. NIVISON as to WILLIAM KLINGENSMITH. Original delivered",37,139,"Gray, Deputy Clerk for MAGISTRATE JUDGE",JOHN C. NIVISON,as to WILLIAM KLINGENSMITH. Original delivered,77,92,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,25,03/23/2016,in Bangor Courtroom 1 before MAGISTRATE JUDGE JOHN C. NIVISON. (bld) (Entered:,185,263,in Bangor Courtroom 1 before MAGISTRATE JUDGE,JOHN C. NIVISON,. (bld) (Entered:,231,246,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,26,03/23/2016,Entry for proceedings held before MAGISTRATE JUDGE JOHN C. NIVISON: Motion Hearing as to WILLIAM KLINGENSMITH,7,116,Entry for proceedings held before MAGISTRATE JUDGE,JOHN C. NIVISON,: Motion Hearing as to WILLIAM KLINGENSMITH,58,73,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,27,03/23/2016,in Bangor Courtroom 1 before MAGISTRATE JUDGE JOHN C. NIVISON. (bld) (Entered:,180,258,in Bangor Courtroom 1 before MAGISTRATE JUDGE,JOHN C. NIVISON,. (bld) (Entered:,226,241,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,28,03/24/2016,as to WILLIAM KLINGENSMITH By MAGISTRATE JUDGE JOHN C. NIVISON. (CWP) (Entered:,29,108,as to WILLIAM KLINGENSMITH By MAGISTRATE JUDGE,JOHN C. NIVISON,. (CWP) (Entered:,76,91,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,30,03/30/2016,Entry for proceedings held before MAGISTRATE JUDGE JOHN C. NIVISON: Motion Hearing held as to WILLIAM,7,108,Entry for proceedings held before MAGISTRATE JUDGE,JOHN C. NIVISON,: Motion Hearing held as to WILLIAM,58,73,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,31,03/31/2016,(1). By MAGISTRATE JUDGE JOHN C. NIVISON. (jlg) (Entered:,112,169,(1). By MAGISTRATE JUDGE,JOHN C. NIVISON,. (jlg) (Entered:,137,152,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,32,03/31/2016,to WILLIAM KLINGENSMITH. By MAGISTRATE JUDGE JOHN C. NIVISON. (jlg) (Entered:,47,124,to WILLIAM KLINGENSMITH. By MAGISTRATE JUDGE,JOHN C. NIVISON,. (jlg) (Entered:,92,107,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,34,05/05/2016,"KLINGENSMITH (1). By JUDGE JOHN A. WOODCOCK, JR. (jlg) (Entered: 05",132,199,KLINGENSMITH (1). By JUDGE,"JOHN A. WOODCOCK, JR.",(jlg) (Entered: 05,159,180,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,36,07/01/2016,AM in Bangor Courtroom 2 before JUDGE JOHN A. WOODCOCK JR. On Trial List for 8/2,77,157,AM in Bangor Courtroom 2 before JUDGE,JOHN A. WOODCOCK JR.,On Trial List for 8/2,115,135,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,37,07/18/2016,PM in Bangor Courtroom 2 before JUDGE JOHN A. WOODCOCK JR. The defendant will be required to identify,92,193,PM in Bangor Courtroom 2 before JUDGE,JOHN A. WOODCOCK JR.,The defendant will be required to identify,130,150,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,40,07/25/2016,"WILLIAM KLINGENSMITH (1) By JUDGE JOHN A. WOODCOCK, JR. (sfw) (Entered: 07",99,173,WILLIAM KLINGENSMITH (1) By JUDGE,"JOHN A. WOODCOCK, JR.",(sfw) (Entered: 07,133,154,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,43,08/04/2016,"Minute Entry for proceedings held before JUDGE JOHN A. WOODCOCK, JR:Change of Plea Hearing held as",0,98,Minute Entry for proceedings held before JUDGE,"JOHN A. WOODCOCK, JR",:Change of Plea Hearing held as,47,67,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,47,09/19/2016,"WILLIAM KLINGENSMITH (1) By JUDGE JOHN A. WOODCOCK, JR. (sfw) (Entered: 09",119,193,WILLIAM KLINGENSMITH (1) By JUDGE,"JOHN A. WOODCOCK, JR.",(sfw) (Entered: 09,153,174,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,48,11/29/2016,at 3:30 PM in Judge Woodcock's Chambers before JUDGE JOHN A. WOODCOCK,88,157,at 3:30 PM in Judge,Woodcock's,Chambers before JUDGE JOHN A. WOODCOCK,108,118,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,48,11/29/2016,in Judge Woodcock's Chambers before JUDGE JOHN A. WOODCOCK JR. (MFS) (Entered: 11,99,180,in Judge Woodcock's Chambers before JUDGE,JOHN A. WOODCOCK JR.,(MFS) (Entered: 11,141,161,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,49,12/14/2016,"Minute Entry for proceedings held before JUDGE JOHN A. WOODCOCK, JR:Presentence Conference held as to WILLIAM",0,109,Minute Entry for proceedings held before JUDGE,"JOHN A. WOODCOCK, JR",:Presentence Conference held as to WILLIAM,47,67,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,50,12/14/2016,PM in Bangor Courtroom 2 before JUDGE JOHN A. WOODCOCK JR. Sentencing Exhibits and Documents specified in Local,83,194,PM in Bangor Courtroom 2 before JUDGE,JOHN A. WOODCOCK JR.,Sentencing Exhibits and Documents specified in Local,121,141,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,52,01/30/2017,"KLINGENSMITH (1). By JUDGE JOHN A. WOODCOCK, JR. (jgd) (Entered: 01",62,129,KLINGENSMITH (1). By JUDGE,"JOHN A. WOODCOCK, JR.",(jgd) (Entered: 01,89,110,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,53,01/31/2017,AM in Bangor Courtroom 2 before JUDGE JOHN A. WOODCOCK JR. Sentencing Exhibits and Documents specified in Local,95,206,AM in Bangor Courtroom 2 before JUDGE,JOHN A. WOODCOCK JR.,Sentencing Exhibits and Documents specified in Local,133,153,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,54,03/03/2017,PM in PORTLAND Courtroom 2 before JUDGE JOHN A. WOODCOCK JR. Sentencing Exhibits and Documents specified in Local,122,235,PM in PORTLAND Courtroom 2 before JUDGE,JOHN A. WOODCOCK JR.,Sentencing Exhibits and Documents specified in Local,162,182,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,55,03/28/2017,"Minute Entry for proceedings held before JUDGE JOHN A. WOODCOCK, JR: Sentencing held as to WILLIAM KLINGENSMITH",0,111,Minute Entry for proceedings held before JUDGE,"JOHN A. WOODCOCK, JR",: Sentencing held as to WILLIAM KLINGENSMITH,47,67,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,58,03/28/2017,"WILLIAM KLINGENSMITH (1) By JUDGE JOHN A. WOODCOCK, JR. (nrg) (Entered: 03",66,140,WILLIAM KLINGENSMITH (1) By JUDGE,"JOHN A. WOODCOCK, JR.",(nrg) (Entered: 03,100,121,line_entry,SPACY JNLP2
med;;1:16-cr-00022,med,2016,1:16-cr-00022,59,03/28/2017,"as to WILLIAM KLINGENSMITH. By JUDGE JOHN A. WOODCOCK, JR. (jgd) Modified on 3/",9,88,as to WILLIAM KLINGENSMITH. By JUDGE,"JOHN A. WOODCOCK, JR.",(jgd) Modified on 3/,46,67,line_entry,SPACY JNLP2
