ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mied;;2:16-cv-10083,mied,2016,2:16-cv-10083,18,01/11/2017,of attorney. Signed by District Judge Gershwin A. Drain. (DPer) (Entered:,22,95,of attorney. Signed by District Judge,Gershwin A. Drain,. (DPer) (Entered:,60,77,line_entry,SPACY JNLP2
mied;;2:16-cv-10083,mied,2016,2:16-cv-10083,22,03/30/2017,15]. Signed by District Judge Gershwin A. Drain. (TBan) (Entered:,303,368,15]. Signed by District Judge,Gershwin A. Drain,. (TBan) (Entered:,333,350,line_entry,SPACY JNLP2
mied;;2:16-cv-10083,mied,2016,2:16-cv-10083,23,03/31/2017,JUDGMENT. Signed by District Judge Gershwin A. Drain. (SBur) Modified on 3,0,74,JUDGMENT. Signed by District Judge,Gershwin A. Drain,. (SBur) Modified on 3,35,52,line_entry,SPACY JNLP2
mied;;2:16-cv-10083,mied,2016,2:16-cv-10083,27,06/08/2018,to Remand. Signed by District Judge Gershwin A. Drain. (TMcg) (Entered:,199,270,to Remand. Signed by District Judge,Gershwin A. Drain,. (TMcg) (Entered:,235,252,line_entry,SPACY JNLP2
mied;;2:16-cv-10083,mied,2016,2:16-cv-10083,28,07/17/2018,JUSTICE ACT. Signed by District Judge Gershwin A. Drain. (TBan) (Entered:,69,142,JUSTICE ACT. Signed by District Judge,Gershwin A. Drain,. (TBan) (Entered:,107,124,line_entry,SPACY JNLP2
mied;;1:16-cv-10737,mied,2016,1:16-cv-10737,8,03/30/2016,"/2016) Signed by District Judge Thomas L. Ludington. (Sian, M) (",92,156,/2016) Signed by District Judge,Thomas L. Ludington,". (Sian, M) (",124,143,line_entry,SPACY JNLP2
mied;;1:16-cv-10737,mied,2016,1:16-cv-10737,9,03/30/2016,"/2016) Signed by District Judge Thomas L. Ludington. (Sian, M) (",142,206,/2016) Signed by District Judge,Thomas L. Ludington,". (Sian, M) (",174,193,line_entry,SPACY JNLP2
mied;;1:16-cv-10737,mied,2016,1:16-cv-10737,13,05/10/2016,"/2016) Signed by District Judge Thomas L. Ludington. (Sian, M) (",88,152,/2016) Signed by District Judge,Thomas L. Ludington,". (Sian, M) (",120,139,line_entry,SPACY JNLP2
mied;;1:16-cv-10737,mied,2016,1:16-cv-10737,14,05/25/2016,With Prejudice. Signed by District Judge Thomas L. Ludington. (JOwe) (Entered:,30,108,With Prejudice. Signed by District Judge,Thomas L. Ludington,. (JOwe) (Entered:,71,90,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,7,06/21/2016,ANSWER 7 . Signed by District Judge Gershwin A. Drain. (DPar) (Entered:,50,121,ANSWER 7 . Signed by District Judge,Gershwin A. Drain,. (DPar) (Entered:,86,103,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,8,06/21/2016,2016.) Signed by District Judge Gershwin A. Drain. (DPar) (Entered:,80,147,2016.) Signed by District Judge,Gershwin A. Drain,. (DPar) (Entered:,112,129,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,11,08/05/2016,11:00 AM before District Judge Gershwin A. Drain. (SBur) (Entered:,57,123,11:00 AM before District Judge,Gershwin A. Drain,. (SBur) (Entered:,88,105,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,12,08/05/2016,02:30 PM before District Judge Gershwin A. Drain. (SBur) (Entered:,67,133,02:30 PM before District Judge,Gershwin A. Drain,. (SBur) (Entered:,98,115,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,14,09/06/2016,Minute Entry for proceedings before District Judge Gershwin A. Drain: Scheduling Conference held on 9/,0,102,Minute Entry for proceedings before District Judge,Gershwin A. Drain,: Scheduling Conference held on 9/,51,68,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,15,09/12/2016,11:00 AM before District Judge Gershwin A. Drain and Jury Trial set for 10/,137,212,11:00 AM before District Judge,Gershwin A. Drain,and Jury Trial set for 10/,168,185,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,15,09/12/2016,9:00 AM before District Judge Gershwin A. Drain. Signed by District Judge Gershwin A,223,307,9:00 AM before District Judge,Gershwin A. Drain,. Signed by District Judge Gershwin A,253,270,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,15,09/12/2016,. Drain. Signed by District Judge Gershwin A. Drain. (Refer to image for additional,263,346,. Drain. Signed by District Judge,Gershwin A. Drain,. (Refer to image for additional,297,314,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,16,09/12/2016,ORDER REFERRING OTHER MATTERS to Magistrate Judge Whalen : Settlement Conference. Signed by District,0,100,ORDER REFERRING OTHER MATTERS to Magistrate Judge,Whalen,: Settlement Conference. Signed by District,50,56,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,16,09/12/2016,Settlement Conference. Signed by District Judge Gershwin A. Drain. (TMcg) (Entered:,59,142,Settlement Conference. Signed by District Judge,Gershwin A. Drain,. (TMcg) (Entered:,107,124,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,17,09/13/2016,01:30 PM before Magistrate Judge R. Steven Whalen. Please see notice for additional information,60,155,01:30 PM before Magistrate Judge,R. Steven Whalen,. Please see notice for additional information,93,109,line_entry,SPACY JNLP2
mied;;2:16-cv-11620,mied,2016,2:16-cv-11620,18,09/13/2016,01:30 PM before Magistrate Judge R. Steven Whalen. See notice for additional information.,71,160,01:30 PM before Magistrate Judge,R. Steven Whalen,. See notice for additional information.,104,120,line_entry,SPACY JNLP2
mied;;4:16-cv-12992,mied,2016,4:16-cv-12992,3,08/17/2016,of Social Security Case to Magistrate Judge Patricia T. Morris. (BGar) (Entered:,19,99,of Social Security Case to Magistrate Judge,Patricia T. Morris,. (BGar) (Entered:,63,81,line_entry,SPACY JNLP2
mied;;4:16-cv-12992,mied,2016,4:16-cv-12992,5,08/17/2016,or Costs. Signed by Magistrate Judge Patricia T. Morris. (KKra) (Entered:,63,136,or Costs. Signed by Magistrate Judge,Patricia T. Morris,. (KKra) (Entered:,100,118,line_entry,SPACY JNLP2
mied;;4:16-cv-12992,mied,2016,4:16-cv-12992,6,08/17/2016,without prepayment. Signed by Magistrate Judge Patricia T. Morris. (KKra) (Entered:,64,147,without prepayment. Signed by Magistrate Judge,Patricia T. Morris,. (KKra) (Entered:,111,129,line_entry,SPACY JNLP2
mied;;4:16-cv-12992,mied,2016,4:16-cv-12992,13,10/24/2016,11/2017 Signed by Magistrate Judge Patricia T. Morris. (KCas) (Entered:,174,245,11/2017 Signed by Magistrate Judge,Patricia T. Morris,. (KCas) (Entered:,209,227,line_entry,SPACY JNLP2
