ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,2,05/10/2016,venue 2 ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,31,109,venue 2 ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,63,79,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,2,05/10/2016,"Robert J. Jonker (Chief Judge Robert J. Jonker, ymc) (Entered: 05",63,128,Robert J. Jonker (Chief Judge,Robert J. Jonker,", ymc) (Entered: 05",93,109,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,4,05/17/2016,ORDER REFERRING CASE to Magistrate Judge Phillip J. Green ; signed by Chief Judge Robert J,0,90,ORDER REFERRING CASE to Magistrate Judge,Phillip J. Green,; signed by Chief Judge Robert J,41,57,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,4,05/17/2016,. Green ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,50,128,. Green ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,82,98,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,4,05/17/2016,"Robert J. Jonker (Chief Judge Robert J. Jonker, ymc) (Entered: 05",82,147,Robert J. Jonker (Chief Judge,Robert J. Jonker,", ymc) (Entered: 05",112,128,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,9,06/24/2016,"to file ; signed by Magistrate Judge Phillip J. Green (Green, Phillip) (Entered",46,125,to file ; signed by Magistrate Judge,Phillip J. Green,"(Green, Phillip) (Entered",83,99,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,13,07/22/2016,Melinda Jackson; signed by Magistrate Judge Phillip J. Green (Attachments: # 1 Attachment),56,146,Melinda Jackson; signed by Magistrate Judge,Phillip J. Green,(Attachments: # 1 Attachment),100,116,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,13,07/22/2016,"# 1 Attachment) (Magistrate Judge Phillip J. Green, jkw) (Entered: 07",131,200,# 1 Attachment) (Magistrate Judge,Phillip J. Green,", jkw) (Entered: 07",165,181,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,18,08/23/2017,14 days; signed by Magistrate Judge Phillip J. Green (Magistrate Judge Phillip J. Green,62,149,14 days; signed by Magistrate Judge,Phillip J. Green,(Magistrate Judge Phillip J. Green,98,114,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,18,08/23/2017,"Phillip J. Green (Magistrate Judge Phillip J. Green, jkw) (Entered: 08",98,168,Phillip J. Green (Magistrate Judge,Phillip J. Green,", jkw) (Entered: 08",133,149,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,21,09/10/2017,RECOMMENDATION 15 ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,40,128,RECOMMENDATION 15 ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,82,98,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,21,09/10/2017,"Robert J. Jonker (Chief Judge Robert J. Jonker, sdb) (Entered: 09",82,147,Robert J. Jonker (Chief Judge,Robert J. Jonker,", sdb) (Entered: 09",112,128,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,22,09/10/2017,against Appellant; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,30,117,against Appellant; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,71,87,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,22,09/10/2017,"Robert J. Jonker (Chief Judge Robert J. Jonker, sdb) (Entered: 09",71,136,Robert J. Jonker (Chief Judge,Robert J. Jonker,", sdb) (Entered: 09",101,117,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,29,10/03/2017,is denied ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,216,296,is denied ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,250,266,line_entry,SPACY JNLP2
miwd;;1:16-cv-00369,miwd,2016,1:16-cv-00369,29,10/03/2017,"Robert J. Jonker (Chief Judge Robert J. Jonker, ymc) (Entered: 10",250,315,Robert J. Jonker (Chief Judge,Robert J. Jonker,", ymc) (Entered: 10",280,296,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,2,11/28/2016,case returned to Clerk from Magistrate Judge Carmody indicating that this case is related to,41,133,case returned to Clerk from Magistrate Judge,Carmody,indicating that this case is related to,86,93,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,4,11/29/2016,this case has been assigned Magistrate Judge Ellen S. Carmody (ns) (Entered: 11,12,91,this case has been assigned Magistrate Judge,Ellen S. Carmody,(ns) (Entered: 11,57,73,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,5,11/30/2016,forma pauperis; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,45,139,forma pauperis; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,88,104,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,5,11/30/2016,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 11",88,158,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 11",123,139,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,13,02/22/2017,case has been assigned to Chief Judge Robert J. Jonker and Magistrate Judge Ellen S. Carmody,17,109,case has been assigned to Chief Judge,Robert J. Jonker,and Magistrate Judge Ellen S. Carmody,55,71,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,13,02/22/2017,Robert J. Jonker and Magistrate Judge Ellen S. Carmody for all further proceedings (ns),55,142,Robert J. Jonker and Magistrate Judge,Ellen S. Carmody,for all further proceedings (ns),93,109,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,14,03/30/2017,/2017; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,51,136,/2017; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,85,101,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,14,03/30/2017,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 03",85,155,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 03",120,136,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,18,05/08/2017,initial brief; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,115,208,initial brief; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,157,173,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,18,05/08/2017,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 05",157,227,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 05",192,208,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,21,01/31/2018,14 days; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,101,188,14 days; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,137,153,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,21,01/31/2018,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, cbh) (Entered: 01",137,207,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", cbh) (Entered: 01",172,188,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,22,02/20/2018,hereby affirmed ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,101,187,hereby affirmed ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,141,157,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,22,02/20/2018,"Robert J. Jonker (Chief Judge Robert J. Jonker, ymc) (Entered: 02",141,206,Robert J. Jonker (Chief Judge,Robert J. Jonker,", ymc) (Entered: 02",171,187,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,23,02/20/2018,of Defendant ; signed by Chief Judge Robert J. Jonker (Chief Judge Robert J. Jonker,18,101,of Defendant ; signed by Chief Judge,Robert J. Jonker,(Chief Judge Robert J. Jonker,55,71,line_entry,SPACY JNLP2
miwd;;1:16-cv-01365,miwd,2016,1:16-cv-01365,23,02/20/2018,"Robert J. Jonker (Chief Judge Robert J. Jonker, ymc) (Entered: 02",55,120,Robert J. Jonker (Chief Judge,Robert J. Jonker,", ymc) (Entered: 02",85,101,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,4,12/07/2016,Janet T. Neff and Magistrate Judge Ellen S. Carmody (ns) (Entered: 12,40,109,Janet T. Neff and Magistrate Judge,Ellen S. Carmody,(ns) (Entered: 12,75,91,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,5,12/22/2016,"Order to issue; signed by Judge Janet T. Neff (Judge Janet T. Neff,",9,76,Order to issue; signed by Judge,Janet T. Neff,"(Judge Janet T. Neff,",41,54,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,5,12/22/2016,"Judge Janet T. Neff (Judge Janet T. Neff, clb) (Entered: 12",35,94,Judge Janet T. Neff (Judge,Janet T. Neff,", clb) (Entered: 12",62,75,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,6,12/22/2016,"and the complaint; signed by Judge Janet T. Neff (Judge Janet T. Neff,",112,182,and the complaint; signed by Judge,Janet T. Neff,"(Judge Janet T. Neff,",147,160,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,6,12/22/2016,"Judge Janet T. Neff (Judge Janet T. Neff, clb) (Entered: 12",141,200,Judge Janet T. Neff (Judge,Janet T. Neff,", clb) (Entered: 12",168,181,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,13,03/03/2017,MANAGEMENT ORDER; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,5,101,MANAGEMENT ORDER; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,50,66,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,13,03/03/2017,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, cbh) (Entered: 03",50,120,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", cbh) (Entered: 03",85,101,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,15,05/23/2017,14 days; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,148,235,14 days; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,184,200,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,15,05/23/2017,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 05",184,254,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 05",219,235,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,18,11/30/2017,"malicious prosecution claim; signed by Judge Janet T. Neff (Judge Janet T. Neff,",227,307,malicious prosecution claim; signed by Judge,Janet T. Neff,"(Judge Janet T. Neff,",272,285,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,18,11/30/2017,"Judge Janet T. Neff (Judge Janet T. Neff, clb) (Entered: 11",266,325,Judge Janet T. Neff (Judge,Janet T. Neff,", clb) (Entered: 11",293,306,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,19,12/01/2017,MANAGEMENT ORDER; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,13,109,MANAGEMENT ORDER; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,58,74,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,19,12/01/2017,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 12",58,128,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 12",93,109,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,29,02/23/2018,granting 26 ; signed by Magistrate Judge Ellen S. Carmody (Magistrate Judge Ellen S. Carmody,17,109,granting 26 ; signed by Magistrate Judge,Ellen S. Carmody,(Magistrate Judge Ellen S. Carmody,58,74,line_entry,SPACY JNLP2
miwd;;1:16-cv-01405,miwd,2016,1:16-cv-01405,29,02/23/2018,"Ellen S. Carmody (Magistrate Judge Ellen S. Carmody, jal) (Entered: 02",58,128,Ellen S. Carmody (Magistrate Judge,Ellen S. Carmody,", jal) (Entered: 02",93,109,line_entry,SPACY JNLP2
