ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,2,05/20/2016,pdf). Judge Assigned: Honorable Audrey G. Fleissig. (JWD) (Entered:,302,369,pdf). Judge Assigned: Honorable,Audrey G. Fleissig,. (JWD) (Entered:,334,352,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,4,07/21/2016,2016.) Signed by District Judge Audrey G. Fleissig on 07/21/2016.,318,383,2016.) Signed by District Judge,Audrey G. Fleissig,on 07/21/2016.,350,368,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,9,08/11/2016,"ORDERED GRANTED. Signed by District Judge Audrey G. Fleissig on August 11, 2016. (",88,170,ORDERED GRANTED. Signed by District Judge,Audrey G. Fleissig,"on August 11, 2016. (",130,148,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,13,09/19/2016,SEALED ORDER . Signed by District Judge Audrey G. Fleissig on 9/19/2016.,0,72,SEALED ORDER . Signed by District Judge,Audrey G. Fleissig,on 9/19/2016.,40,58,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,16,10/31/2016,record.) Signed by District Judge Audrey G. Fleissig on 10/31/2016.,62,129,record.) Signed by District Judge,Audrey G. Fleissig,on 10/31/2016.,96,114,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,18,05/02/2017,"SEALED ORDER . Signed by District Judge Audrey G. Fleissig on May 1, 2017. (",0,76,SEALED ORDER . Signed by District Judge,Audrey G. Fleissig,"on May 1, 2017. (",40,58,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,20,05/30/2017,"SEALED ORDER . Signed by District Judge Audrey G. Fleissig on May 30, 2017. (",0,77,SEALED ORDER . Signed by District Judge,Audrey G. Fleissig,"on May 30, 2017. (",40,58,line_entry,SPACY JNLP2
moed;;4:16-cv-00715,moed,2016,4:16-cv-00715,22,05/31/2017,SEALED ORDER . Signed by District Judge Audrey G. Fleissig on 5/31/2017.,0,72,SEALED ORDER . Signed by District Judge,Audrey G. Fleissig,on 5/31/2017.,40,58,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,2,06/16/2016,: U.S. Magistrate Judge Patricia L. Cohen. (JMC),201,249,: U.S. Magistrate Judge,Patricia L. Cohen,. (JMC),225,242,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,3,06/16/2016,the complaint. Signed by Magistrate Judge Patricia L. Cohen on 6/16/16.,150,221,the complaint. Signed by Magistrate Judge,Patricia L. Cohen,on 6/16/16.,192,209,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,4,06/16/2016,/2016. Signed by Magistrate Judge Patricia L. Cohen on 6/16/16.,141,204,/2016. Signed by Magistrate Judge,Patricia L. Cohen,on 6/16/16.,175,192,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,16,10/24/2016,2016.) Signed by Magistrate Judge Patricia L. Cohen on 10/24/2016.,147,213,2016.) Signed by Magistrate Judge,Patricia L. Cohen,on 10/24/2016.,181,198,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,18,11/22/2016,/2016. Signed by Magistrate Judge Patricia L. Cohen on 11/22/2016.,110,176,/2016. Signed by Magistrate Judge,Patricia L. Cohen,on 11/22/2016.,144,161,line_entry,SPACY JNLP2
moed;;1:16-cv-00129,moed,2016,1:16-cv-00129,21,09/26/2018,this date. Signed by Magistrate Judge Patricia L. Cohen on 9/26/2018.,390,459,this date. Signed by Magistrate Judge,Patricia L. Cohen,on 9/26/2018.,428,445,line_entry,SPACY JNLP2
