ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,3,11/18/2016,"will issue. Signed by Magistrate Judge Robert H. Walker on November 18, 2016 (King",193,275,will issue. Signed by Magistrate Judge,Robert H. Walker,"on November 18, 2016 (King",232,248,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,9,12/30/2016,will issue. Signed by Magistrate Judge Robert H. Walker on 12/30/2016 (,234,305,will issue. Signed by Magistrate Judge,Robert H. Walker,on 12/30/2016 (,273,289,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,11,01/19/2017,"Allowing Discovery. Signed by Magistrate Judge Robert H. Walker on January 19, 2017 (King",79,168,Allowing Discovery. Signed by Magistrate Judge,Robert H. Walker,"on January 19, 2017 (King",126,142,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,19,04/25/2017,"'s Counsel. Signed by Magistrate Judge Robert H. Walker on April 25, 2017 (King",48,127,'s Counsel. Signed by Magistrate Judge,Robert H. Walker,"on April 25, 2017 (King",87,103,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,21,06/01/2017,09:00 AM before Magistrate Judge Robert H. Walker. (SR) (Entered:,80,145,09:00 AM before Magistrate Judge,Robert H. Walker,. (SR) (Entered:,113,129,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,22,06/29/2017,closing order at this time. Judge Lee will enter a standard closing order.,256,330,closing order at this time. Judge,Lee,will enter a standard closing order.,290,293,line_entry,SPACY JNLP2
mssd;;3:16-cv-00843,mssd,2016,3:16-cv-00843,23,06/30/2017,with prejudice. Signed by District Judge Tom S. Lee on 6/30/17.,22,85,with prejudice. Signed by District Judge,Tom S. Lee,on 6/30/17.,63,73,line_entry,SPACY JNLP2
mssd;;3:16-cv-00380,mssd,2016,3:16-cv-00380,7,06/30/2016,02:30 PM before Magistrate Judge F. Keith Ball. No later than seven (7,81,151,02:30 PM before Magistrate Judge,F. Keith Ball,. No later than seven (7,114,127,line_entry,SPACY JNLP2
mssd;;3:16-cv-00380,mssd,2016,3:16-cv-00380,9,08/03/2016,02:00 PM before Magistrate Judge F. Keith Ball. No later than seven (7,73,143,02:00 PM before Magistrate Judge,F. Keith Ball,. No later than seven (7,106,119,line_entry,SPACY JNLP2
mssd;;3:16-cv-00380,mssd,2016,3:16-cv-00380,10,08/23/2016,"the Court. Signed by Magistrate Judge F. Keith Ball on August 23, 2016. (",132,205,the Court. Signed by Magistrate Judge,F. Keith Ball,"on August 23, 2016. (",170,183,line_entry,SPACY JNLP2
mssd;;3:16-cv-00380,mssd,2016,3:16-cv-00380,11,09/07/2016,"with prejudice. Signed by District Judge Daniel P. Jordan, III on 9/6/16.",38,111,with prejudice. Signed by District Judge,"Daniel P. Jordan, III",on 9/6/16.,79,100,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,2,04/20/2016,"and deadlines. Signed by Magistrate Judge Robert H. Walker on April 20, 2016. (",40,119,and deadlines. Signed by Magistrate Judge,Robert H. Walker,"on April 20, 2016. (",82,98,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,3,04/20/2016,"forma pauperis. Signed by Magistrate Judge Robert H. Walker on April 20, 2016. (",61,141,forma pauperis. Signed by Magistrate Judge,Robert H. Walker,"on April 20, 2016. (",104,120,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,7,08/31/2016,"of record. Signed by Magistrate Judge Robert H. Walker on August 31, 2016. (",306,382,of record. Signed by Magistrate Judge,Robert H. Walker,"on August 31, 2016. (",344,360,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,9,01/04/2017,"prejudice. Signed by Chief District Judge Louis Guirola, Jr. on 1/4/2017 (",51,125,prejudice. Signed by Chief District Judge,"Louis Guirola, Jr.",on 1/4/2017 (,93,111,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,10,01/04/2017,"prejudice. Signed by Chief District Judge Louis Guirola, Jr. on 1/4/2017 (",121,195,prejudice. Signed by Chief District Judge,"Louis Guirola, Jr.",on 1/4/2017 (,163,181,line_entry,SPACY JNLP2
mssd;;1:16-cv-00130,mssd,2016,1:16-cv-00130,12,01/23/2017,"Reopen Case Signed by Chief District Judge Louis Guirola, Jr. on 1/23/2017 (",27,103,Reopen Case Signed by Chief District Judge,"Louis Guirola, Jr.",on 1/23/2017 (,70,88,line_entry,SPACY JNLP2
mssd;;3:16-cv-00922,mssd,2016,3:16-cv-00922,0,04/27/2017,prejudice.    Signed by District Judge Henry T. Wingate on 4/26/2017  ,93,163,prejudice.    Signed by District Judge,Henry T. Wingate,on 4/26/2017  ,132,148,line_entry,SPACY JNLP2
mssd;;2:16-cv-00092,mssd,2016,2:16-cv-00092,0,11/21/2016,"Jurisdiction.  Signed by District Judge Keith Starrett on November 21, 2016  (",91,169,Jurisdiction.  Signed by District Judge,Keith Starrett,"on November 21, 2016  (",131,145,line_entry,SPACY JNLP2
