ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,0,07/13/2016,". Bentley, Jr. Motions referred to Jeremiah C. Lynch. (Attachments: # 1 Complaint",97,178,". Bentley, Jr. Motions referred to",Jeremiah C. Lynch,. (Attachments: # 1 Complaint,132,149,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,1,07/18/2016,in forma pauperis Signed by Magistrate Judge Jeremiah C. Lynch on 7/18/2016.,45,121,in forma pauperis Signed by Magistrate Judge,Jeremiah C. Lynch,on 7/18/2016.,90,107,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,9,11/22/2016,Electronic Mailing of Consent: Judge Lynch as Presiding Judge. Mailed to counsel,0,80,Electronic Mailing of Consent: Judge,Lynch,as Presiding Judge. Mailed to counsel,37,42,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,11,01/13/2017,". Bentley, Jr Motions referred to Jeremiah C. Lynch. (Attachments: # 1 Brief",78,154,". Bentley, Jr Motions referred to",Jeremiah C. Lynch,. (Attachments: # 1 Brief,112,129,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,12,02/06/2017,Nancy A. Berryhill added. Carolyn W. Colvin (,0,45,,Nancy A. Berryhill,added. Carolyn W. Colvin (,0,18,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,13,02/06/2017,"ORDER REASSIGNING the case to Chief Judge Christensen, REFERRING the case to Magistrate Judge",0,93,ORDER REASSIGNING the case to Chief Judge,Christensen,", REFERRING the case to Magistrate Judge",42,53,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,13,02/06/2017,", REFERRING the case to Magistrate Judge Lynch. Signed by Judge Dana L.",53,124,", REFERRING the case to Magistrate Judge",Lynch,. Signed by Judge Dana L.,94,99,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,13,02/06/2017,Magistrate Judge Lynch. Signed by Judge Dana L. Christensen on 2/6/2017.,77,149,Magistrate Judge Lynch. Signed by Judge,Dana L. Christensen,on 2/6/2017.,117,136,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,14,02/09/2017,Nancy A. Berryhill Motions referred to Jeremiah C. Lynch. (Attachments: # 1 Text,110,190,Nancy A. Berryhill Motions referred to,Jeremiah C. Lynch,. (Attachments: # 1 Text,149,166,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,16,02/10/2017,", 2017. Signed by Magistrate Judge Jeremiah C. Lynch on 2/10/2017.",128,194,", 2017. Signed by Magistrate Judge",Jeremiah C. Lynch,on 2/10/2017.,163,180,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,17,03/15/2017,Nancy A. Berryhill Motions referred to Jeremiah C. Lynch. (Attachments: # 1 Text,100,180,Nancy A. Berryhill Motions referred to,Jeremiah C. Lynch,. (Attachments: # 1 Text,139,156,line_entry,SPACY JNLP2
mtd;;9:16-cv-00090,mtd,2016,9:16-cv-00090,18,03/17/2017,administrative proceedings. Signed by Magistrate Judge Jeremiah C. Lynch on 3/17/2017.,144,230,administrative proceedings. Signed by Magistrate Judge,Jeremiah C. Lynch,on 3/17/2017.,199,216,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,0,06/14/2016,. Lagervall. Signed by Magistrate Judge Jeremiah C. Lynch on 6/14/2016.,253,324,. Lagervall. Signed by Magistrate Judge,Jeremiah C. Lynch,on 6/14/2016.,293,310,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,1,08/17/2016,to Stay  Signed by Magistrate Judge Jeremiah C. Lynch on 8/17/2016.,27,94,to Stay  Signed by Magistrate Judge,Jeremiah C. Lynch,on 8/17/2016.,63,80,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,2,11/29/2016," REASSIGNING the case to Chief Judge Christensen, REFERRING the case to Magistrate Judge",6,94, REASSIGNING the case to Chief Judge,Christensen,", REFERRING the case to Magistrate Judge",43,54,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,2,11/29/2016,", REFERRING the case to Magistrate Judge Lynch.  Signed by Judge Dana L",54,125,", REFERRING the case to Magistrate Judge",Lynch,.  Signed by Judge Dana L,95,100,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,2,11/29/2016,Judge Lynch.  Signed by Judge Dana L. Christensen on 11/29/2016.,89,153,Judge Lynch.  Signed by Judge,Dana L. Christensen,on 11/29/2016.,119,138,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,3,08/22/2017,()  Signed by Magistrate Judge Jeremiah C. Lynch on 8/22/2017.,622,684,()  Signed by Magistrate Judge,Jeremiah C. Lynch,on 8/22/2017.,653,670,line_entry,SPACY JNLP2
mtd;;9:16-cv-00057,mtd,2016,9:16-cv-00057,4,10/30/2017,AND RECOMMENDATIONS.   Signed by Judge Dana L. Christensen on 10/30/2017.,24,97,AND RECOMMENDATIONS.   Signed by Judge,Dana L. Christensen,on 10/30/2017.,63,82,line_entry,SPACY JNLP2
mtd;;6:16-cv-00021,mtd,2016,6:16-cv-00021,0,03/11/2016,1 DENIED.  Signed by Judge Dana L. Christensen on 3/11/2016.,80,140,1 DENIED.  Signed by Judge,Dana L. Christensen,on 3/11/2016.,107,126,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,3,10/20/2016,"Great Falls, MT before Magistrate Judge John Johnston. (ACC, ) (Entered",88,159,"Great Falls, MT before Magistrate Judge",John Johnston,". (ACC, ) (Entered",128,141,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,4,10/25/2016,"Great Falls, MT before Magistrate Judge John Johnston. Signed by Magistrate Judge John Johnston",145,240,"Great Falls, MT before Magistrate Judge",John Johnston,. Signed by Magistrate Judge John Johnston,185,198,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,4,10/25/2016,John Johnston. Signed by Magistrate Judge John Johnston on 10/25/2016.,185,255,John Johnston. Signed by Magistrate Judge,John Johnston,on 10/25/2016.,227,240,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,6,10/27/2016,ENTRY for proceedings held before Magistrate Judge John Johnston: ARRAIGNMENT as to William Wayne Szudera,7,112,ENTRY for proceedings held before Magistrate Judge,John Johnston,: ARRAIGNMENT as to William Wayne Szudera,58,71,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,6,10/27/2016,entered and forfeiture allegation denied. Judge Morris will be filing scheduling order. Govt,367,459,entered and forfeiture allegation denied. Judge,Morris,will be filing scheduling order. Govt,415,421,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,8,10/27/2016,"in Great Falls, MT before Judge Brian Morris. Jury Trial set for 12/",248,316,"in Great Falls, MT before Judge",Brian Morris,. Jury Trial set for 12/,280,292,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,8,10/27/2016,"in Great Falls, MT before Judge Brian Morris. Signed by Judge Brian Morris on",336,413,"in Great Falls, MT before Judge",Brian Morris,. Signed by Judge Brian Morris on,368,380,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,8,10/27/2016,Judge Brian Morris. Signed by Judge Brian Morris on 10/27/2016.,362,425,Judge Brian Morris. Signed by Judge,Brian Morris,on 10/27/2016.,398,410,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,10,10/27/2016,the Court. Signed by Magistrate Judge John Johnston on 10/27/2016.,188,254,the Court. Signed by Magistrate Judge,John Johnston,on 10/27/2016.,226,239,line_entry,SPACY JNLP2
mtd;;4:16-cr-00070,mtd,2016,4:16-cr-00070,16,12/05/2016,"this matter is set before Magistrate Judge John Johnston, on Wednesday, December 8,",154,237,this matter is set before Magistrate Judge,John Johnston,", on Wednesday, December 8,",197,210,line_entry,SPACY JNLP2
