ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nced;;5:16-cv-00172,nced,2016,5:16-cv-00172,0,04/04/2017,Flanagan. Senior United States District Judge James C. Fox is no longer assigned to the case,60,152,Flanagan. Senior United States District Judge,James C. Fox,is no longer assigned to the case,106,118,line_entry,SPACY JNLP2
nced;;4:16-cv-00045,nced,2016,4:16-cv-00045,5,04/27/2016,"CONDITIONAL TRANSFER ORDER. Signed by Jeffery N. Luthi, Clerk of the Panel on 4",0,79,CONDITIONAL TRANSFER ORDER. Signed by,Jeffery N. Luthi,", Clerk of the Panel on 4",38,54,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,10,12/01/2016,Motion Referred to US Magistrate Judge James E. Gates: 2 First MOTION for Discovery Expedited,0,93,Motion Referred to US Magistrate Judge,James E. Gates,: 2 First MOTION for Discovery Expedited,39,53,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,11,12/05/2016,for Discovery. Signed by Magistrate Judge James E. Gates on 12/5/2016.,24,94,for Discovery. Signed by Magistrate Judge,James E. Gates,on 12/5/2016.,66,80,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,16,02/22/2017,Motion Submitted to US District Judge Terrence W. Boyle: 12 First MOTION for Extension of,0,89,Motion Submitted to US District Judge,Terrence W. Boyle,: 12 First MOTION for Extension of,38,55,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,17,02/22/2017,defendants. Signed by US District Judge Terrence W. Boyle on 2/22/2017.,92,163,defendants. Signed by US District Judge,Terrence W. Boyle,on 2/22/2017.,132,149,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,21,04/27/2017,Defendants. Signed by US District Judge Terrence W. Boyle on 4/26/2017.,139,210,Defendants. Signed by US District Judge,Terrence W. Boyle,on 4/26/2017.,179,196,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,23,05/24/2017,Motion Submitted to US District Judge Terrence W. Boyle: 18 Third MOTION for Extension of,0,89,Motion Submitted to US District Judge,Terrence W. Boyle,: 18 Third MOTION for Extension of,38,55,line_entry,SPACY JNLP2
nced;;4:16-cv-00278,nced,2016,4:16-cv-00278,24,06/01/2017,Defendants. Signed by US District Judge Terrence W. Boyle on 5/31/2017.,142,213,Defendants. Signed by US District Judge,Terrence W. Boyle,on 5/31/2017.,182,199,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,6,12/13/2016,"- 6th Floor Courtroom before Magistrate Judge James E. Gates. (Horton, B.)",98,172,- 6th Floor Courtroom before Magistrate Judge,James E. Gates,". (Horton, B.)",144,158,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,9,12/14/2016,Barkley Coles. Signed by Magistrate Judge James E. Gates on 12/14/2016.,51,122,Barkley Coles. Signed by Magistrate Judge,James E. Gates,on 12/14/2016.,93,107,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,11,12/14/2016,Entry for proceedings held before Magistrate Judge James E. Gates in Raleigh.Initial Appearance as to,7,108,Entry for proceedings held before Magistrate Judge,James E. Gates,in Raleigh.Initial Appearance as to,58,72,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,11,12/14/2016,- 5th Floor Courtroom before Magistrate Judge Robert T. Numbers II. Defendant remanded to the custody of the,413,521,- 5th Floor Courtroom before Magistrate Judge,Robert T. Numbers II.,Defendant remanded to the custody of the,459,480,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,12,12/14/2016,- 5th Floor Courtroom before Magistrate Judge Robert T. Numbers II.Signed by Magistrate Judge James E.,114,216,- 5th Floor Courtroom before Magistrate Judge,Robert T. Numbers II.,Signed by Magistrate Judge James E.,160,181,line_entry,SPACY JNLP2
nced;;4:16-cr-00066,nced,2016,4:16-cr-00066,12,12/14/2016,Numbers II.Signed by Magistrate Judge James E. Gates on 12/14/2016.,170,237,Numbers II.Signed by Magistrate Judge,James E. Gates,on 12/14/2016.,208,222,line_entry,SPACY JNLP2
