ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,5,08/08/2016,Case ASSIGNED to JUDGE THOMAS D. SCHROEDER and MAG/JUDGE JOI ELIZABETH PEAKE,0,76,Case ASSIGNED to JUDGE,THOMAS D. SCHROEDER,and MAG/JUDGE JOI ELIZABETH PEAKE,23,42,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,5,08/08/2016,". Set Magistrate Judge flag for Judge Peake. (Garland, Leah) (",76,138,. Set Magistrate Judge flag for Judge,Peake,". (Garland, Leah) (",114,119,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,13,12/22/2016,"/6/2017. Signed by Tammi M. Hellwig on behalf of John Brubaker, Clerk",96,165,/6/2017. Signed by,Tammi M. Hellwig,"on behalf of John Brubaker, Clerk",115,131,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,28,04/20/2017,Motions Submitted to JUDGE THOMAS D. SCHROEDER: 19 MOTION Request to Deem Motion,0,80,Motions Submitted to JUDGE,THOMAS D. SCHROEDER,: 19 MOTION Request to Deem Motion,27,46,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,29,07/21/2017,"ORDER signed by JUDGE THOMAS D. SCHROEDER on 7/21/2017,",0,55,ORDER signed by JUDGE,THOMAS D. SCHROEDER,"on 7/21/2017,",22,41,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,60,01/22/2018,Motions Submitted to CHIEF JUDGE THOMAS D. SCHROEDER: 26 MOTION for Summary Judgment.,0,85,Motions Submitted to CHIEF JUDGE,THOMAS D. SCHROEDER,: 26 MOTION for Summary Judgment.,33,52,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,61,02/15/2018,Salem Courtroom #2 before CHIEF JUDGE THOMAS D. SCHROEDER (TRIAL JUDGE). (Williamson,73,157,Salem Courtroom #2 before CHIEF JUDGE,THOMAS D. SCHROEDER,(TRIAL JUDGE). (Williamson,111,130,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,66,03/01/2018,"Salem Courtroom #2 before CHIEF JUDGE THOMAS D. SCHROEDER. (Engle, Anita) (",75,150,Salem Courtroom #2 before CHIEF JUDGE,THOMAS D. SCHROEDER,". (Engle, Anita) (",113,132,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,73,03/22/2018,Motion Submitted to CHIEF JUDGE THOMAS D. SCHROEDER: 51 MOTION to Strike Jury Demand,0,84,Motion Submitted to CHIEF JUDGE,THOMAS D. SCHROEDER,: 51 MOTION to Strike Jury Demand,32,51,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,75,03/27/2018,Entry for proceedings held before CHIEF JUDGE THOMAS D. SCHROEDER: in WS-2 Motion Hearing,7,96,Entry for proceedings held before CHIEF JUDGE,THOMAS D. SCHROEDER,: in WS-2 Motion Hearing,53,72,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,76,03/28/2018,TEXT ORDER issued by CHIEF JUDGE THOMAS D. SCHROEDER on 3/28/2018.,0,66,TEXT ORDER issued by CHIEF JUDGE,THOMAS D. SCHROEDER,on 3/28/2018.,33,52,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,77,04/05/2018,"and ORDER, signed by CHIEF JUDGE THOMAS D. SCHROEDER on 4/5/2018,",19,84,"and ORDER, signed by CHIEF JUDGE",THOMAS D. SCHROEDER,"on 4/5/2018,",52,71,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,78,04/05/2018,"JUDGMENT signed by CHIEF JUDGE THOMAS D. SCHROEDER on 4/5/2018,",0,63,JUDGMENT signed by CHIEF JUDGE,THOMAS D. SCHROEDER,"on 4/5/2018,",31,50,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01030,ncmd,2016,1:16-cv-01030,82,07/23/2018,"/27/2018, before Judge Thomas D. Schroeder, re Motion Hearing, Court Reporter",32,109,"/27/2018, before Judge",Thomas D. Schroeder,", re Motion Hearing, Court Reporter",55,74,line_entry,SPACY JNLP2
ncmd;;1:16-cv-00702,ncmd,2016,1:16-cv-00702,6,06/24/2016,Case ASSIGNED to JUDGE CATHERINE C. EAGLES and MAGISTRATE JUDGE JOI ELIZABETH PEAKE.,0,84,Case ASSIGNED to JUDGE,CATHERINE C. EAGLES,and MAGISTRATE JUDGE JOI ELIZABETH PEAKE.,23,42,line_entry,SPACY JNLP2
ncmd;;1:16-cv-00702,ncmd,2016,1:16-cv-00702,42,01/23/2017,"Dismiss for Lack of Jurisdiction to JUDGE CATHERINE C. EAGLES (Sanders, Marlene) (Entered",224,313,Dismiss for Lack of Jurisdiction to JUDGE,CATHERINE C. EAGLES,"(Sanders, Marlene) (Entered",266,285,line_entry,SPACY JNLP2
ncmd;;1:16-cv-00702,ncmd,2016,1:16-cv-00702,43,01/26/2017,"ORDER AND JUDGMENT signed by JUDGE CATHERINE C. EAGLES on 01/26/2017,",0,69,ORDER AND JUDGMENT signed by JUDGE,CATHERINE C. EAGLES,"on 01/26/2017,",35,54,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,8,12/09/2016,Case ASSIGNED to JUDGE CATHERINE C. EAGLES and MAGISTRATE JUDGE L. PATRICK AULD,0,79,Case ASSIGNED to JUDGE,CATHERINE C. EAGLES,and MAGISTRATE JUDGE L. PATRICK AULD,23,42,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,8,12/09/2016,CATHERINE C. EAGLES and MAGISTRATE JUDGE L. PATRICK AULD. Set Flag for Magistrate L.,23,107,CATHERINE C. EAGLES and MAGISTRATE JUDGE,L. PATRICK AULD,. Set Flag for Magistrate L.,64,79,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,8,12/09/2016,"PATRICK AULD. Set Flag for Magistrate L. Patrick Auld. (Sonbay, Kenan) (",67,139,PATRICK AULD. Set Flag for Magistrate,L. Patrick Auld,". (Sonbay, Kenan) (",105,120,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,10,01/13/2017,"ORDER for Civil Cases proceeding before JUDGE CATHERINE C. EAGLES. (Sanders, Marlene) (",9,96,ORDER for Civil Cases proceeding before JUDGE,CATHERINE C. EAGLES,". (Sanders, Marlene) (",55,74,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,12,03/14/2017,TEXT ORDER issued by JUDGE CATHERINE C. EAGLES. The Court routinely shortens the time,0,85,TEXT ORDER issued by JUDGE,CATHERINE C. EAGLES,. The Court routinely shortens the time,27,46,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,18,04/12/2017,"File Answer , to MAG/JUDGE L. PATRICK AULD. (Sanders, Marlene) (",57,121,"File Answer , to MAG/JUDGE",L. PATRICK AULD,". (Sanders, Marlene) (",84,99,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,22,04/17/2017,2017. Issued by MAG/JUDGE L. PATRICK AULD on 04/17/2017.,202,258,2017. Issued by MAG/JUDGE,L. PATRICK AULD,on 04/17/2017.,228,243,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,24,05/03/2017,"Courtroom #1A before MAG/JUDGE L. PATRICK AULD. (Garrett, Kim) (",124,188,Courtroom #1A before MAG/JUDGE,L. PATRICK AULD,". (Garrett, Kim) (",155,170,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,26,06/07/2017,"all parties, to MAG/JUDGE L. PATRICK AULD (Garrett, Kim) (Entered",60,125,"all parties, to MAG/JUDGE",L. PATRICK AULD,"(Garrett, Kim) (Entered",86,101,line_entry,SPACY JNLP2
ncmd;;1:16-cv-01389,ncmd,2016,1:16-cv-01389,27,06/07/2017,). Issued by MAG/JUDGE L. PATRICK AULD on 06/07/2017.,253,306,). Issued by MAG/JUDGE,L. PATRICK AULD,on 06/07/2017.,276,291,line_entry,SPACY JNLP2
