ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,1,11/21/2016,arrest. So Ordered by Magistrate Judge Andrea K. Johnstone. (de) Modified on 12,324,403,arrest. So Ordered by Magistrate Judge,Andrea K. Johnstone,. (de) Modified on 12,363,382,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,4,12/02/2016,11:30 AM before Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,101,170,11:30 AM before Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,134,153,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,6,12/02/2016,12:30 PM before Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,116,185,12:30 PM before Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,149,168,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,7,12/02/2016,01:30 PM before Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,116,185,01:30 PM before Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,149,168,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,9,12/02/2016,counsel. So Ordered by Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,188,264,counsel. So Ordered by Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,228,247,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,10,12/02/2016,Entry for proceedings held before Magistrate Judge Andrea K. Johnstone: INITIAL APPEARANCE on REVOCATION of Supervised,7,125,Entry for proceedings held before Magistrate Judge,Andrea K. Johnstone,: INITIAL APPEARANCE on REVOCATION of Supervised,58,77,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,11,12/02/2016,Page. So Ordered by Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,50,123,Page. So Ordered by Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,87,106,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,12,12/02/2016,Crystal Page. Approved by Magistrate Judge Andrea K. Johnstone. (kad) (Entered:,36,115,Crystal Page. Approved by Magistrate Judge,Andrea K. Johnstone,. (kad) (Entered:,79,98,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,13,12/02/2016,at 11:00 AM before Judge Landya B. McCafferty. (de) (Entered:,106,167,at 11:00 AM before Judge,Landya B. McCafferty,. (de) (Entered:,131,151,line_entry,SPACY JNLP2
nhd;;1:16-cr-00151,nhd,2016,1:16-cr-00151,16,01/05/2017,: Granted. So Ordered by Judge Landya B. McCafferty. Final Hearing re Revocation of Supervised,139,233,: Granted. So Ordered by Judge,Landya B. McCafferty,. Final Hearing re Revocation of Supervised,170,190,line_entry,SPACY JNLP2
