ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
njd;;1:16-cv-08266,njd,2016,1:16-cv-08266,1,04/03/2017,OPINION FILED. Signed by Chief Judge Jerome B. Simandle on 4/3/17.,0,66,OPINION FILED. Signed by Chief Judge,Jerome B. Simandle,on 4/3/17.,37,55,line_entry,SPACY JNLP2
njd;;1:16-cv-08266,njd,2016,1:16-cv-08266,2,04/03/2017,CASE CLOSED. Signed by Chief Judge Jerome B. Simandle on 4/3/17.,207,271,CASE CLOSED. Signed by Chief Judge,Jerome B. Simandle,on 4/3/17.,242,260,line_entry,SPACY JNLP2
njd;;2:16-cv-03795,njd,2016,2:16-cv-03795,2,03/27/2018,parties electronically.. Signed by Chief Judge Jose L. Linares on 3/27/2018.,447,523,parties electronically.. Signed by Chief Judge,Jose L. Linares,on 3/27/2018.,494,509,line_entry,SPACY JNLP2
njd;;2:16-cv-03795,njd,2016,2:16-cv-03795,5,08/27/2019,Arleo for all further proceedings. Judge Jose L. Linares no longer assigned to case. So,67,154,Arleo for all further proceedings. Judge,Jose L. Linares,no longer assigned to case. So,108,123,line_entry,SPACY JNLP2
njd;;2:16-cv-03795,njd,2016,2:16-cv-03795,5,08/27/2019,case. So Ordered by Chief Judge Freda L. Wolfson on 8/27/2019.,146,208,case. So Ordered by Chief Judge,Freda L. Wolfson,on 8/27/2019.,178,194,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,3,02/25/2016,Judge Susan D. Wigenton and Magistrate Judge Leda D. Wettre,0,59,Judge,Susan D. Wigenton,and Magistrate Judge Leda D. Wettre,6,23,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,3,02/25/2016,"Susan D. Wigenton and Magistrate Judge Leda D. Wettre added. (eu, )",6,73,Susan D. Wigenton and Magistrate Judge,Leda D. Wettre,"added. (eu, )",45,59,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,6,04/27/2016,/2016.. Signed by Magistrate Judge Leda D. Wettre on 4/27/2016.,141,204,/2016.. Signed by Magistrate Judge,Leda D. Wettre,on 4/27/2016.,176,190,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,15,06/23/2016,Newark - Courtroom 4A before Magistrate Judge Leda D. Wettre.Signed by Magistrate Judge Leda D,75,169,Newark - Courtroom 4A before Magistrate Judge,Leda D. Wettre,.Signed by Magistrate Judge Leda D,121,135,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,15,06/23/2016,. Wettre.Signed by Magistrate Judge Leda D. Wettre on 6/23/2016.,127,191,. Wettre.Signed by Magistrate Judge,Leda D. Wettre,on 6/23/2016.,163,177,line_entry,SPACY JNLP2
njd;;2:16-cv-00985,njd,2016,2:16-cv-00985,17,07/13/2016,Entry for proceedings held before Magistrate Judge Leda D. Wettre: Scheduling Conference held on 7/,7,106,Entry for proceedings held before Magistrate Judge,Leda D. Wettre,: Scheduling Conference held on 7/,58,72,line_entry,SPACY JNLP2
