ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,10,05/13/2016,of Time. Signed by Chief Judge Ramona V. Manglona on 5/13/2016.,52,115,of Time. Signed by Chief Judge,Ramona V. Manglona,on 5/13/2016.,83,101,line_entry,SPACY JNLP2
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,13,07/19/2016,ORDER. Signed by Chief Judge Ramona V. Manglona on 7/19/2016.,0,61,ORDER. Signed by Chief Judge,Ramona V. Manglona,on 7/19/2016.,29,47,line_entry,SPACY JNLP2
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,15,08/04/2016,ORDER. Signed by Chief Judge Ramona V. Manglona on 08/4/2016.,0,61,ORDER. Signed by Chief Judge,Ramona V. Manglona,on 08/4/2016.,29,47,line_entry,SPACY JNLP2
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,17,09/13/2016,Settlement Agreement. Signed by Chief Judge Ramona V. Manglona on 09/13/2016.,163,240,Settlement Agreement. Signed by Chief Judge,Ramona V. Manglona,on 09/13/2016.,207,225,line_entry,SPACY JNLP2
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,19,09/19/2016,Settlement Agreement. Signed by Chief Judge Ramona V. Manglona on 9/19/2016.,43,119,Settlement Agreement. Signed by Chief Judge,Ramona V. Manglona,on 9/19/2016.,87,105,line_entry,SPACY JNLP2
nmid;;1:16-cv-00007,nmid,2016,1:16-cv-00007,24,01/12/2018,with Prejudice. Signed by Chief Judge Ramona V. Manglona on 01/12/2018.,37,108,with Prejudice. Signed by Chief Judge,Ramona V. Manglona,on 01/12/2018.,75,93,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,8,04/08/2016,AM in Courtroom 101 before Chief Judge Ramona V. Manglona. (DPB ),118,183,AM in Courtroom 101 before Chief Judge,Ramona V. Manglona,. (DPB ),157,175,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,11,04/14/2016,GUAM INC. Signed by Chief Judge Ramona V. Manglona on 4/13/2016.,67,131,GUAM INC. Signed by Chief Judge,Ramona V. Manglona,on 4/13/2016.,99,117,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,17,05/06/2016,00 PM in Chambers before Magistrate Judge Heather L. Kennedy. Clerk will email Parties dial-,55,147,00 PM in Chambers before Magistrate Judge,Heather L. Kennedy,. Clerk will email Parties dial-,97,115,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,18,05/06/2016,PM in Courtroom 101 before Chief Judge Ramona V. Manglona. (DPB ),79,144,PM in Courtroom 101 before Chief Judge,Ramona V. Manglona,. (DPB ),118,136,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,19,05/06/2016,in chambers via teleconference before Magistrate Judge Heather L. Kennedy. Attorney Robert T. Torres and,34,138,in chambers via teleconference before Magistrate Judge,Heather L. Kennedy,. Attorney Robert T. Torres and,89,107,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,19,05/06/2016,a conflict status check with Chief Judge Ramona V. Manglona. Court told Attorney Lizama that today,357,455,a conflict status check with Chief Judge,Ramona V. Manglona,. Court told Attorney Lizama that today,398,416,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,19,05/06/2016,bring up that issue with Chief Judge Manglona at the motion hearing. Court also,534,613,bring up that issue with Chief Judge,Manglona,at the motion hearing. Court also,571,579,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,19,05/06/2016,p.m. in courtroom 101 before Chief Judge Ramona V. Manglona. Court told Attorney Lizama to be,1156,1249,p.m. in courtroom 101 before Chief Judge,Ramona V. Manglona,. Court told Attorney Lizama to be,1197,1215,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,19,05/06/2016,to be ready to update Chief Judge Ramona V. Manglona and the parties in this matter about,1244,1333,to be ready to update Chief Judge,Ramona V. Manglona,and the parties in this matter about,1278,1296,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,22,05/10/2016,Entry for proceedings held before Chief Judge Ramona V. Manglona: Motion Hearing held on 5/,7,98,Entry for proceedings held before Chief Judge,Ramona V. Manglona,: Motion Hearing held on 5/,53,71,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,25,11/30/2016,AM in Courtroom 101 before Chief Judge Ramona V. Manglona. (BTC),93,157,AM in Courtroom 101 before Chief Judge,Ramona V. Manglona,. (BTC),132,150,line_entry,SPACY JNLP2
nmid;;1:16-cv-00010,nmid,2016,1:16-cv-00010,26,12/02/2016,AM in Courtroom 101 before Chief Judge Ramona V. Manglona. (ACH),123,187,AM in Courtroom 101 before Chief Judge,Ramona V. Manglona,. (ACH),162,180,line_entry,SPACY JNLP2
