ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,2,06/02/2016,Case assigned to Judge Andrew P. Gordon and Magistrate Judge Cam Ferenbach. (,0,77,Case assigned to Judge,Andrew P. Gordon,and Magistrate Judge Cam Ferenbach. (,23,39,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,2,06/02/2016,Andrew P. Gordon and Magistrate Judge Cam Ferenbach. (TR),23,80,Andrew P. Gordon and Magistrate Judge,Cam Ferenbach,. (TR),61,74,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,4,06/03/2016,"ORDER IN CHAMBERS of the Honorable Judge Andrew P. Gordon, on 6/3/2016",7,77,ORDER IN CHAMBERS of the Honorable Judge,Andrew P. Gordon,", on 6/3/2016",48,64,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,4,06/03/2016,"case has been assigned to the Honorable Andrew P. Gordon. Judge Gordon's Chambers Practices,",84,176,case has been assigned to the Honorable,Andrew P. Gordon,". Judge Gordon's Chambers Practices,",124,140,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,4,06/03/2016,"Honorable Andrew P. Gordon. Judge Gordon's Chambers Practices, which are posted on",114,196,Honorable Andrew P. Gordon. Judge,Gordon's,"Chambers Practices, which are posted on",148,156,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,6,06/16/2016,15/16. Signed by Judge Andrew P. Gordon on 6/16/16.,343,394,15/16. Signed by Judge,Andrew P. Gordon,on 6/16/16.,366,382,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,14,07/13/2016,/2017. Signed by Magistrate Judge Cam Ferenbach on 7/13/16.,158,217,/2017. Signed by Magistrate Judge,Cam Ferenbach,on 7/13/16.,192,205,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,21,10/17/2016,LLC with prejudice. Signed by Judge Andrew P. Gordon on 10/17/16.,61,126,LLC with prejudice. Signed by Judge,Andrew P. Gordon,on 10/17/16.,97,113,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,22,10/18/2016,N.A. Signed by Judge Andrew P. Gordon on 10/18/2016.,86,138,N.A. Signed by Judge,Andrew P. Gordon,on 10/18/2016.,107,123,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,25,11/08/2016,Protective Order. Signed by Magistrate Judge Cam Ferenbach on 11/8/16.,50,120,Protective Order. Signed by Magistrate Judge,Cam Ferenbach,on 11/8/16.,95,108,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,29,01/30/2017,", Inc. Only. Signed by Judge Andrew P. Gordon on 01/30/2017.",104,164,", Inc. Only. Signed by Judge",Andrew P. Gordon,on 01/30/2017.,133,149,line_entry,SPACY JNLP2
nvd;;2:16-cv-01225,nvd,2016,2:16-cv-01225,30,02/15/2017,no remaining defendants. Signed by Judge Andrew P. Gordon on 2/15/17.,244,313,no remaining defendants. Signed by Judge,Andrew P. Gordon,on 2/15/17.,285,301,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,3,03/30/2016,"Case assigned to Judge Richard F. Boulware, II and Magistrate Judge George Foley, Jr.",0,85,Case assigned to Judge,"Richard F. Boulware, II","and Magistrate Judge George Foley, Jr.",23,46,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,3,03/30/2016,". Boulware, II and Magistrate Judge George Foley, Jr. (NEV) (Entered: 03",32,104,". Boulware, II and Magistrate Judge","George Foley, Jr.",(NEV) (Entered: 03,68,85,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,9,05/12/2016,"2/2016. Signed by Judge Richard F. Boulware, II on 05/12/2016.",199,261,2/2016. Signed by Judge,"Richard F. Boulware, II",on 05/12/2016.,223,246,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,11,05/16/2016,"/2016. Signed by Magistrate Judge George Foley, Jr on 5/16/16.",164,226,/2016. Signed by Magistrate Judge,"George Foley, Jr",on 5/16/16.,198,214,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,21,06/28/2016,"of Nevada. Signed by Magistrate Judge George Foley, Jr. on 06/28/2016.",256,326,of Nevada. Signed by Magistrate Judge,"George Foley, Jr.",on 06/28/2016.,294,311,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,23,06/30/2016,"/2016. Signed by Magistrate Judge George Foley, Jr. on 06/30/2016.",163,229,/2016. Signed by Magistrate Judge,"George Foley, Jr.",on 06/30/2016.,197,214,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,26,07/06/2016,"8/2016. Signed by Judge Richard F. Boulware, II on 7/6/16.",71,129,8/2016. Signed by Judge,"Richard F. Boulware, II",on 7/6/16.,95,118,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,29,07/19/2016,"File Excess Pages. Signed by Judge Richard F. Boulware, II on 07/19/2016.",38,111,File Excess Pages. Signed by Judge,"Richard F. Boulware, II",on 07/19/2016.,73,96,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,30,08/23/2016,"stay is lifted. Signed by Judge Richard F. Boulware, II on 08/22/2016.",369,439,stay is lifted. Signed by Judge,"Richard F. Boulware, II",on 08/22/2016.,401,424,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,33,02/08/2017,"Service List. Signed by Magistrate Judge George Foley, Jr. on 02/08/2017.",79,152,Service List. Signed by Magistrate Judge,"George Foley, Jr.",on 02/08/2017.,120,137,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,38,04/08/2019,"ORDER IN CHAMBERS of the Honorable Judge Richard F. Boulware, II on 4/8/2019.",7,84,ORDER IN CHAMBERS of the Honorable Judge,"Richard F. Boulware, II",on 4/8/2019.,48,71,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,42,05/02/2019,"12/2019. Signed by Judge Richard F. Boulware, II on 5/2/2019.",151,212,12/2019. Signed by Judge,"Richard F. Boulware, II",on 5/2/2019.,176,199,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,44,07/03/2019,"MINUTE ORDER IN CHAMBERS of the Honorable Richard F. Boulware, II on 7/3/2019.",0,78,MINUTE ORDER IN CHAMBERS of the Honorable,"Richard F. Boulware, II",on 7/3/2019.,42,65,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,44,07/03/2019,"AM in LV Courtroom 7C before Judge Richard F. Boulware, II. The Court will hear all pending motions",159,258,AM in LV Courtroom 7C before Judge,"Richard F. Boulware, II.",The Court will hear all pending motions,194,218,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,46,07/09/2019,"MINUTE ORDER IN CHAMBERS of the Honorable Richard F. Boulware, II on 7/9/2019.",0,78,MINUTE ORDER IN CHAMBERS of the Honorable,"Richard F. Boulware, II",on 7/9/2019.,42,65,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,48,07/11/2019,"MINUTE ORDER IN CHAMBERS of the Honorable Richard F. Boulware, II on 7/11/2019.",0,79,MINUTE ORDER IN CHAMBERS of the Honorable,"Richard F. Boulware, II",on 7/11/2019.,42,65,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,53,07/30/2019,"/30/2019 before the Honorable Richard F. Boulware, II. Crtrm Administrator: Blanca Lenzi; Pla",52,145,/30/2019 before the Honorable,"Richard F. Boulware, II.",Crtrm Administrator: Blanca Lenzi; Pla,82,106,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,54,08/09/2019,"of U.S. Magistrate Judge George Foley, Jr., this case is reassigned to U",42,114,of U.S. Magistrate Judge,"George Foley, Jr.",", this case is reassigned to U",67,84,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,54,08/09/2019,to U.S. Magistrate Judge Elayna J. Youchah for all further proceedings. All further,110,193,to U.S. Magistrate Judge,Elayna J. Youchah,for all further proceedings. All further,135,152,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,57,09/04/2019,"MINUTE ORDER IN CHAMBERS of the Honorable Richard F. Boulware, II on 9/4/2019.",0,78,MINUTE ORDER IN CHAMBERS of the Honorable,"Richard F. Boulware, II",on 9/4/2019.,42,65,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,60,11/05/2019,"ORDER IN CHAMBERS of the Honorable Judge Richard F. Boulware, II on 11/5/2019.",7,85,ORDER IN CHAMBERS of the Honorable Judge,"Richard F. Boulware, II",on 11/5/2019.,48,71,line_entry,SPACY JNLP2
nvd;;2:16-cv-00697,nvd,2016,2:16-cv-00697,63,12/16/2019,"Dismissal with prejudice; Signed by Judge Richard F. Boulware, II on 12/16/2019.",33,113,Dismissal with prejudice; Signed by Judge,"Richard F. Boulware, II",on 12/16/2019.,75,98,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,0,12/29/2016,Case assigned to Judge Jennifer A. Dorsey and Magistrate Judge Carl W. Hoffman,0,78,Case assigned to Judge,Jennifer A. Dorsey,and Magistrate Judge Carl W. Hoffman,23,41,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,0,12/29/2016,Jennifer A. Dorsey and Magistrate Judge Carl W. Hoffman. (RT) (Entered:,23,94,Jennifer A. Dorsey and Magistrate Judge,Carl W. Hoffman,. (RT) (Entered:,63,78,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,3,07/31/2017,/2017. Signed by Magistrate Judge Carl W. Hoffman on 7/28/17.,637,698,/2017. Signed by Magistrate Judge,Carl W. Hoffman,on 7/28/17.,671,686,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,6,01/26/2018,Remanding for Rescreening. Signed by Judge Jennifer A. Dorsey on 1/26/2018.,75,150,Remanding for Rescreening. Signed by Judge,Jennifer A. Dorsey,on 1/26/2018.,118,136,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,8,07/22/2019,is GRANTED. Signed by Magistrate Judge Carl W. Hoffman on 7/22/2019.,408,476,is GRANTED. Signed by Magistrate Judge,Carl W. Hoffman,on 7/22/2019.,447,462,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,10,08/07/2019,"of U.S. Magistrate Judge Carl W. Hoffman, this case is reassigned to U",42,112,of U.S. Magistrate Judge,Carl W. Hoffman,", this case is reassigned to U",67,82,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,10,08/07/2019,to U.S. Magistrate Judge Daniel J. Albregts for all further proceedings. All further,108,192,to U.S. Magistrate Judge,Daniel J. Albregts,for all further proceedings. All further,133,151,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,14,09/13/2019,ORDER IN CHAMBERS of the Honorable Judge Jennifer A. Dorsey on 9/13/2019.,7,80,ORDER IN CHAMBERS of the Honorable Judge,Jennifer A. Dorsey,on 9/13/2019.,48,66,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,27,10/28/2019,/2019. Signed by Magistrate Judge Daniel J. Albregts on 10/28/2019.,189,256,/2019. Signed by Magistrate Judge,Daniel J. Albregts,on 10/28/2019.,223,241,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,34,11/14/2019,is DENIED. Signed by Magistrate Judge Daniel J. Albregts on 11/14/2019.,105,176,is DENIED. Signed by Magistrate Judge,Daniel J. Albregts,on 11/14/2019.,143,161,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,35,02/04/2020,/2020. Signed by Magistrate Judge Daniel J. Albregts on 2/4/2020.,169,234,/2020. Signed by Magistrate Judge,Daniel J. Albregts,on 2/4/2020.,203,221,line_entry,SPACY JNLP2
nvd;;2:16-cv-03025,nvd,2016,2:16-cv-03025,38,06/22/2020,Closing this Case. Signed by Judge Jennifer A. Dorsey on 6/22/2020.,173,240,Closing this Case. Signed by Judge,Jennifer A. Dorsey,on 6/22/2020.,208,226,line_entry,SPACY JNLP2
nvd;;2:16-cv-00467,nvd,2016,2:16-cv-00467,3,03/04/2016,Case assigned to Judge Miranda M. Du and Magistrate Judge Carl W. Hoffman,0,73,Case assigned to Judge,Miranda M. Du,and Magistrate Judge Carl W. Hoffman,23,36,line_entry,SPACY JNLP2
