ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nynd;;5:16-cv-00266,nynd,2016,5:16-cv-00266,4,03/07/2016,by U.S. Magistrate Judge Andrew T. Baxter on 3/7/2016.,92,146,by U.S. Magistrate Judge,Andrew T. Baxter,on 3/7/2016.,117,133,line_entry,SPACY JNLP2
nynd;;5:16-cv-00266,nynd,2016,5:16-cv-00266,14,12/16/2016,"DEFENDANT.. Signed by US Magistrate Judge Andrew T. Baxter on December 16, 2016. (",175,257,DEFENDANT.. Signed by US Magistrate Judge,Andrew T. Baxter,"on December 16, 2016. (",217,233,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,2,01/05/2016,00 AM in Binghamton before Magistrate Judge David E. Peebles. Civil Case Management Plan must be,72,168,00 AM in Binghamton before Magistrate Judge,David E. Peebles,. Civil Case Management Plan must be,116,132,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,5,02/10/2016,"Order/Judgment) Motions referred to David E. Peebles. (James, Jacqueline) (",172,247,Order/Judgment) Motions referred to,David E. Peebles,". (James, Jacqueline) (",208,224,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,10,02/10/2016,"Malibu Media, LLC submitted to Judge Scullin . (James, Jacqueline) (",26,94,"Malibu Media, LLC submitted to Judge",Scullin,". (James, Jacqueline) (",63,70,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,11,02/17/2016,Warner Cable. Signed by Magistrate Judge David E. Peebles on 2/17/16.,192,261,Warner Cable. Signed by Magistrate Judge,David E. Peebles,on 2/17/16.,233,249,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,12,02/17/2016,for status. Authorized by Magistrate Judge David E. Peebles on 2/17/16.,266,337,for status. Authorized by Magistrate Judge,David E. Peebles,on 2/17/16.,309,325,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,14,03/31/2016,the defendant. Authorized by Magistrate Judge David E. Peebles on 3/31/16.,133,207,the defendant. Authorized by Magistrate Judge,David E. Peebles,on 3/31/16.,179,195,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,15,06/07/2016,/2016. Authorized by Magistrate Judge David E. Peebles on 6/7/16.,427,492,/2016. Authorized by Magistrate Judge,David E. Peebles,on 6/7/16.,465,481,line_entry,SPACY JNLP2
nynd;;1:15-cv-01564,nynd,2015,1:15-cv-01564,17,06/08/2016,this action. Signed by Magistrate Judge David E. Peebles on 6/8/16.,197,264,this action. Signed by Magistrate Judge,David E. Peebles,on 6/8/16.,237,253,line_entry,SPACY JNLP2
