ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nysd;;7:16-cv-06191,nysd,2016,7:16-cv-06191,8,08/23/2016,6). (Signed by Judge Vincent L. Briccetti on 8/22/2016),468,523,6). (Signed by Judge,Vincent L. Briccetti,on 8/22/2016),489,509,line_entry,SPACY JNLP2
nysd;;7:16-cv-06191,nysd,2016,7:16-cv-06191,10,11/01/2016,"Time to Serve Defendants addressed to Judge Vincent L. Briccetti from Spencer Wolgang dated November 1,",31,134,Time to Serve Defendants addressed to Judge,Vincent L. Briccetti,"from Spencer Wolgang dated November 1,",75,95,line_entry,SPACY JNLP2
nysd;;7:16-cv-06191,nysd,2016,7:16-cv-06191,11,11/01/2016,2017. (HEREBY ORDERED by Judge Vincent L. Briccetti)(Text Only Order) (,124,195,2017. (HEREBY ORDERED by Judge,Vincent L. Briccetti,)(Text Only Order) (,155,175,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,4,12/29/2016,"as to Former Monticello Acting Police Chief Mark Johnstone, re: 1 Complaint. Document",32,117,as to Former Monticello Acting Police Chief,Mark Johnstone,", re: 1 Complaint. Document",76,90,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,6,12/29/2016,"SUMMONS as to Former Monticello Police Chief Douglas Solomon , re: 1 Complaint.",24,103,SUMMONS as to Former Monticello Police Chief,Douglas,"Solomon , re: 1 Complaint.",69,76,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,8,12/29/2016,-entitled action is assigned to Judge Kenneth M. Karas. Please download and review the Individual,49,146,-entitled action is assigned to Judge,Kenneth M. Karas,. Please download and review the Individual,87,103,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,9,12/29/2016,Magistrate Judge Judith C. McCarthy is so designated. (vf),0,58,Magistrate Judge,Judith C. McCarthy,is so designated. (vf),17,35,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,23,01/24/2017,file Motion to Dismiss addressed to Judge Kenneth M. Karas from Cheryl A. McCausland dated 01,32,125,file Motion to Dismiss addressed to Judge,Kenneth M. Karas,from Cheryl A. McCausland dated 01,74,90,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,26,01/27/2017,"in Opposition to Motion addressed to Judge Kenneth M. Karas from Jessica Massimi, Esq. dated",16,108,in Opposition to Motion addressed to Judge,Kenneth M. Karas,"from Jessica Massimi, Esq. dated",59,75,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,26,01/27/2017,file Motion to Dismiss addressed to Judge Kenneth M. Karas from Cheryl A. McCausland dated 01,165,258,file Motion to Dismiss addressed to Judge,Kenneth M. Karas,from Cheryl A. McCausland dated 01,207,223,line_entry,SPACY JNLP2
nysd;;7:16-cv-10029,nysd,2016,7:16-cv-10029,27,01/30/2017,"LETTER addressed to Judge Kenneth M. Karas from David L. Posner, Esq",0,68,LETTER addressed to Judge,Kenneth M. Karas,"from David L. Posner, Esq",26,42,line_entry,SPACY JNLP2
