ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nywd;;1:16-cv-00159,nywd,2016,1:16-cv-00159,3,10/30/2017,in the order. Signed by Hon. Lawrence J. Vilardo on 10/30/2017.,312,375,in the order. Signed by Hon,. Lawrence J. Vilardo,on 10/30/2017.,339,360,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,1,03/04/2016,Case assigned to Hon. Lawrence J. Vilardo. (SG),0,47,Case assigned to Hon,. Lawrence J. Vilardo,. (SG),20,41,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,"Conduct for United States Judges, Judge Vilardo notifies the parties and their attorneys of",117,208,"Conduct for United States Judges, Judge",Vilardo,notifies the parties and their attorneys of,157,164,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,"to this case, and although Judge Vilardo does not believe that his impartiality will",446,530,"to this case, and although Judge",Vilardo,does not believe that his impartiality will,479,486,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,"that this prior representation may affect Judge Vilardos impartiality, that party is free to",677,769,that this prior representation may affect Judge,Vilardos,"impartiality, that party is free to",725,733,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,deems appropriate from this Court. Judge Vilardo will forgo any further work on this,794,878,deems appropriate from this Court. Judge,Vilardo,will forgo any further work on this,835,842,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,"of the fourteenth calendar day, Judge Vilardo will conclude that neither party objects to",1062,1151,"of the fourteenth calendar day, Judge",Vilardo,will conclude that neither party objects to,1100,1107,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,6,06/07/2016,"this matter immediately. Issued by Hon. Lawrence J. Vilardo on June 7, 2016. (",1217,1295,this matter immediately. Issued by Hon,. Lawrence J. Vilardo,"on June 7, 2016. (",1255,1276,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,10,08/02/2016,. SO ORDERED. Issued by Hon. Lawrence J. Vilardo on 8/2/2016.,113,174,. SO ORDERED. Issued by Hon,. Lawrence J. Vilardo,on 8/2/2016.,140,161,line_entry,SPACY JNLP2
nywd;;1:16-cv-00187,nywd,2016,1:16-cv-00187,12,09/13/2016,. SO ORDERED. Issued by Hon. Lawrence J. Vilardo on 9/13/2016.,120,182,. SO ORDERED. Issued by Hon,. Lawrence J. Vilardo,on 9/13/2016.,147,168,line_entry,SPACY JNLP2
