ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ohnd;;5:16-cv-01305,ohnd,2016,5:16-cv-01305,11,08/31/2016,9/13/16. Judge John R. Adams on 8/31/16.,143,183,9/13/16. Judge,John R. Adams,on 8/31/16.,158,171,line_entry,SPACY JNLP2
ohnd;;5:16-cv-01305,ohnd,2016,5:16-cv-01305,18,03/28/2017,. See Order for details. Judge John R. Adams on 03/28/2017.,217,276,. See Order for details. Judge,John R. Adams,on 03/28/2017.,248,261,line_entry,SPACY JNLP2
ohnd;;5:16-cv-01305,ohnd,2016,5:16-cv-01305,19,03/28/2017,the complaint is hereby dismissed. Judge John R. Adams on 03/28/2017.,213,282,the complaint is hereby dismissed. Judge,John R. Adams,on 03/28/2017.,254,267,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,2,10/21/2016,"Judge Sara Lioi assigned to case. (S,",0,37,Judge,Sara Lioi,"assigned to case. (S,",6,15,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,3,10/21/2016,"case will be assigned to Magistrate Judge Thomas M. Parker. (S,SR)",94,160,case will be assigned to Magistrate Judge,Thomas M. Parker,". (S,SR)",136,152,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,4,10/21/2016,"Track DCM Initial Order. Chief Judge Solomon Oliver, Jr. (S,SR) (Entered",15,87,Track DCM Initial Order. Chief Judge,"Solomon Oliver, Jr.","(S,SR) (Entered",52,71,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,5,10/21/2016,] of Administrative Action to Magistrate Judge Thomas M. Parker pursuant to Local Rule 72.2,33,124,] of Administrative Action to Magistrate Judge,Thomas M. Parker,pursuant to Local Rule 72.2,80,96,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,5,10/21/2016,Local Rule 72.2. Judge Sara Lioi on 10/21/2016.,109,156,Local Rule 72.2. Judge,Sara Lioi,on 10/21/2016.,132,141,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,6,10/21/2016,Initial Standing Order. Judge Sara Lioi on 10/21/2016.,0,54,Initial Standing Order. Judge,Sara Lioi,on 10/21/2016.,30,39,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,7,10/26/2016,proceed in forma pauperis. Magistrate Judge Thomas M. Parker on 10/26/2016.,54,129,proceed in forma pauperis. Magistrate Judge,Thomas M. Parker,on 10/26/2016.,98,114,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,8,10/26/2016,Judge's Initial Order. Magistrate Judge Thomas M. Parker on 10/26/2016.,11,82,Judge's Initial Order. Magistrate Judge,Thomas M. Parker,on 10/26/2016.,51,67,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,13,01/03/2017,answer complaint. Approved by Magistrate Judge Thomas M. Parker on 1/3/2017.,98,174,answer complaint. Approved by Magistrate Judge,Thomas M. Parker,on 1/3/2017.,145,161,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,19,04/27/2017,extensions will be granted. Magistrate Judge Thomas M. Parker on 4/27/2017.,139,214,extensions will be granted. Magistrate Judge,Thomas M. Parker,on 4/27/2017.,184,200,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,21,10/10/2017,/24/2017. Magistrate Judge Thomas M. Parker on 10/10/2017.,205,263,/24/2017. Magistrate Judge,Thomas M. Parker,on 10/10/2017.,232,248,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,23,10/26/2017,. No. 16 ). Judge Sara Lioi on 10/26/2017.,149,191,. No. 16 ). Judge,Sara Lioi,on 10/26/2017.,167,176,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,24,10/26/2017,". 16, 18 ). Judge Sara Lioi on 10/26/2017.",207,249,". 16, 18 ). Judge",Sara Lioi,on 10/26/2017.,225,234,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,27,02/20/2018,". 20, 21 ). Judge Sara Lioi on 2/20/2018.",314,355,". 20, 21 ). Judge",Sara Lioi,on 2/20/2018.,332,341,line_entry,SPACY JNLP2
ohnd;;1:16-cv-02569,ohnd,2016,1:16-cv-02569,28,02/20/2018,2d 91 (2010). Judge Sara Lioi on 2/20/2018.,391,434,2d 91 (2010). Judge,Sara Lioi,on 2/20/2018.,411,420,line_entry,SPACY JNLP2
ohnd;;1:16-cv-01430,ohnd,2016,1:16-cv-01430,1,06/10/2016,"Track DCM Initial Order. Chief Judge Solomon Oliver, Jr. (S,SR) (Entered",15,87,Track DCM Initial Order. Chief Judge,"Solomon Oliver, Jr.","(S,SR) (Entered",52,71,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,3,11/23/2016,"Judge John R. Adams assigned to case. (S,",0,41,Judge,John R. Adams,"assigned to case. (S,",6,19,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,4,11/23/2016,"case will be assigned to Magistrate Judge George J. Limbert. (S,HR)",94,161,case will be assigned to Magistrate Judge,George J. Limbert,". (S,HR)",136,153,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,10,02/01/2017,". Alias Summons and Complaint addressed to Roger H. Ball Receipt # 70081830000406909564, Mary Brack Receipt",16,123,. Alias Summons and Complaint addressed to,Roger H. Ball,"Receipt # 70081830000406909564, Mary Brack Receipt",59,72,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,11,02/03/2017,"by Clerk by certified mail executed upon Roger H. Ball on 2/2/2017,",18,85,by Clerk by certified mail executed upon,Roger H. Ball,"on 2/2/2017,",59,72,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,20,03/27/2017,these proceedings for 90 days. Judge John R. Adams on 3/27/17.,84,146,these proceedings for 90 days. Judge,John R. Adams,on 3/27/17.,121,134,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,24,06/28/2017,Doc. # 15 ). Judge John R. Adams on 6/28/17.,106,150,Doc. # 15 ). Judge,John R. Adams,on 6/28/17.,125,138,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,26,08/25/2017,00 AM in Courtroom 575 before Judge John R. Adams. Lead counsel and party representatives to,106,198,00 AM in Courtroom 575 before Judge,John R. Adams,. Lead counsel and party representatives to,142,155,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,26,08/25/2017,and party representatives to attend. Judge John R. Adams on 08/25/2017.,170,241,and party representatives to attend. Judge,John R. Adams,on 08/25/2017.,213,226,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,29,09/14/2017,a later date if necessary. Judge John R. Adams on 9/14/17.,129,187,a later date if necessary. Judge,John R. Adams,on 9/14/17.,162,175,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,31,10/10/2017,10/18/17. Judge John R. Adams on 10/10/17.,134,176,10/18/17. Judge,John R. Adams,on 10/10/17.,150,163,line_entry,SPACY JNLP2
ohnd;;5:16-cv-02858,ohnd,2016,5:16-cv-02858,33,10/17/2017,Related Doc # 30 ). Judge John R. Adams on 10/17/17.,328,380,Related Doc # 30 ). Judge,John R. Adams,on 10/17/17.,354,367,line_entry,SPACY JNLP2
