ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,13,09/22/2017,to Dismiss. Signed by Chief Judge Edmund A. Sargus on 09/21/2017.,47,112,to Dismiss. Signed by Chief Judge,Edmund A. Sargus,on 09/21/2017.,81,97,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,39,05/21/2018,00 AM in Chambers before Chief Judge Edmund A. Sargus. Settlement Conference set for 10/,103,191,00 AM in Chambers before Chief Judge,Edmund A. Sargus,. Settlement Conference set for 10/,140,156,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,39,05/21/2018,30 AM in Chambers before Chief Judge Edmund A. Sargus. Jury Trial set for 12/,205,282,30 AM in Chambers before Chief Judge,Edmund A. Sargus,. Jury Trial set for 12/,242,258,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,39,05/21/2018,Courtroom 2 - Columbus before Chief Judge Edmund A. Sargus. Signed by Chief Judge Edmund A,305,395,Courtroom 2 - Columbus before Chief Judge,Edmund A. Sargus,. Signed by Chief Judge Edmund A,347,363,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,39,05/21/2018,. Sargus. Signed by Chief Judge Edmund A. Sargus on 5/21/2018.,355,417,. Sargus. Signed by Chief Judge,Edmund A. Sargus,on 5/21/2018.,387,403,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,43,10/17/2018,30 AM in Chambers before Chief Judge Edmund A. Sargus. (cmw) (Entered:,67,137,30 AM in Chambers before Chief Judge,Edmund A. Sargus,. (cmw) (Entered:,104,120,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,44,10/17/2018,to Vacate. Signed by Chief Judge Edmund A. Sargus on 10/17/2018.,24,88,to Vacate. Signed by Chief Judge,Edmund A. Sargus,on 10/17/2018.,57,73,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,46,10/29/2018,/Correct. Signed by Chief Judge Edmund A. Sargus on 10/25/2018.,33,96,/Correct. Signed by Chief Judge,Edmund A. Sargus,on 10/25/2018.,65,81,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,47,10/29/2018,30 AM in Chambers before Chief Judge Edmund A. Sargus. (cmw) (Entered:,67,137,30 AM in Chambers before Chief Judge,Edmund A. Sargus,. (cmw) (Entered:,104,120,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,48,11/06/2018,Summary Judgment. Signed by Chief Judge Edmund A. Sargus on 11/6/2018.,129,199,Summary Judgment. Signed by Chief Judge,Edmund A. Sargus,on 11/6/2018.,169,185,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,53,12/04/2018,'s Appeal. Signed by Chief Judge Edmund A. Sargus on 12/4/2018.,143,206,'s Appeal. Signed by Chief Judge,Edmund A. Sargus,on 12/4/2018.,176,192,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,56,09/25/2019,Circuit's decision. Signed by Judge Edmund A. Sargus on 9/25/2019.,69,135,Circuit's decision. Signed by Judge,Edmund A. Sargus,on 9/25/2019.,105,121,line_entry,SPACY JNLP2
ohsd;;2:16-cv-00789,ohsd,2016,2:16-cv-00789,58,05/12/2020,No. 49 . Signed by Judge Edmund A. Sargus on 5/12/2020.,154,209,No. 49 . Signed by Judge,Edmund A. Sargus,on 5/12/2020.,179,195,line_entry,SPACY JNLP2
