ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,30,12/22/2016,MINUTE ORDER by Magistrate Judge Steven P. Shreder DENYING AS MOOT 21 Motion to Dismiss,0,87,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,DENYING AS MOOT 21 Motion to Dismiss,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,31,12/22/2016,ORDER SETTING SCHEDULING CONFERENCE by Magistrate Judge Steven P. Shreder setting Scheduling Conference for 1/13,0,112,ORDER SETTING SCHEDULING CONFERENCE by Magistrate Judge,Steven P. Shreder,setting Scheduling Conference for 1/13,56,73,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,31,12/22/2016,", Muskogee, OK before Magistrate Judge Steven P. Shreder. Parties directed to file Joint Status",184,279,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. Parties directed to file Joint Status,223,240,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,33,01/11/2017,SCHEDULING ORDER by Magistrate Judge Steven P. Shreder setting scheduling order date(s):,0,88,SCHEDULING ORDER by Magistrate Judge,Steven P. Shreder,setting scheduling order date(s):,37,54,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,33,01/11/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. Jury Trial set for 10/",497,577,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. Jury Trial set for 10/,536,553,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,33,01/11/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. The Scheduling Conference set 1/",653,743,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. The Scheduling Conference set 1/,692,709,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,33,01/11/2017,"10:30 a.m. before Magistrate Judge Steven P. Shreder is hereby STRICKEN. (ndd,",754,832,10:30 a.m. before Magistrate Judge,Steven P. Shreder,"is hereby STRICKEN. (ndd,",789,806,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,35,01/26/2017,SETTLEMENT CONFERENCE ORDER by Magistrate Judge Steven P. Shreder: Settlement Conference set for 8/,0,99,SETTLEMENT CONFERENCE ORDER by Magistrate Judge,Steven P. Shreder,: Settlement Conference set for 8/,48,65,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,35,01/26/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West.(Settlement Conference Statements are due",170,267,", Muskogee, OK before Magistrate Judge",Kimberly E. West,.(Settlement Conference Statements are due,209,225,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,41,08/09/2017,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 40 Agreed MOTION to Extend Deadline,0,95,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 40 Agreed MOTION to Extend Deadline,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,42,08/09/2017,AMENDED SCHEDULING ORDER by Magistrate Judge Steven P. Shreder resetting scheduling order dates: Exhibit List,0,109,AMENDED SCHEDULING ORDER by Magistrate Judge,Steven P. Shreder,resetting scheduling order dates: Exhibit List,45,62,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,42,08/09/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. Jury Trial set for 12/",435,515,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. Jury Trial set for 12/,474,491,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,42,08/09/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. (ndd, Deputy Clerk)",591,668,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,". (ndd, Deputy Clerk)",630,647,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,45,08/14/2017,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 44 Motion to Withdraw Documents(,0,92,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 44 Motion to Withdraw Documents(,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,47,08/17/2017,MINUTE ORDER by Magistrate Judge Kimberly E. West granting 46 Motion to Continue Settlement Conference,0,102,MINUTE ORDER by Magistrate Judge,Kimberly E. West,granting 46 Motion to Continue Settlement Conference,33,49,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,47,08/17/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West. (Settlement Conference Statements are due",221,319,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. (Settlement Conference Statements are due,260,276,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,53,10/27/2017,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 52 MOTION for Leave to File,0,87,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 52 MOTION for Leave to File,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,54,10/27/2017,"MINUTE ORDER by Magistrate Judge Kimberly E. West, upon request of the parties,",0,79,MINUTE ORDER by Magistrate Judge,Kimberly E. West,", upon request of the parties,",33,49,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,55,10/27/2017,SECOND AMENDED SCHEDULING ORDER by Magistrate Judge Steven P. Shreder resetting scheduling order dates: Exhibit List,0,116,SECOND AMENDED SCHEDULING ORDER by Magistrate Judge,Steven P. Shreder,resetting scheduling order dates: Exhibit List,52,69,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,55,10/27/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. Jury Trial set for 9/",439,518,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. Jury Trial set for 9/,478,495,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,55,10/27/2017,", Muskogee, OK before Magistrate Judge Steven P. Shreder. (ndd, Deputy Clerk)",594,671,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,". (ndd, Deputy Clerk)",633,650,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,56,10/30/2017,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge Steven P. Shreder: Settlement Conference set for 7/,0,107,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge,Steven P. Shreder,: Settlement Conference set for 7/,56,73,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,56,10/30/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West.(Settlement Conference Statements are due",178,275,", Muskogee, OK before Magistrate Judge",Kimberly E. West,.(Settlement Conference Statements are due,217,233,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,64,12/18/2017,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 62 Motion to Supplement (Re,0,87,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 62 Motion to Supplement (Re,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,70,06/25/2018,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 69 Joint Motion for Extension of,0,92,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 69 Joint Motion for Extension of,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,71,06/25/2018,THIRD AMENDED SCHEDULING ORDER by Magistrate Judge Steven P. Shreder resetting scheduling order dates: Exhibit List,0,115,THIRD AMENDED SCHEDULING ORDER by Magistrate Judge,Steven P. Shreder,resetting scheduling order dates: Exhibit List,51,68,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,71,06/25/2018,", Muskogee, OK before Magistrate Judge Steven P. Shreder; Jury Trial set for 1/",439,518,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,; Jury Trial set for 1/,478,495,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,71,06/25/2018,", Muskogee, OK before Magistrate Judge Steven P. Shreder. (tls, Deputy Clerk)",592,669,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,". (tls, Deputy Clerk)",631,648,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,72,06/27/2018,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge Steven P. Shreder: Settlement Conference has been RESET for,6,121,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge,Steven P. Shreder,: Settlement Conference has been RESET for,62,79,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,72,06/27/2018,", Muskogee, OK before Magistrate Judge Kimberly E. West. (Settlement Conference Statements are due",195,293,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. (Settlement Conference Statements are due,234,250,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,73,07/06/2018,OPINION AND ORDER by Magistrate Judge Steven P. Shreder GRANTING 58 Motion to Dismiss Case for,0,94,OPINION AND ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 58 Motion to Dismiss Case for,38,55,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,80,09/07/2018,"(c), the Magistrate Judge will exercise complete jurisdiction over all matters in",137,218,"(c), the Magistrate Judge",will,exercise complete jurisdiction over all matters in,163,167,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,82,10/17/2018,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 81 Joint Motion to Extend Scheduling,0,96,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 81 Joint Motion to Extend Scheduling,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,83,10/17/2018,FOURTH AMENDED SCHEDULING ORDER by Magistrate Judge Steven P. Shreder resetting scheduling order dates: Exhibit List,0,116,FOURTH AMENDED SCHEDULING ORDER by Magistrate Judge,Steven P. Shreder,resetting scheduling order dates: Exhibit List,52,69,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,83,10/17/2018,", Muskogee, OK before Magistrate Judge Steven P. Shreder. Jury Trial set for 5/",437,516,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,. Jury Trial set for 5/,476,493,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,83,10/17/2018,", Muskogee, OK before Magistrate Judge Steven P. Shreder. (ndd, Deputy Clerk)",592,669,", Muskogee, OK before Magistrate Judge",Steven P. Shreder,". (ndd, Deputy Clerk)",631,648,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,85,10/29/2018,MINUTE ORDER by Magistrate Judge Kimberly E. West granting 84 Motion to Continue Hearing(,0,89,MINUTE ORDER by Magistrate Judge,Kimberly E. West,granting 84 Motion to Continue Hearing(,33,49,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,85,10/29/2018,", Muskogee, OK before Magistrate Judge Kimberly E. West.(sjr, Chambers) (",197,270,", Muskogee, OK before Magistrate Judge",Kimberly E. West,".(sjr, Chambers) (",236,252,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,86,10/29/2018,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge Steven P. Shreder: Settlement Conference has been RESET for,7,122,AMENDED SETTLEMENT CONFERENCE ORDER by Magistrate Judge,Steven P. Shreder,: Settlement Conference has been RESET for,63,80,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,86,10/29/2018,", Muskogee, OK before Magistrate Judge Kimberly E. West. (Settlement Conference Statements are due",196,294,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. (Settlement Conference Statements are due,235,251,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,87,11/09/2018,OPINION AND ORDER by Magistrate Judge Steven P. Shreder GRANTING IN PART and DENYING IN PART,0,92,OPINION AND ORDER by Magistrate Judge,Steven P. Shreder,GRANTING IN PART and DENYING IN PART,38,55,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,89,11/27/2018,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 88 Unopposed Motion for Extension of,0,96,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 88 Unopposed Motion for Extension of,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,90,12/10/2018,MINUTE ORDER by Magistrate Judge Kimberly E. West: The Settlement Conference has been RESET,0,91,MINUTE ORDER by Magistrate Judge,Kimberly E. West,: The Settlement Conference has been RESET,33,49,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,90,12/10/2018,", Muskogee, OK before Magistrate Judge Kimberly E. West. (Settlement Conference Statements are due",168,266,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. (Settlement Conference Statements are due,207,223,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,92,12/18/2018,MINUTE ORDER by Magistrate Judge Steven P. Shreder GRANTING 91 Unopposed Motion for Extension of,0,96,MINUTE ORDER by Magistrate Judge,Steven P. Shreder,GRANTING 91 Unopposed Motion for Extension of,33,50,line_entry,SPACY JNLP2
oked;;6:16-cv-00415,oked,2016,6:16-cv-00415,93,01/18/2019,ADMINISTRATIVE CLOSING ORDER by Magistrate Judge Steven P. Shreder administratively closing the case (case terminated,0,117,ADMINISTRATIVE CLOSING ORDER by Magistrate Judge,Steven P. Shreder,administratively closing the case (case terminated,49,66,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,9,01/12/2017,ORDER by Magistrate Judge Kimberly E. West setting Telephonic Scheduling Conference for 2/,0,90,ORDER by Magistrate Judge,Kimberly E. West,setting Telephonic Scheduling Conference for 2/,26,42,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,9,01/12/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West. The Court will initiate the conference",159,254,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. The Court will initiate the conference,198,214,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,12,02/21/2017,MINUTE ORDER by Magistrate Judge Kimberly E. West - This Court acknowledges the random assignment,0,97,MINUTE ORDER by Magistrate Judge,Kimberly E. West,- This Court acknowledges the random assignment,33,49,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,13,02/22/2017,"(c), the Magistrate Judge will exercise complete jurisdiction over all matters in",137,218,"(c), the Magistrate Judge",will,exercise complete jurisdiction over all matters in,163,167,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,15,02/28/2017,MINUTES of Proceedings held before Magistrate Judge Kimberly E. West: Telephonic Scheduling Conference held on 2,0,112,MINUTES of Proceedings held before Magistrate Judge,Kimberly E. West,: Telephonic Scheduling Conference held on 2,52,68,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,16,02/28/2017,SCHEDULING ORDER by Magistrate Judge Kimberly E. West setting scheduling order date(s):,0,87,SCHEDULING ORDER by Magistrate Judge,Kimberly E. West,setting scheduling order date(s):,37,53,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,16,02/28/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West. Jury Trial set for 10/",494,573,", Muskogee, OK before Magistrate Judge",Kimberly E. West,. Jury Trial set for 10/,533,549,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,16,02/28/2017,", Muskogee, OK before Magistrate Judge Kimberly E. West.(adw, Deputy Clerk)",645,720,", Muskogee, OK before Magistrate Judge",Kimberly E. West,".(adw, Deputy Clerk)",684,700,line_entry,SPACY JNLP2
oked;;6:16-cv-00542,oked,2016,6:16-cv-00542,17,03/01/2017,MINUTE ORDER by Magistrate Judge Kimberly E. West - Upon contacting Plaintiff's counsel's,0,89,MINUTE ORDER by Magistrate Judge,Kimberly E. West,- Upon contacting Plaintiff's counsel's,33,49,line_entry,SPACY JNLP2
