ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
rid;;1:16-cv-00236,rid,2016,1:16-cv-00236,2,06/09/2016,2016. So Ordered by Magistrate Judge Patricia A. Sullivan on 6/9/2016.,578,648,2016. So Ordered by Magistrate Judge,Patricia A. Sullivan,on 6/9/2016.,615,635,line_entry,SPACY JNLP2
rid;;1:16-cv-00236,rid,2016,1:16-cv-00236,4,07/27/2016,Boisette. So Ordered by Chief Judge William E. Smith on 7/27/2016.,168,234,Boisette. So Ordered by Chief Judge,William E. Smith,on 7/27/2016.,204,220,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,1,12/06/2016,"Case assigned to District Judge John J. McConnell, Jr. and Magistrate Judge Patricia A. Sullivan",0,96,Case assigned to District Judge,"John J. McConnell, Jr.",and Magistrate Judge Patricia A. Sullivan,32,54,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,1,12/06/2016,". McConnell, Jr. and Magistrate Judge Patricia A. Sullivan. (Swanson, Debra) (",38,116,". McConnell, Jr. and Magistrate Judge",Patricia A. Sullivan,". (Swanson, Debra) (",76,96,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,8,02/07/2017,"Siegel - So Ordered by District Judge John J. McConnell, Jr. on 2/7/2017.",66,139,Siegel - So Ordered by District Judge,"John J. McConnell, Jr.",on 2/7/2017.,104,126,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,9,02/07/2017,"ORDER OF RECUSAL entered: District Judge John J. McConnell, Jr. recused. Case reassigned to Chief Judge",0,103,ORDER OF RECUSAL entered: District Judge,"John J. McConnell, Jr.",recused. Case reassigned to Chief Judge,41,63,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,9,02/07/2017,recused. Case reassigned to Chief Judge William E. Smith for all further proceedings - So Ordered,64,161,recused. Case reassigned to Chief Judge,William E. Smith,for all further proceedings - So Ordered,104,120,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,9,02/07/2017,"proceedings - So Ordered by District Judge John J. McConnell, Jr. on 2/7/2017.",137,215,proceedings - So Ordered by District Judge,"John J. McConnell, Jr.",on 2/7/2017.,180,202,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,10,03/30/2017,"30 AM in Chambers before Chief Judge William E. Smith. (Jackson, Ryan) (",77,149,30 AM in Chambers before Chief Judge,William E. Smith,". (Jackson, Ryan) (",114,130,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,14,04/18/2017,Conference. So Ordered by Chief Judge William E. Smith on 4/18/2017.,67,135,Conference. So Ordered by Chief Judge,William E. Smith,on 4/18/2017.,105,121,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,15,04/19/2017,Entry for proceedings held before Chief Judge William E. Smith: Rule 16 Conference held on 4,7,99,Entry for proceedings held before Chief Judge,William E. Smith,: Rule 16 Conference held on 4,53,69,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,16,04/20/2017,2017. So Ordered by Chief Judge William E. Smith on 4/20/2017.,233,295,2017. So Ordered by Chief Judge,William E. Smith,on 4/20/2017.,265,281,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,17,04/26/2017,Mediation. So Ordered by Chief Judge William E. Smith on 4/26/2017.,28,95,Mediation. So Ordered by Chief Judge,William E. Smith,on 4/26/2017.,65,81,line_entry,SPACY JNLP2
rid;;1:16-cv-00646,rid,2016,1:16-cv-00646,21,06/27/2017,Prince. So Ordered by Chief Judge William E. Smith on 6/27/2017.,106,170,Prince. So Ordered by Chief Judge,William E. Smith,on 6/27/2017.,140,156,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,1,10/11/2016,). So Ordered by Magistrate Judge Lincoln D. Almond on 10/11/2016.,57,123,). So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/11/2016.,91,108,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,5,10/12/2016,). So Ordered by Magistrate Judge Lincoln D. Almond on 10/12/2016.,67,133,). So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/12/2016.,101,118,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,7,10/12/2016,Entry for proceedings held before Magistrate Judge Lincoln D. Almond: Arraignment as to Devon Brown (,7,108,Entry for proceedings held before Magistrate Judge,Lincoln D. Almond,: Arraignment as to Devon Brown (,58,75,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,8,10/12/2016,2017. So Ordered by Magistrate Judge Lincoln D. Almond on 10/12/2016.,56,125,2017. So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/12/2016.,93,110,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,9,10/12/2016,UNSECURED. So Ordered by Magistrate Judge Lincoln D. Almond on 10/12/2016.,66,140,UNSECURED. So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/12/2016.,108,125,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,10,10/12/2016,UNSECURED. So Ordered by Magistrate Judge Lincoln D. Almond on 10/12/2016.,69,143,UNSECURED. So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/12/2016.,111,128,line_entry,SPACY JNLP2
rid;;1:16-cr-00087,rid,2016,1:16-cr-00087,11,10/12/2016,Brown. So Ordered by Magistrate Judge Lincoln D. Almond on 10/12/2016.,53,123,Brown. So Ordered by Magistrate Judge,Lincoln D. Almond,on 10/12/2016.,91,108,line_entry,SPACY JNLP2
