ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,5,10/25/2016,LR 73.02. Magistrate Judge Jacquelyn D Austin assigned to case. New case number,46,125,LR 73.02. Magistrate Judge,Jacquelyn D Austin,assigned to case. New case number,73,91,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,6,10/26/2016,civil action. Signed by Magistrate Judge Jacquelyn D Austin on 10/26/16.,176,248,civil action. Signed by Magistrate Judge,Jacquelyn D Austin,on 10/26/16.,217,235,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,8,11/10/2016,"No proposed order.Motions referred to Jacquelyn D Austin.(Leventis, James) (",227,303,No proposed order.Motions referred to,Jacquelyn D Austin,".(Leventis, James) (",265,283,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,9,11/10/2016,"No proposed order.Motions referred to Jacquelyn D Austin.(Leventis, James) (",226,302,No proposed order.Motions referred to,Jacquelyn D Austin,".(Leventis, James) (",264,282,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,10,11/14/2016,Trading Commission. Signed by Magistrate Judge Jacquelyn D Austin on 11/14/2016.,214,294,Trading Commission. Signed by Magistrate Judge,Jacquelyn D Austin,on 11/14/2016.,261,279,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,12,12/19/2016,"No proposed order.Motions referred to Jacquelyn D Austin.(gpre, ) (Entered",235,309,No proposed order.Motions referred to,Jacquelyn D Austin,".(gpre, ) (Entered",273,291,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,13,12/29/2016,", 2017. Signed by Magistrate Judge Jacquelyn D Austin on 12/29/2016.",162,230,", 2017. Signed by Magistrate Judge",Jacquelyn D Austin,on 12/29/2016.,197,215,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,15,02/24/2017,"No proposed order.Motions referred to Jacquelyn D Austin.(Leventis, James) (",309,385,No proposed order.Motions referred to,Jacquelyn D Austin,".(Leventis, James) (",347,365,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,17,02/27/2017,", 2017. Signed by Magistrate Judge Jacquelyn D Austin on 2/27/2017.",192,259,", 2017. Signed by Magistrate Judge",Jacquelyn D Austin,on 2/27/2017.,227,245,line_entry,SPACY JNLP2
scd;;8:16-cv-03258,scd,2016,8:16-cv-03258,23,03/21/2017,Scheduling Order. Signed by Magistrate Judge Jacquelyn D Austin on 3/21/2017.,81,158,Scheduling Order. Signed by Magistrate Judge,Jacquelyn D Austin,on 3/21/2017.,126,144,line_entry,SPACY JNLP2
