ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,3,07/25/2016,Room 117* before US Magistrate Judge Veronica L. Duffy. (CG) [4:,114,178,Room 117* before US Magistrate Judge,Veronica L. Duffy,. (CG) [4:,151,168,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,6,07/26/2016,for proceedings held before US Magistrate Judge Veronica L. Duffy: Initial Appearance as to Johnny Carl,13,116,for proceedings held before US Magistrate Judge,Veronica L. Duffy,: Initial Appearance as to Johnny Carl,61,78,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,8,07/26/2016,Tiner. Signed by US Magistrate Judge Veronica L. Duffy on 7/26/2016.,59,127,Tiner. Signed by US Magistrate Judge,Veronica L. Duffy,on 7/26/2016.,96,113,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,10,07/26/2016,Tiner. Signed by US Magistrate Judge Veronica L. Duffy on 7/26/2016.,37,105,Tiner. Signed by US Magistrate Judge,Veronica L. Duffy,on 7/26/2016.,74,91,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,11,07/28/2016,before U.S. District Judge Karen E. Schreier. Signed by U.S.,241,301,before U.S. District Judge,Karen E. Schreier,. Signed by U.S.,268,285,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,11,07/28/2016,by U.S. District Judge Karen E. Schreier on 7/28/2016.,294,348,by U.S. District Judge,Karen E. Schreier,on 7/28/2016.,317,334,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,18,08/09/2016,hearing. Signed by US Magistrate Judge Veronica L. Duffy on 8/9/2016.,286,355,hearing. Signed by US Magistrate Judge,Veronica L. Duffy,on 8/9/2016.,325,342,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,21,09/13/2016,before U.S. District Judge Karen E. Schreier. Signed by U.S.,123,183,before U.S. District Judge,Karen E. Schreier,. Signed by U.S.,150,167,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,21,09/13/2016,by U.S. District Judge Karen E. Schreier on 9/13/2016.,176,230,by U.S. District Judge,Karen E. Schreier,on 9/13/2016.,199,216,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,22,09/19/2016,before U.S. District Judge Karen E. Schreier: Change of Plea Hearing as to,34,108,before U.S. District Judge,Karen E. Schreier,: Change of Plea Hearing as to,61,78,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,23,09/19/2016,before U.S. District Judge Karen E. Schreier. Signed by U.S.,123,183,before U.S. District Judge,Karen E. Schreier,. Signed by U.S.,150,167,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,23,09/19/2016,by U.S. District Judge Karen E. Schreier on 9/19/16.,176,228,by U.S. District Judge,Karen E. Schreier,on 9/19/16.,199,216,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,30,10/24/2016,before U.S. District Judge Karen E. Schreier: Sentencing as to Johnny Carl Tiner,34,114,before U.S. District Judge,Karen E. Schreier,: Sentencing as to Johnny Carl Tiner,61,78,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,31,10/24/2016,by U.S. District Judge Karen E. Schreier on 10/24/16.,181,234,by U.S. District Judge,Karen E. Schreier,on 10/24/16.,204,221,line_entry,SPACY JNLP2
sdd;;4:16-cr-40085,sdd,2016,4:16-cr-40085,32,10/24/2016,by U.S. District Judge Karen E. Schreier on 10/24/16.,53,106,by U.S. District Judge,Karen E. Schreier,on 10/24/16.,76,93,line_entry,SPACY JNLP2
