ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,2,03/15/2016,1). Signed by Magistrate Judge Clifton L Corker on 3/15/16.,94,153,1). Signed by Magistrate Judge,Clifton L Corker,on 3/15/16.,125,141,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,3,03/15/2016,Courtroom 300 - Greeneville before Magistrate Judge Clifton L Corker. (copies to USM) (,163,250,Courtroom 300 - Greeneville before Magistrate Judge,Clifton L Corker,. (copies to USM) (,215,231,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,5,03/24/2016,Entry for proceedings held before Magistrate Judge Clifton L Corker:Initial Appearance and Arraignment as to,7,115,Entry for proceedings held before Magistrate Judge,Clifton L Corker,:Initial Appearance and Arraignment as to,58,74,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,5,03/24/2016,Courtroom 300 - Greeneville before Magistrate Judge Clifton L Corker. Motion cut-off is 4,401,490,Courtroom 300 - Greeneville before Magistrate Judge,Clifton L Corker,. Motion cut-off is 4,453,469,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,5,03/24/2016,Courtroom 400 - Greeneville before District Judge Pamela L Reeves. The estimated length of trial is,573,672,Courtroom 400 - Greeneville before District Judge,Pamela L Reeves,. The estimated length of trial is,623,638,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,6,03/24/2016,Harold Hall. Signed by Magistrate Judge Clifton L Corker on 3/24/16.,39,107,Harold Hall. Signed by Magistrate Judge,Clifton L Corker,on 3/24/16.,79,95,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,7,03/24/2016,Harold Hall. Signed by Magistrate Judge Clifton L Corker on 3/24/16.,56,124,Harold Hall. Signed by Magistrate Judge,Clifton L Corker,on 3/24/16.,96,112,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,8,03/24/2016,Harold Hall. Signed by Magistrate Judge Clifton L Corker on 3/24/16.,34,102,Harold Hall. Signed by Magistrate Judge,Clifton L Corker,on 3/24/16.,74,90,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,9,03/24/2016,Harold Hall. Signed by Magistrate Judge Clifton L Corker on 3/24/16.,49,117,Harold Hall. Signed by Magistrate Judge,Clifton L Corker,on 3/24/16.,89,105,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,11,04/25/2016,sentencing procedures. Signed by Magistrate Judge Clifton L Corker on 4/25/16.,365,443,sentencing procedures. Signed by Magistrate Judge,Clifton L Corker,on 4/25/16.,415,431,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,14,05/09/2016,Courtroom 400 - Greeneville before District Judge Pamela L Reeves. (ADA) (Entered:,93,175,Courtroom 400 - Greeneville before District Judge,Pamela L Reeves,. (ADA) (Entered:,143,158,line_entry,SPACY JNLP2
tned;;2:16-cr-00021,tned,2016,2:16-cr-00021,15,06/20/2016,Entry for proceedings held before District Judge Pamela L Reeves: Change of Plea Hearing as to,7,101,Entry for proceedings held before District Judge,Pamela L Reeves,: Change of Plea Hearing as to,56,71,line_entry,SPACY JNLP2
