ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
tnmd;;3:16-cv-02550,tnmd,2016,3:16-cv-02550,1,10/11/2016,. P. Signed by District Judge Todd J. Campbell on 10/11/2016.,102,163,. P. Signed by District Judge,Todd J. Campbell,on 10/11/2016.,132,148,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,1,02/16/2016,ORDER REFERRING CASE to Magistrate Judge E. Clifton Knowles for entry of a scheduling order;,0,92,ORDER REFERRING CASE to Magistrate Judge,E. Clifton Knowles,for entry of a scheduling order;,41,59,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,1,02/16/2016,trial date. Signed by District Judge Todd J. Campbell on 2/16/16.,247,312,trial date. Signed by District Judge,Todd J. Campbell,on 2/16/16.,284,300,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,17,04/04/2016,to Dismiss . Signed by Magistrate Judge E. Clifton Knowles on 4/4/16.,82,151,to Dismiss . Signed by Magistrate Judge,E. Clifton Knowles,on 4/4/16.,122,140,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,22,04/27/2016,/2016. Signed by Magistrate Judge E. Clifton Knowles on 4/27/16.,78,142,/2016. Signed by Magistrate Judge,E. Clifton Knowles,on 4/27/16.,112,130,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,26,05/11/2016,personal jurisdiction. Signed by Magistrate Judge E. Clifton Knowles on 5/11/16.,216,296,personal jurisdiction. Signed by Magistrate Judge,E. Clifton Knowles,on 5/11/16.,266,284,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,39,07/26/2016,Amended Complaint. Signed by Magistrate Judge E. Clifton Knowles on 7/26/16.,115,191,Amended Complaint. Signed by Magistrate Judge,E. Clifton Knowles,on 7/26/16.,161,179,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,47,09/13/2016,to Dismiss . Signed by Magistrate Judge E. Clifton Knowles on 9/13/16.,84,154,to Dismiss . Signed by Magistrate Judge,E. Clifton Knowles,on 9/13/16.,124,142,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,57,10/13/2016,Due to the retirement of Magistrate Judge Knowles effective 10/7/16 and,0,71,Due to the retirement of Magistrate Judge,Knowles,effective 10/7/16 and,42,49,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,57,10/13/2016,assigned to this case is Magistrate Judge Jeffery S. Frensley. (gb),159,226,assigned to this case is Magistrate Judge,Jeffery S. Frensley,. (gb),201,220,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,62,10/31/2016,amend answer. Signed by Magistrate Judge Jeffery S. Frensley on 10/31/16.,28,101,amend answer. Signed by Magistrate Judge,Jeffery S. Frensley,on 10/31/16.,69,88,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,63,10/31/2016,00 AM. Signed by Magistrate Judge Jeffery S. Frensley on 10/31/16.,78,144,00 AM. Signed by Magistrate Judge,Jeffery S. Frensley,on 10/31/16.,112,131,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,72,11/30/2016,", U.S. District Judge Todd Campbell will retire. Pursuant to Administrative Order",10,91,", U.S. District Judge",Todd Campbell,will retire. Pursuant to Administrative Order,32,45,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,72,11/30/2016,case has been randomly reassigned to Judge Trauger. (eh),148,204,case has been randomly reassigned to Judge,Trauger,. (eh),191,198,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,73,12/02/2016,"of this pro se case to Judge Trauger, it is hereby ORDERED that the",29,96,of this pro se case to Judge,Trauger,", it is hereby ORDERED that the",58,65,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,73,12/02/2016,magistrate judge. Signed by District Judge Aleta A. Trauger on 12/2/16.,134,205,magistrate judge. Signed by District Judge,Aleta A. Trauger,on 12/2/16.,177,193,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,76,12/08/2016,Entry for proceedings held before Magistrate Judge Jeffery S. Frensley: Telephone Status Conference held on 12,7,117,Entry for proceedings held before Magistrate Judge,Jeffery S. Frensley,: Telephone Status Conference held on 12,58,77,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,78,12/20/2016,this action. Signed by Magistrate Judge Jeffery S. Frensley on 12/19/16.,407,479,this action. Signed by Magistrate Judge,Jeffery S. Frensley,on 12/19/16.,447,466,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,80,12/22/2016,PROTECTIVE ORDER. Signed by Magistrate Judge Jeffery S. Frensley on 12/22/2016.,8,87,PROTECTIVE ORDER. Signed by Magistrate Judge,Jeffery S. Frensley,on 12/22/2016.,53,72,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,82,12/30/2016,25 Subpoenas. Signed by Magistrate Judge Jeffery S. Frensley on 12/30/16.,28,101,25 Subpoenas. Signed by Magistrate Judge,Jeffery S. Frensley,on 12/30/16.,69,88,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,83,12/30/2016,via publication. Signed by Magistrate Judge Jeffery S. Frensley on 12/30/16.,54,130,via publication. Signed by Magistrate Judge,Jeffery S. Frensley,on 12/30/16.,98,117,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,89,01/24/2017,the subpoenas. Signed by Magistrate Judge Jeffery S. Frensley on 1/24/17.,64,137,the subpoenas. Signed by Magistrate Judge,Jeffery S. Frensley,on 1/24/17.,106,125,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,99,02/16/2017,as unopposed. Signed by Magistrate Judge Jeffery S. Frensley on 2/16/17.,120,192,as unopposed. Signed by Magistrate Judge,Jeffery S. Frensley,on 2/16/17.,161,180,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,104,04/27/2017,REPORT AND RECOMMENDATION: Magistrate Judge Frensley recommends that the Court grant Plaintiffs Motion,0,102,REPORT AND RECOMMENDATION: Magistrate Judge,Frensley,recommends that the Court grant Plaintiffs Motion,44,52,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,104,04/27/2017,with prejudice. Signed by Magistrate Judge Jeffery S. Frensley on 4/27/17.,131,205,with prejudice. Signed by Magistrate Judge,Jeffery S. Frensley,on 4/27/17.,174,193,line_entry,SPACY JNLP2
tnmd;;3:16-cv-00222,tnmd,2016,3:16-cv-00222,106,06/23/2017,with prejudice. Signed by District Judge Aleta A. Trauger on 6/23/2017.,304,375,with prejudice. Signed by District Judge,Aleta A. Trauger,on 6/23/2017.,345,361,line_entry,SPACY JNLP2
