ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
txed;;4:16-cv-00714,txed,2016,4:16-cv-00714,0,,Ctrm 208 (Sherman) before Judge Amos L. Mazzant III.). Signed by Judge Amos L,134,211,Ctrm 208 (Sherman) before Judge,Amos L. Mazzant III.,). Signed by Judge Amos L,166,186,line_entry,SPACY JNLP2
txed;;4:16-cv-00714,txed,2016,4:16-cv-00714,0,,"III.). Signed by Judge Amos L. Mazzant, III on 11/18/16.",182,238,III.). Signed by Judge,"Amos L. Mazzant, III",on 11/18/16.,205,225,line_entry,SPACY JNLP2
txed;;4:16-cv-00714,txed,2016,4:16-cv-00714,3,,"leadcounsel for Walmart. Signed by Judge Amos L. Mazzant, III on 12/16/16.",125,199,leadcounsel for Walmart. Signed by Judge,"Amos L. Mazzant, III",on 12/16/16.,166,186,line_entry,SPACY JNLP2
txed;;1:16-cv-00189,txed,2016,1:16-cv-00189,0,01/20/2017,b).  Signed by Judge Marcia A. Crone on 1/19/17.,141,189,b).  Signed by Judge,Marcia A. Crone,on 1/19/17.,162,177,line_entry,SPACY JNLP2
txed;;1:16-cv-00063,txed,2016,1:16-cv-00063,1,03/07/2016,CASE REFERRED to Magistrate Judge Zack Hawthorn pursuant to a Standing Order (tkd,0,81,CASE REFERRED to Magistrate Judge,Zack Hawthorn,pursuant to a Standing Order (tkd,34,47,line_entry,SPACY JNLP2
txed;;1:16-cv-00063,txed,2016,1:16-cv-00063,3,03/24/2016,of Texas. Signed by Magistrate Judge Zack Hawthorn on 3/24/16.,103,165,of Texas. Signed by Magistrate Judge,Zack Hawthorn,on 3/24/16.,140,153,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,1,07/12/2016,"Case Assigned to Judge Amos L. Mazzant, III. (cm, )",0,51,Case Assigned to Judge,"Amos L. Mazzant, III.","(cm, )",23,44,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,7,08/18/2016,"Wade. Case reassigned to Magistrate Judge Christine A. Nowak. (cm, ) (Entered",73,150,Wade. Case reassigned to Magistrate Judge,Christine A. Nowak,". (cm, ) (Entered",115,133,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,8,08/18/2016,ORDER assigning case to Judge Nowak by consent of the parties for all,0,69,ORDER assigning case to Judge,Nowak,by consent of the parties for all,30,35,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,8,08/18/2016,"entry of judgment. Signed by Judge Amos L. Mazzant, III on 8/18/16.",94,161,entry of judgment. Signed by Judge,"Amos L. Mazzant, III",on 8/18/16.,129,149,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,9,08/24/2016,Sherman - Annex) before Magistrate Judge Christine A. Nowak.). Signed by Magistrate Judge,144,233,Sherman - Annex) before Magistrate Judge,Christine A. Nowak,.). Signed by Magistrate Judge,185,203,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,9,08/24/2016,.). Signed by Magistrate Judge Christine A. Nowak on 8/24/16.,203,264,.). Signed by Magistrate Judge,Christine A. Nowak,on 8/24/16.,234,252,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,13,09/22/2016,Sherman - Annex) before Magistrate Judge Christine A. Nowak.) The Court will conduct a,133,219,Sherman - Annex) before Magistrate Judge,Christine A. Nowak,.) The Court will conduct a,174,192,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,13,09/22/2016,interested parties. Signed by Magistrate Judge Christine A. Nowak on 9/22/16.,419,496,interested parties. Signed by Magistrate Judge,Christine A. Nowak,on 9/22/16.,466,484,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,16,10/05/2016,Entry for proceedings held before Magistrate Judge Christine A. Nowak: Prove-up hearing held on,7,102,Entry for proceedings held before Magistrate Judge,Christine A. Nowak,: Prove-up hearing held on,58,76,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,17,10/13/2016,hereby CANCELED. Signed by Magistrate Judge Christine A. Nowak on 10/13/16.,93,168,hereby CANCELED. Signed by Magistrate Judge,Christine A. Nowak,on 10/13/16.,137,155,line_entry,SPACY JNLP2
txed;;4:16-cv-00516,txed,2016,4:16-cv-00516,18,10/28/2016,the parties. Signed by Magistrate Judge Christine A. Nowak on 10/28/2016.,168,241,the parties. Signed by Magistrate Judge,Christine A. Nowak,on 10/28/2016.,208,226,line_entry,SPACY JNLP2
txed;;6:16-cv-00174,txed,2016,6:16-cv-00174,0,01/04/2018,denied.  Signed by District Judge Ron Clark on 1/4/2018.,248,304,denied.  Signed by District Judge,Ron Clark,on 1/4/2018.,282,291,line_entry,SPACY JNLP2
