ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,0,11/17/2016,"to U.S. District Judge Gray H Miller, Civil Action 4:16cv3401.",167,229,to U.S. District Judge,Gray H Miller,", Civil Action 4:16cv3401.",190,203,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,5,12/07/2016,"to U.S. District Judge Gray H Miller, Civil Action 4:16cv3401.",175,237,to U.S. District Judge,Gray H Miller,", Civil Action 4:16cv3401.",198,211,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,10,01/11/2017,"S. District Court, assigned Judge Gray H Miller, Civil Action 4:16cv3401.",109,182,"S. District Court, assigned Judge",Gray H Miller,", Civil Action 4:16cv3401.",143,156,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,14,01/23/2017,"/2017.(Signed by Judge Gray H Miller) Parties notified.(rkonieczny,",107,174,/2017.(Signed by Judge,Gray H Miller,") Parties notified.(rkonieczny,",130,143,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,16,04/07/2017,Response Letter to Judge Miller's Case Manager regarding Status by Diamond Offshore,0,83,Response Letter to Judge,Miller's,Case Manager regarding Status by Diamond Offshore,25,33,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,19,06/01/2017,"Fifth Circuit. (Signed by Judge Gray H Miller) Parties notified.(gclair,",103,175,Fifth Circuit. (Signed by Judge,Gray H Miller,") Parties notified.(gclair,",135,148,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,23,07/12/2017,"/2017.(Signed by Judge Gray H Miller) Parties notified.(rkonieczny,",85,152,/2017.(Signed by Judge,Gray H Miller,") Parties notified.(rkonieczny,",108,121,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,11/01/2 before Judge Isgur; Motion Hearing held on 12/,161,215,11/01/2 before Judge,Isgur,; Motion Hearing held on 12/,182,187,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,12/20/12 before Judge Isgur; Motion Hearing on 01/17,212,264,12/20/12 before Judge,Isgur,; Motion Hearing on 01/17,234,239,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,01/17/13 before Judge Isgur; Status Conference on 03/21,259,314,01/17/13 before Judge,Isgur,; Status Conference on 03/21,281,286,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,03/21/13 before Judge Isgur; Motion Hearing on 03/21,309,361,03/21/13 before Judge,Isgur,; Motion Hearing on 03/21,331,336,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,03/21/13 before Judge Isgur; Briefing Hearing on 04/22,356,410,03/21/13 before Judge,Isgur,; Briefing Hearing on 04/22,378,383,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,04/22/13 before Judge Isgur; Motion Hearing on 05/30,405,457,04/22/13 before Judge,Isgur,; Motion Hearing on 05/30,427,432,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,05/30/13 before Judge Isgur; Motion Hearing on 06/19,452,504,05/30/13 before Judge,Isgur,; Motion Hearing on 06/19,474,479,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,06/19/13 before Judge Isgur; Status Conference on 11/13,499,554,06/19/13 before Judge,Isgur,; Status Conference on 11/13,521,526,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,11/13/14 before Judge Isgur; Motion Hearing on 01/08,549,601,11/13/14 before Judge,Isgur,; Motion Hearing on 01/08,571,576,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,01/08/15 before Judge Isgur; Status Conference on 02/25,596,651,01/08/15 before Judge,Isgur,; Status Conference on 02/25,618,623,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,02/25/15 before Judge Isgur; Motion Hearing on 05/21,646,698,02/25/15 before Judge,Isgur,; Motion Hearing on 05/21,668,673,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,05/21/15 before Judge Isgur; Adv. 12-3443 Status,693,741,05/21/15 before Judge,Isgur,; Adv. 12-3443 Status,715,720,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,02/25/15 before Judge Isgur; Motion Hearing on 05/21,756,808,02/25/15 before Judge,Isgur,; Motion Hearing on 05/21,778,783,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,05/21/15 before Judge Isgur; Motion Hearing on 03/24,803,855,05/21/15 before Judge,Isgur,; Motion Hearing on 03/24,825,830,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,03/24/16 before Judge Isgur; Bkcy Case 12-36187 Motion,850,904,03/24/16 before Judge,Isgur,; Bkcy Case 12-36187 Motion,872,877,line_entry,SPACY JNLP2
txsd;;4:16-cv-03401,txsd,2016,4:16-cv-03401,25,07/26/2017,01/17/13 before Judge Isgur.. (No transcript is needed),916,971,01/17/13 before Judge,Isgur,.. (No transcript is needed),938,943,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,4,12/05/2016,).(Signed by Magistrate Judge Peter E Ormsby.) Parties notified.(shenry,126,197,).(Signed by Magistrate Judge,Peter E Ormsby,.) Parties notified.(shenry,156,170,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,5,12/05/2016,"a.m. ( Signed by Judge Magistrate Judge Peter E Ormsby), filed. (shenry,",111,183,a.m. ( Signed by Judge Magistrate Judge,Peter E Ormsby,"), filed. (shenry,",151,165,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,6,12/08/2016,Entry for proceedings held before Magistrate Judge Peter E Ormsby. INITIAL APPEARANCE re Violation of Supervised,7,119,Entry for proceedings held before Magistrate Judge,Peter E Ormsby,. INITIAL APPEARANCE re Violation of Supervised,58,72,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,6,12/08/2016,9:00 AM before Magistrate Judge Peter E Ormsby. Final Hearing - Superv Rls Violation,538,622,9:00 AM before Magistrate Judge,Peter E Ormsby,. Final Hearing - Superv Rls Violation,570,584,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,6,12/08/2016,"at 1:30 PM before Judge Randy Crane.. (drodriguez, 7) (",642,697,at 1:30 PM before Judge,Randy Crane,".. (drodriguez, 7) (",666,677,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,7,12/08/2016,". Romero ( Signed by Magistrate Judge Peter E Ormsby) Parties notified. (drodriguez,",51,135,. Romero ( Signed by Magistrate Judge,Peter E Ormsby,") Parties notified. (drodriguez,",89,103,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,8,12/08/2016,"Marshal. (Signed by Magistrate Judge Peter E Ormsby) Parties notified. (drodriguez,",94,177,Marshal. (Signed by Magistrate Judge,Peter E Ormsby,") Parties notified. (drodriguez,",131,145,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,12,12/12/2016,).(Signed by Magistrate Judge Peter E Ormsby.) Parties notified.(shenry,114,185,).(Signed by Magistrate Judge,Peter E Ormsby,.) Parties notified.(shenry,144,158,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,14,12/16/2016,at 08:30 AM before Judge Randy Crane) ( Signed by Judge Randy Crane,198,265,at 08:30 AM before Judge,Randy Crane,) ( Signed by Judge Randy Crane,223,234,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,14,12/16/2016,"Randy Crane) ( Signed by Judge Randy Crane) Parties notified. (agarcia,",223,294,Randy Crane) ( Signed by Judge,Randy Crane,") Parties notified. (agarcia,",254,265,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,18,01/13/2017,Minute Entry for proceedings held before Judge Randy Crane: Supervised Release Hearing as to Jose,0,97,Minute Entry for proceedings held before Judge,Randy Crane,: Supervised Release Hearing as to Jose,47,58,line_entry,SPACY JNLP2
txsd;;7:16-cr-00699,txsd,2016,7:16-cr-00699,19,02/08/2017,"JUDGMENT FOR REVOCATION ( Signed by Judge Randy Crane) Parties notified. (agarcia,",0,82,JUDGMENT FOR REVOCATION ( Signed by Judge,Randy Crane,") Parties notified. (agarcia,",42,53,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,7,07/05/2016,"AM in Courtroom 2C before Magistrate Judge J Scott Hacker. (cdom, 5) [",689,759,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,". (cdom, 5) [",732,746,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,10,07/05/2016,"AM in Courtroom 2C before Magistrate Judge J Scott Hacker, (cdom, 5) [",119,189,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,", (cdom, 5) [",162,176,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,11,07/05/2016,AM in Courtroom 2C before Magistrate Judge J Scott Hacker. ( Signed by Magistrate Judge Diana,120,213,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,. ( Signed by Magistrate Judge Diana,163,177,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,14,07/05/2016,"AM in Courtroom 2C before Magistrate Judge J Scott Hacker, filed.(dmorales, 5",121,198,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,", filed.(dmorales, 5",164,178,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,15,07/05/2016,"AM in Courtroom 2C before Magistrate Judge J Scott Hacker, filed.(dmorales, 5",128,205,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,", filed.(dmorales, 5",171,185,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,16,07/08/2016,"AM in Courtroom 2C before Magistrate Judge J Scott Hacker, filed. (dflores, 5",210,287,AM in Courtroom 2C before Magistrate Judge,J Scott Hacker,", filed. (dflores, 5",253,267,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,17,07/12/2016,Entry for proceedings held before Magistrate Judge J Scott Hacker: PRELIMINARY EXAMINATION & DETENTION HEARING as,7,120,Entry for proceedings held before Magistrate Judge,J Scott Hacker,: PRELIMINARY EXAMINATION & DETENTION HEARING as,58,72,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,20,07/12/2016,Entry for proceedings held before Magistrate Judge J Scott Hacker: INITIAL APPEARANCE OF MATERIAL WITNESS(,7,113,Entry for proceedings held before Magistrate Judge,J Scott Hacker,: INITIAL APPEARANCE OF MATERIAL WITNESS(,58,72,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,22,07/12/2016,"appointed. ( Signed by Magistrate Judge J Scott Hacker) Parties notified. (mxperez,",86,169,appointed. ( Signed by Magistrate Judge,J Scott Hacker,") Parties notified. (mxperez,",126,140,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,23,07/12/2016,Entry for proceedings held before Magistrate Judge J Scott Hacker: INITIAL APPEARANCE OF MATERIAL WITNESS(,7,113,Entry for proceedings held before Magistrate Judge,J Scott Hacker,: INITIAL APPEARANCE OF MATERIAL WITNESS(,58,72,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,25,07/12/2016,"appointed. ( Signed by Magistrate Judge J Scott Hacker) Parties notified. (mxperez,",93,176,appointed. ( Signed by Magistrate Judge,J Scott Hacker,") Parties notified. (mxperez,",133,147,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,29,07/20/2016,"AM in Courtroom 3C before Magistrate Judge Guillermo R Garcia, filed. (gsalinasadi, 5",87,172,AM in Courtroom 3C before Magistrate Judge,Guillermo R Garcia,", filed. (gsalinasadi, 5",130,148,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,31,07/22/2016,"bond. ( Signed by Magistrate Judge J Scott Hacker) Parties notified. (mxperez,",84,162,bond. ( Signed by Magistrate Judge,J Scott Hacker,") Parties notified. (mxperez,",119,133,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,32,07/26/2016,).(Signed by Magistrate Judge Guillermo R Garcia.) Parties notified.(mxperez,84,160,).(Signed by Magistrate Judge,Guillermo R Garcia,.) Parties notified.(mxperez,114,132,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,33,07/26/2016,PM in Courtroom 3C before Magistrate Judge Guillermo R Garcia ; Jury Selection set for 9/,151,240,PM in Courtroom 3C before Magistrate Judge,Guillermo R Garcia,; Jury Selection set for 9/,194,212,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,33,07/26/2016,"00 AM in Courtroom 3B before Judge Diana Saldana Parties notified. (mxperez, 5",254,332,00 AM in Courtroom 3B before Judge,Diana Saldana,"Parties notified. (mxperez, 5",289,302,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,34,09/01/2016,Entry for proceedings held before Magistrate Judge Guillermo R Garcia on 9/1/2016 as,22,106,Entry for proceedings held before Magistrate Judge,Guillermo R Garcia,on 9/1/2016 as,73,91,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,36,09/01/2016,"6/2016 ( Signed by Judge Diana Saldana) Parties notified. (avelizadi,",125,194,6/2016 ( Signed by Judge,Diana Saldana,") Parties notified. (avelizadi,",150,163,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,38,09/02/2016,"/2016 ( Signed by Magistrate Judge Guillermo R Garcia) Parties notified. (bmendoza,",85,168,/2016 ( Signed by Magistrate Judge,Guillermo R Garcia,") Parties notified. (bmendoza,",120,138,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,39,09/19/2016,"Report and Recommendations ( Signed by Judge Diana Saldana) Parties notified. (yyunesadi,",91,180,Report and Recommendations ( Signed by Judge,Diana Saldana,") Parties notified. (yyunesadi,",136,149,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,44,01/09/2017,"00 AM in Courtroom 3B before Judge Diana Saldana, filed. (sgonzalezadi, 5",83,156,00 AM in Courtroom 3B before Judge,Diana Saldana,", filed. (sgonzalezadi, 5",118,131,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,45,01/13/2017,Minute Entry for proceedings held before Judge Diana Saldana: Sentencing held on 1/13,0,85,Minute Entry for proceedings held before Judge,Diana Saldana,: Sentencing held on 1/13,47,60,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,47,01/18/2017,"Michael Torelle Rogers ( Signed by Judge Diana Saldana) Parties notified. (mxperez,",15,98,Michael Torelle Rogers ( Signed by Judge,Diana Saldana,") Parties notified. (mxperez,",56,69,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,49,04/24/2018,"Recommended Action. ( Signed by Judge Diana Saldana) Parties notified. (dmorales,",139,220,Recommended Action. ( Signed by Judge,Diana Saldana,") Parties notified. (dmorales,",177,190,line_entry,SPACY JNLP2
txsd;;5:16-cr-00900,txsd,2016,5:16-cr-00900,50,09/13/2018,"recommended action. ( Signed by Judge Diana Saldana) Parties notified. (dgonzalez,",131,213,recommended action. ( Signed by Judge,Diana Saldana,") Parties notified. (dgonzalez,",169,182,line_entry,SPACY JNLP2
