ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,0,05/02/2016,COMPLAINT Signed by Judge Henry J. Bemporad as to Edgar Pletez-Diaz (,0,69,COMPLAINT Signed by Judge,Henry J. Bemporad,as to Edgar Pletez-Diaz (,26,43,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,3,05/02/2016,Minute Entry for proceedings held before Judge Henry J. Bemporad:Initial Appearance as to Edgar Pletez,0,102,Minute Entry for proceedings held before Judge,Henry J. Bemporad,:Initial Appearance as to Edgar Pletez,47,64,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,3,05/02/2016,2016 10:30 AM before Judge Henry J. Bemporad) SPANISH Language Interpreter required as to,241,330,2016 10:30 AM before Judge,Henry J. Bemporad,) SPANISH Language Interpreter required as to,268,285,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,4,05/02/2016,Pletez-Diaz. Signed by Judge Henry J. Bemporad. (mam) [5:,57,114,Pletez-Diaz. Signed by Judge,Henry J. Bemporad,. (mam) [5:,86,103,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,5,05/02/2016,2016 10:30 AM before Judge Henry J. Bemporad. Signed by Judge Henry J.,119,189,2016 10:30 AM before Judge,Henry J. Bemporad,. Signed by Judge Henry J.,146,163,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,5,05/02/2016,J. Bemporad. Signed by Judge Henry J. Bemporad. (mam) [5:,152,209,J. Bemporad. Signed by Judge,Henry J. Bemporad,. (mam) [5:,181,198,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,8,05/13/2016,(1). Signed by Judge Henry J. Bemporad. (mam) [5:,114,163,(1). Signed by Judge,Henry J. Bemporad,. (mam) [5:,135,152,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,11,06/01/2016,"2016 1:30 PM before Judge John W. Primomo,. Signed by Judge John W",75,141,2016 1:30 PM before Judge,John W. Primomo,",. Signed by Judge John W",101,116,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,11,06/01/2016,". Primomo,. Signed by Judge John W. Primomo. (mgr) Modified on 6",107,171,". Primomo,. Signed by Judge",John W. Primomo,. (mgr) Modified on 6,135,150,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,13,06/01/2016,"2016 01:30 PM before Judge John W. Primomo,). Signed by Judge John",27,93,2016 01:30 PM before Judge,John W. Primomo,",). Signed by Judge John",54,69,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,13,06/01/2016,"Primomo,). Signed by Judge John W. Primomo. (mgr) (Entered:",62,121,"Primomo,). Signed by Judge",John W. Primomo,. (mgr) (Entered:,89,104,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,14,06/09/2016,Pletez-Diaz. Signed by Judge Xavier Rodriguez. (rg) (Entered:,64,125,Pletez-Diaz. Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,93,109,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,15,06/09/2016,Pletez-Diaz. Signed by Judge Xavier Rodriguez. (rg) (Entered:,67,128,Pletez-Diaz. Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,96,112,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,16,06/09/2016,"2016 1:30 PM before Judge Xavier Rodriguez, Jury Selection and Trial set for",117,193,2016 1:30 PM before Judge,Xavier Rodriguez,", Jury Selection and Trial set for",143,159,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,16,06/09/2016,2016 9:30 AM before Judge Xavier Rodriguez. Signed by Judge Xavier Rodriguez.,198,275,2016 9:30 AM before Judge,Xavier Rodriguez,. Signed by Judge Xavier Rodriguez.,224,240,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,16,06/09/2016,Judge Xavier Rodriguez. Signed by Judge Xavier Rodriguez. (rg) (Entered:,218,290,Judge Xavier Rodriguez. Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,258,274,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,18,06/09/2016,Pletez-Diaz. Signed by Judge John W. Primomo. (rg) (Entered:,102,162,Pletez-Diaz. Signed by Judge,John W. Primomo,. (rg) (Entered:,131,146,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,19,07/21/2016,2016 12:45 PM before Judge Pamela A. Mathy). Signed by Judge Pamela A,72,141,2016 12:45 PM before Judge,Pamela A. Mathy,). Signed by Judge Pamela A,99,114,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,19,07/21/2016,. Mathy). Signed by Judge Pamela A. Mathy. (rg) (Entered:,107,164,. Mathy). Signed by Judge,Pamela A. Mathy,. (rg) (Entered:,133,148,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,20,07/26/2016,Minute Entry for proceedings held before Judge Pamela A. Mathy:Rearraignment held on 7/26,0,89,Minute Entry for proceedings held before Judge,Pamela A. Mathy,:Rearraignment held on 7/26,47,62,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,21,07/26/2016,Pletez-Diaz. Signed by Judge Pamela A. Mathy. (rg) (Entered:,112,172,Pletez-Diaz. Signed by Judge,Pamela A. Mathy,. (rg) (Entered:,141,156,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,23,07/27/2016,Guilty plea accepted. Signed by Judge Xavier Rodriguez. (rg) (Entered:,72,142,Guilty plea accepted. Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,110,126,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,24,07/27/2016,2016 1:30 PM before Judge Xavier Rodriguez). Signed by Judge Xavier Rodriguez,60,137,2016 1:30 PM before Judge,Xavier Rodriguez,). Signed by Judge Xavier Rodriguez,86,102,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,24,07/27/2016,Xavier Rodriguez). Signed by Judge Xavier Rodriguez. (rg) (Entered:,86,153,Xavier Rodriguez). Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,121,137,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,27,08/17/2016,Minute Entry for proceedings held before Judge Xavier Rodriguez:Sentencing held on 8/17,0,87,Minute Entry for proceedings held before Judge,Xavier Rodriguez,:Sentencing held on 8/17,47,63,line_entry,SPACY JNLP2
txwd;;5:16-cr-00404,txwd,2016,5:16-cr-00404,28,08/17/2016,Pletez-Diaz. Signed by Judge Xavier Rodriguez. (rg) (Entered:,36,97,Pletez-Diaz. Signed by Judge,Xavier Rodriguez,. (rg) (Entered:,65,81,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,3,03/04/2016,Joshua Troy Thomas. Signed by Judge Robert Pitman. (mc5) Modified on 3,30,100,Joshua Troy Thomas. Signed by Judge,Robert Pitman,. (mc5) Modified on 3,66,79,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,9,05/09/2016,ORDER REFERRING CASE to Magistrate Judge Jeffrey C. Manske. Signed by Judge Robert Pitman.,0,90,ORDER REFERRING CASE to Magistrate Judge,Jeffrey C. Manske,. Signed by Judge Robert Pitman.,41,58,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,9,05/09/2016,C. Manske. Signed by Judge Robert Pitman. (jgb) (Entered:,49,106,C. Manske. Signed by Judge,Robert Pitman,. (jgb) (Entered:,76,89,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,10,05/16/2016,CASE NO LONGER REFERRED to Magistrate Judge Jeffrey C. Manske. It is therefore ORDERED that the,54,149,CASE NO LONGER REFERRED to Magistrate Judge,Jeffrey C. Manske,. It is therefore ORDERED that the,98,115,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,10,05/16/2016,Court is WITHDRAWN. Signed by Judge Robert Pitman. (jgb) (Entered:,178,244,Court is WITHDRAWN. Signed by Judge,Robert Pitman,. (jgb) (Entered:,214,227,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,12,05/18/2016,ORDER OF RECUSAL. Signed by Judge Robert Pitman. (mc5) (Entered:,0,64,ORDER OF RECUSAL. Signed by Judge,Robert Pitman,. (mc5) (Entered:,34,47,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,13,05/19/2016,Case Reassigned to Judge David C Guaderrama. Judge Robert Pitman no longer assigned,0,83,Case Reassigned to Judge,David C Guaderrama,. Judge Robert Pitman no longer assigned,25,43,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,13,05/19/2016,to Judge David C Guaderrama. Judge Robert Pitman no longer assigned to the case.,16,96,to Judge David C Guaderrama. Judge,Robert Pitman,no longer assigned to the case.,51,64,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,14,05/24/2016,ORDER REFERRING CASE to Magistrate Judge Jeffrey C. Manske. Signed by Judge David C Guaderrama,0,94,ORDER REFERRING CASE to Magistrate Judge,Jeffrey C. Manske,. Signed by Judge David C Guaderrama,41,58,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,14,05/24/2016,C. Manske. Signed by Judge David C Guaderrama. (mc5) (Entered:,49,111,C. Manske. Signed by Judge,David C Guaderrama,. (mc5) (Entered:,76,94,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,15,06/30/2016,"14, 2016. Signed by Judge Jeffrey C. Manske. (jch) (Entered:",84,144,"14, 2016. Signed by Judge",Jeffrey C. Manske,. (jch) (Entered:,110,127,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,17,07/18/2016,Troy Thomas. Motions referred to Judge Jeffrey C. Manske. (mc5) (Entered:,84,157,Troy Thomas. Motions referred to Judge,Jeffrey C. Manske,. (mc5) (Entered:,123,140,line_entry,SPACY JNLP2
txwd;;6:16-cv-00042,txwd,2016,6:16-cv-00042,18,07/27/2016,of Time to File entered by Judge Jeffrey C. Manske. The deadline for Plaintiff to file,44,130,of Time to File entered by Judge,Jeffrey C. Manske,. The deadline for Plaintiff to file,77,94,line_entry,SPACY JNLP2
