ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,2,11/08/2016,forma pauperis. Signed by District Judge James C. Cacheris on 11/8/2016.,55,127,forma pauperis. Signed by District Judge,James C. Cacheris,on 11/8/2016.,96,113,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,5,11/18/2016,-Noticing. Signed by District Judge James C. Cacheris on 11/22/16.,36,102,-Noticing. Signed by District Judge,James C. Cacheris,on 11/22/16.,72,89,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,13,03/09/2017,", 2017. Signed by District Judge James C. Cacheris on 3/9/17.",212,273,", 2017. Signed by District Judge",James C. Cacheris,on 3/9/17.,245,262,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,18,04/06/2017,/2017. Signed by District Judge James C. Cacheris on 4/6/2017.,427,489,/2017. Signed by District Judge,James C. Cacheris,on 4/6/2017.,459,476,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,19,04/07/2017,"in Alexandria Courtroom 1000 before District Judge James C. Cacheris. (rban, )",86,164,in Alexandria Courtroom 1000 before District Judge,James C. Cacheris,". (rban, )",137,154,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,25,05/22/2017,"in Alexandria Courtroom 1000 before District Judge James C. Cacheris. (clar, )",98,176,in Alexandria Courtroom 1000 before District Judge,James C. Cacheris,". (clar, )",149,166,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,26,06/22/2017,Entry for proceedings held before District Judge James C. Cacheris: Summary Judgment Hearing / Motion Hearing,7,116,Entry for proceedings held before District Judge,James C. Cacheris,: Summary Judgment Hearing / Motion Hearing,56,73,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,27,06/22/2017,MEMORANDUM OPINION Signed by District Judge James C. Cacheris on 6/22/17.,0,73,MEMORANDUM OPINION Signed by District Judge,James C. Cacheris,on 6/22/17.,44,61,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,28,06/22/2017,IS FINAL. Signed by District Judge James C. Cacheris on 6/22/17.,163,227,IS FINAL. Signed by District Judge,James C. Cacheris,on 6/22/17.,198,215,line_entry,SPACY JNLP2
vaed;;2:16-cv-00487,vaed,2016,2:16-cv-00487,7,09/13/2016,this case.signed by Magistrate Judge Robert J. Krask on 9/13/2016.,344,410,this case.signed by Magistrate Judge,Robert J. Krask,on 9/13/2016.,381,396,line_entry,SPACY JNLP2
vaed;;2:16-cv-00487,vaed,2016,2:16-cv-00487,15,02/13/2017,all parties. Signed by District Judge Arenda L. Wright Allen on 2/13/2017.,250,324,all parties. Signed by District Judge,Arenda L. Wright Allen,on 2/13/2017.,288,310,line_entry,SPACY JNLP2
vaed;;1:16-cv-00678,vaed,2016,1:16-cv-00678,9,09/07/2016,"Division). Signed by District Judge T. S. Ellis, III on 9/7/16.",234,297,Division). Signed by District Judge,"T. S. Ellis, III",on 9/7/16.,270,286,line_entry,SPACY JNLP2
vaed;;1:16-cv-00589,vaed,2016,1:16-cv-00589,4,11/28/2016,Julie Sapp. Signed by District Judge Claude M. Hilton on 11/28/2016.,60,128,Julie Sapp. Signed by District Judge,Claude M. Hilton,on 11/28/2016.,97,113,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,7,10/13/2016,", 2016. Signed by District Judge Henry E. Hudson on 10/13/2016.",149,212,", 2016. Signed by District Judge",Henry E. Hudson,on 10/13/2016.,182,197,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,9,11/04/2016,in Richmond Courtroom 6300 before District Judge Henry E. Hudson (rpiz) (Entered: 11,116,200,in Richmond Courtroom 6300 before District Judge,Henry E. Hudson,(rpiz) (Entered: 11,165,180,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,12,01/12/2017,for details. Signed by District Judge Henry E. Hudson on 1/12/2017.,242,309,for details. Signed by District Judge,Henry E. Hudson,on 1/12/2017.,280,295,line_entry,SPACY JNLP2
