ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
vawd;;6:16-cv-00004,vawd,2016,6:16-cv-00004,2,02/16/2016,"costs of service. Signed by Judge Norman K. Moon on February 16, 2016. (",283,355,costs of service. Signed by Judge,Norman K. Moon,"on February 16, 2016. (",317,331,line_entry,SPACY JNLP2
vawd;;6:16-cv-00004,vawd,2016,6:16-cv-00004,8,03/22/2016,"ORDER, CASE REFERRED to Magistrate Judge Robert S. Ballou. Signed by Judge Norman K.",9,93,"ORDER, CASE REFERRED to Magistrate Judge",Robert S. Ballou,. Signed by Judge Norman K.,50,66,line_entry,SPACY JNLP2
vawd;;6:16-cv-00004,vawd,2016,6:16-cv-00004,8,03/22/2016,"S. Ballou. Signed by Judge Norman K. Moon on March 22, 2016. (",57,119,S. Ballou. Signed by Judge,Norman K. Moon,"on March 22, 2016. (",84,98,line_entry,SPACY JNLP2
vawd;;6:16-cv-00004,vawd,2016,6:16-cv-00004,10,11/01/2016,"MEMORANDUM OPINION.  Signed by Judge Norman K. Moon on November 1, 2016. (",0,74,MEMORANDUM OPINION.  Signed by Judge,Norman K. Moon,"on November 1, 2016. (",37,51,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,2,10/04/2016,in forma pauperis. Signed by Judge Jackson L. Kiser on 10/4/2016.,45,110,in forma pauperis. Signed by Judge,Jackson L. Kiser,on 10/4/2016.,80,96,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,10,03/02/2017,Order Referring Case to Magistrate Judge Joel C. Hoppe. Signed by Judge Jackson L.,0,82,Order Referring Case to Magistrate Judge,Joel C. Hoppe,. Signed by Judge Jackson L.,41,54,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,10,03/02/2017,C. Hoppe. Signed by Judge Jackson L. Kiser on 3/2/2017.,46,101,C. Hoppe. Signed by Judge,Jackson L. Kiser,on 3/2/2017.,72,88,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,11,03/16/2017,Faye Throckmorton.Motions referred to Judge Joel C. Hoppe. (Attachments: # 1 Text,76,157,Faye Throckmorton.Motions referred to Judge,Joel C. Hoppe,. (Attachments: # 1 Text,120,133,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,12,03/17/2017,", 2017.. Entered by Magistrate Judge Joel C. Hoppe on 03/17/17.",118,181,", 2017.. Entered by Magistrate Judge",Joel C. Hoppe,on 03/17/17.,155,168,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,13,04/14/2017,"Faye Throckmorton.Motions referred to Judge Joel C. Hoppe. (Cunningham, Joel)",58,135,Faye Throckmorton.Motions referred to Judge,Joel C. Hoppe,". (Cunningham, Joel)",102,115,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,15,05/15/2017,"Social Security.Motions referred to Judge Joel C. Hoppe. (McTigue, James)",47,120,Social Security.Motions referred to Judge,Joel C. Hoppe,". (McTigue, James)",89,102,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,17,01/02/2018,/2018. Signed by Magistrate Judge Joel C. Hoppe on 1/2/2018.,266,326,/2018. Signed by Magistrate Judge,Joel C. Hoppe,on 1/2/2018.,300,313,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,18,01/25/2018,the court. Signed by Senior Judge Jackson L. Kiser on 1/25/2018.,380,444,the court. Signed by Senior Judge,Jackson L. Kiser,on 1/25/2018.,414,430,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,19,02/23/2018,"Faye Throckmorton.Motions referred to Judge Joel C. Hoppe. (Cunningham, Joel)",41,118,Faye Throckmorton.Motions referred to Judge,Joel C. Hoppe,". (Cunningham, Joel)",85,98,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,22,03/13/2018,the EAJA. Signed by Senior Judge Jackson L. Kiser on 3/13/2018.,168,231,the EAJA. Signed by Senior Judge,Jackson L. Kiser,on 3/13/2018.,201,217,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,23,08/16/2019,motion no longer being referred to Judge Hoppe. (ham).,131,185,motion no longer being referred to Judge,Hoppe,. (ham).,172,177,line_entry,SPACY JNLP2
vawd;;4:16-cv-00047,vawd,2016,4:16-cv-00047,26,09/10/2019,.15. Signed by Senior Judge Jackson L. Kiser on 9/10/2019.,127,185,.15. Signed by Senior Judge,Jackson L. Kiser,on 9/10/2019.,155,171,line_entry,SPACY JNLP2
vawd;;7:16-cv-00454,vawd,2016,7:16-cv-00454,0,10/03/2016,OPINION.  Signed by District Judge Elizabeth K. Dillon on 10/3/2016.,11,79,OPINION.  Signed by District Judge,Elizabeth K. Dillon,on 10/3/2016.,46,65,line_entry,SPACY JNLP2
vawd;;7:16-cv-00454,vawd,2016,7:16-cv-00454,1,10/03/2016,denied.  Signed by District Judge Elizabeth K. Dillon on 10/3/2016.,76,143,denied.  Signed by District Judge,Elizabeth K. Dillon,on 10/3/2016.,110,129,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,0,03/22/2016,Lynn Biller.Motions referred to Judge Joel C. Hoppe. (jat),58,116,Lynn Biller.Motions referred to Judge,Joel C. Hoppe,. (jat),96,109,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,2,03/22/2016,forma pauperis. Signed by Magistrate Judge Joel C. Hoppe on 3/22/2016.,48,118,forma pauperis. Signed by Magistrate Judge,Joel C. Hoppe,on 3/22/2016.,91,104,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,10,09/12/2016,"Lynn Biller.Motions referred to Judge Joel C. Hoppe. (Ritchie, Michael)",40,111,Lynn Biller.Motions referred to Judge,Joel C. Hoppe,". (Ritchie, Michael)",78,91,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,12,10/14/2016,". Colvin.Motions referred to Judge Joel C. Hoppe. (McTigue, James)",40,106,. Colvin.Motions referred to Judge,Joel C. Hoppe,". (McTigue, James)",75,88,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,14,06/28/2017,10:00 AM before Magistrate Judge Joel C. Hoppe. Chambers to set up call and,179,254,10:00 AM before Magistrate Judge,Joel C. Hoppe,. Chambers to set up call and,212,225,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,15,06/28/2017,at 10:00 AM before Judge Hoppe. Telephonic Motion Hearing RESET for 7,159,228,at 10:00 AM before Judge,Hoppe,. Telephonic Motion Hearing RESET for 7,184,189,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,15,06/28/2017,02:30 PM before Magistrate Judge Joel C. Hoppe. Chambers to set up call and,237,312,02:30 PM before Magistrate Judge,Joel C. Hoppe,. Chambers to set up call and,270,283,line_entry,SPACY JNLP2
vawd;;5:16-cv-00014,vawd,2016,5:16-cv-00014,16,07/25/2017,Entry for proceedings held before Magistrate Judge Joel C. Hoppe: Motion Hearing held telephonically on 7,7,112,Entry for proceedings held before Magistrate Judge,Joel C. Hoppe,: Motion Hearing held telephonically on 7,58,71,line_entry,SPACY JNLP2
