ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
vtd;;1:16-cv-00302,vtd,2016,1:16-cv-00302,1,07/18/2017,. Hendler. Signed by District Judge J. Garvan Murtha on 7/18/2017.,88,154,. Hendler. Signed by District Judge,J. Garvan Murtha,on 7/18/2017.,124,140,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,1,02/01/2016,in Forma Pauperis. Signed by Judge John M. Conroy on 2/1/2016.,50,112,in Forma Pauperis. Signed by Judge,John M. Conroy,on 2/1/2016.,85,99,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,2,02/01/2016,of Jabbar Chandler. Signed by Judge John M. Conroy on 2/1/2016.,61,124,of Jabbar Chandler. Signed by Judge,John M. Conroy,on 2/1/2016.,97,111,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,9,07/11/2016,28/2016. Signed by Judge John M. Conroy on 7/11/2016.,260,313,28/2016. Signed by Judge,John M. Conroy,on 7/11/2016.,285,299,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,10,08/26/2016,with prejudice. Signed by Chief Judge Christina Reiss on 8/26/2016.,346,413,with prejudice. Signed by Chief Judge,Christina Reiss,on 8/26/2016.,384,399,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,12,10/31/2016,17/2016. Signed by Judge John M. Conroy on 10/31/2016.,135,189,17/2016. Signed by Judge,John M. Conroy,on 10/31/2016.,160,174,line_entry,SPACY JNLP2
vtd;;2:16-cv-00022,vtd,2016,2:16-cv-00022,14,01/30/2017,without prejudice. Signed by Chief Judge Christina Reiss on 1/30/2017.,117,187,without prejudice. Signed by Chief Judge,Christina Reiss,on 1/30/2017.,158,173,line_entry,SPACY JNLP2
vtd;;2:16-cv-00112,vtd,2016,2:16-cv-00112,1,04/21/2016,in forma pauperis. Signed by Judge William K. Sessions III on 4/21/2016.,45,117,in forma pauperis. Signed by Judge,William K. Sessions III,on 4/21/2016.,80,103,line_entry,SPACY JNLP2
vtd;;2:16-cv-00112,vtd,2016,2:16-cv-00112,7,08/29/2016,of the Commissioner. Signed by Judge William K. Sessions III on 8/29/2016.,98,172,of the Commissioner. Signed by Judge,William K. Sessions III,on 8/29/2016.,135,158,line_entry,SPACY JNLP2
vtd;;2:16-cv-00112,vtd,2016,2:16-cv-00112,10,10/03/2016,of the Commissioner. Signed by Judge William K. Sessions III on 10/3/2016.,96,170,of the Commissioner. Signed by Judge,William K. Sessions III,on 10/3/2016.,133,156,line_entry,SPACY JNLP2
vtd;;2:16-cv-00112,vtd,2016,2:16-cv-00112,13,12/12/2016,of the Commissioner. Signed by Judge William K. Sessions III on 12/12/2016.,132,207,of the Commissioner. Signed by Judge,William K. Sessions III,on 12/12/2016.,169,192,line_entry,SPACY JNLP2
