ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wawd;;2:16-cv-00148,wawd,2016,2:16-cv-00148,1,02/02/2016,U.S. District Judge John C Coughenour added. (RE) (Entered,0,58,U.S. District Judge,John C Coughenour,added. (RE) (Entered,20,37,line_entry,SPACY JNLP2
wawd;;2:16-cv-00148,wawd,2016,2:16-cv-00148,3,02/03/2016,by U.S. District Judge John C. Coughenour. (PP) (Entered:,42,99,by U.S. District Judge,John C. Coughenour,. (PP) (Entered:,65,83,line_entry,SPACY JNLP2
wawd;;2:16-cv-00148,wawd,2016,2:16-cv-00148,4,02/03/2016,before U.S. District Judge John C. Coughenour. (PP) (Entered:,1514,1575,before U.S. District Judge,John C. Coughenour,. (PP) (Entered:,1541,1559,line_entry,SPACY JNLP2
wawd;;2:16-cv-00148,wawd,2016,2:16-cv-00148,15,04/26/2016,by U.S. District Judge John C Coughenour granted in favor of Plaintiff Linson Tara,18,100,by U.S. District Judge,John C Coughenour,granted in favor of Plaintiff Linson Tara,41,58,line_entry,SPACY JNLP2
wawd;;2:16-cv-00962,wawd,2016,2:16-cv-00962,2,07/29/2016,Case has been reassigned to Chief Judge Ricardo S Martinez as U.S. District Judge,0,81,Case has been reassigned to Chief Judge,Ricardo S Martinez,as U.S. District Judge,40,58,line_entry,SPACY JNLP2
wawd;;2:16-cv-00962,wawd,2016,2:16-cv-00962,2,07/29/2016,"as U.S. District Judge John C. Coughenour has recused himself and thus, no",59,133,as U.S. District Judge,John C. Coughenour,"has recused himself and thus, no",82,100,line_entry,SPACY JNLP2
wawd;;2:16-cv-01227,wawd,2016,2:16-cv-01227,1,08/05/2016,U.S. District Judge John C. Coughenour added. (DJ) (Entered,0,59,U.S. District Judge,John C. Coughenour,added. (DJ) (Entered,20,38,line_entry,SPACY JNLP2
wawd;;2:16-cv-01227,wawd,2016,2:16-cv-01227,5,08/09/2016,before U.S. District Judge John C. Coughenour. (PP) (Entered:,1532,1593,before U.S. District Judge,John C. Coughenour,. (PP) (Entered:,1559,1577,line_entry,SPACY JNLP2
wawd;;2:16-cv-01227,wawd,2016,2:16-cv-01227,6,08/09/2016,by U.S. District Judge John C. Coughenour. (PP) (Entered:,42,99,by U.S. District Judge,John C. Coughenour,. (PP) (Entered:,65,83,line_entry,SPACY JNLP2
wawd;;2:16-cv-01227,wawd,2016,2:16-cv-01227,32,09/16/2016,by U.S. District Judge John C Coughenour granting Plaintiff's unopposed 25 Motion for,13,98,by U.S. District Judge,John C Coughenour,granting Plaintiff's unopposed 25 Motion for,36,53,line_entry,SPACY JNLP2
