ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wiwd;;3:16-cv-00472,wiwd,2016,3:16-cv-00472,0,12/21/2016,issue.  Signed by District Judge James D. Peterson on 12/21/2016.,138,203,issue.  Signed by District Judge,James D. Peterson,on 12/21/2016.,171,188,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,4,04/25/2016,Case randomly assigned to District Judge James D. Peterson and Magistrate Judge Stephen L. Crocker,0,98,Case randomly assigned to District Judge,James D. Peterson,and Magistrate Judge Stephen L. Crocker,41,58,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,4,04/25/2016,James D. Peterson and Magistrate Judge Stephen L. Crocker. (kwf),41,105,James D. Peterson and Magistrate Judge,Stephen L. Crocker,. (kwf),80,98,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,5,04/25/2016,Standard attachments for District Judge James D. Peterson required to be served on all parties,0,94,Standard attachments for District Judge,James D. Peterson,required to be served on all parties,40,57,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,6,04/25/2016,forma pauperis. Signed by District Judge James D. Peterson on 4/25/2016.,48,120,forma pauperis. Signed by District Judge,James D. Peterson,on 4/25/2016.,89,106,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,7,04/25/2016,:00 a.m. Signed by District Judge James D. Peterson on 4/25/2016.,551,616,:00 a.m. Signed by District Judge,James D. Peterson,on 4/25/2016.,585,602,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,11,04/26/2016,Motion Hearing. Signed by District Judge James D. Peterson on 4/26/16.,84,154,Motion Hearing. Signed by District Judge,James D. Peterson,on 4/26/16.,125,142,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,12,04/27/2016,Proceedings held before District Judge James D. Peterson: Ex-parte motion hearing re,0,84,Proceedings held before District Judge,James D. Peterson,: Ex-parte motion hearing re,39,56,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,13,05/06/2016,Restraining Order. Signed by District Judge James D. Peterson on 5/6/2016.,35,109,Restraining Order. Signed by District Judge,James D. Peterson,on 5/6/2016.,79,96,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,15,05/12/2016,the merits. Signed by District Judge James D. Peterson on 5/12/2016.,136,204,the merits. Signed by District Judge,James D. Peterson,on 5/12/2016.,173,190,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,16,05/12/2016,"Webb. Motions referred to Magistrate Judge Stephen L. Crocker. (McKee, James) (",127,206,Webb. Motions referred to Magistrate Judge,Stephen L. Crocker,". (McKee, James) (",170,188,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,18,05/12/2016,Hac Vice. Signed by Magistrate Judge Peter Oppeneer on 5/12/2016.,74,139,Hac Vice. Signed by Magistrate Judge,Peter Oppeneer,on 5/12/2016.,111,125,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,19,05/12/2016,by Telephone. Signed by District Judge James D. Peterson on 5/12/2016.,56,126,by Telephone. Signed by District Judge,James D. Peterson,on 5/12/2016.,95,112,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,21,05/13/2016,of Tennessee. Signed by District Judge James D. Peterson on 5/13/2016.,265,335,of Tennessee. Signed by District Judge,James D. Peterson,on 5/13/2016.,304,321,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00268,wiwd,2016,3:16-cv-00268,22,05/13/2016,RESTRAINING ORDER. Signed by District Judge James D. Peterson on 5/13/2016.,10,85,RESTRAINING ORDER. Signed by District Judge,James D. Peterson,on 5/13/2016.,54,71,line_entry,SPACY JNLP2
wiwd;;3:16-cr-00098,wiwd,2016,3:16-cr-00098,0,11/30/2016,001). Signed by District Judge William M. Conley on 11/29/2016.,94,157,001). Signed by District Judge,William M. Conley,on 11/29/2016.,125,142,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,3,10/24/2016,re Consent/Refusal to Magistrate Judge Duffin and requesting that the consent/refusal,41,126,re Consent/Refusal to Magistrate Judge,Duffin,and requesting that the consent/refusal,80,86,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,5,10/31/2016,Western District of Wisconsin signed by Judge J P Stadtmueller on 10/31/16.,30,105,Western District of Wisconsin signed by Judge,J P Stadtmueller,on 10/31/16.,76,92,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,7,11/01/2016,non-randomly assigned to District Judge James D. Peterson and Magistrate Judge Stephen L. Crocker,27,124,non-randomly assigned to District Judge,James D. Peterson,and Magistrate Judge Stephen L. Crocker,67,84,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,7,11/01/2016,"James D. Peterson and Magistrate Judge Stephen L. Crocker. (jef),(ps",67,135,James D. Peterson and Magistrate Judge,Stephen L. Crocker,". (jef),(ps",106,124,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,10,12/15/2016,.12. Signed by Magistrate Judge Peter A. Oppeneer on 12/15/2016.,99,163,.12. Signed by Magistrate Judge,Peter A. Oppeneer,on 12/15/2016.,131,148,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,19,05/08/2017,without prejudice. Signed by District Judge James D. Peterson on 5/8/2017.,261,335,without prejudice. Signed by District Judge,James D. Peterson,on 5/8/2017.,305,322,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,24,07/27/2018,on defendants. Signed by District Judge James D. Peterson on 7/27/2018.,410,481,on defendants. Signed by District Judge,James D. Peterson,on 7/27/2018.,450,467,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,39,08/24/2018,02:00 PM before Magistrate Judge Stephen L. Crocker. Counsel for Defendants responsible for setting,86,185,02:00 PM before Magistrate Judge,Stephen L. Crocker,. Counsel for Defendants responsible for setting,119,137,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,49,09/27/2018,Entry for proceedings held before Magistrate Judge Stephen L. Crocker: Telephone Preliminary Pretrial Conference - Pro,7,125,Entry for proceedings held before Magistrate Judge,Stephen L. Crocker,: Telephone Preliminary Pretrial Conference - Pro,58,76,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,50,09/27/2018,Packet in cases assigned to District Judge James D. Peterson attached. Amended Complaint Naming Doe Defendants,49,159,Packet in cases assigned to District Judge,James D. Peterson,attached. Amended Complaint Naming Doe Defendants,92,109,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,50,09/27/2018,00 AM. Signed by Magistrate Judge Stephen L. Crocker on 9/27/2018.,454,520,00 AM. Signed by Magistrate Judge,Stephen L. Crocker,on 9/27/2018.,488,506,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,109,02/21/2019,without prejudice. Signed by District Judge James D. Peterson on 2/21/2019.,1812,1887,without prejudice. Signed by District Judge,James D. Peterson,on 2/21/2019.,1856,1873,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,141,06/14/2019,Judgment Procedure for Cases Assigned to Judge Peterson attached.] Plaintiff's Brief in,128,215,Judgment Procedure for Cases Assigned to Judge,Peterson,attached.] Plaintiff's Brief in,175,183,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,146,06/17/2019,Judgment Procedure for Cases Assigned to Judge Peterson attached.] Plaintiff's Brief in,102,189,Judgment Procedure for Cases Assigned to Judge,Peterson,attached.] Plaintiff's Brief in,149,157,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,174,11/15/2019,is GRANTED. Signed by District Judge James D. Peterson on 11/15/2019.,810,879,is GRANTED. Signed by District Judge,James D. Peterson,on 11/15/2019.,847,864,line_entry,SPACY JNLP2
wiwd;;3:16-cv-00718,wiwd,2016,3:16-cv-00718,176,12/03/2019,", Pierce County. Motions referred to Peter A. Oppeneer, Clerk of Court. (Attachments",51,135,", Pierce County. Motions referred to",Peter A. Oppeneer,", Clerk of Court. (Attachments",88,105,line_entry,SPACY JNLP2
