ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wyd;;2:16-cv-00087,wyd,2016,2:16-cv-00087,1,04/28/2016,MOTION REFERRED TO Judge Kelly H Rankin. MOTION to Subpoena Evidence filed by,0,77,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION to Subpoena Evidence filed by,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00087,wyd,2016,2:16-cv-00087,2,05/06/2016,ORDER by the Honorable Kelly H Rankin denying without prejudice 2 Motion for Order,0,82,ORDER by the Honorable,Kelly H Rankin,denying without prejudice 2 Motion for Order,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00087,wyd,2016,2:16-cv-00087,3,07/12/2016,Writ of Habeas Corpus by the Honorable Scott W Skavdahl. This matter is Dismissed with Prejudice,55,151,Writ of Habeas Corpus by the Honorable,Scott W Skavdahl,. This matter is Dismissed with Prejudice,94,110,line_entry,SPACY JNLP2
wyd;;2:16-cv-00087,wyd,2016,2:16-cv-00087,4,07/12/2016,"in favor of Defendants by the Honorable Scott W Skavdahl. (Court Staff, sds)",9,85,in favor of Defendants by the Honorable,Scott W Skavdahl,". (Court Staff, sds)",49,65,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,3,08/25/2016,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Production of Documents filed,0,81,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Production of Documents filed,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,4,08/26/2016,ORDER by the Honorable Kelly H Rankin Denying Without Prejudice 4 Plaintiff's Motion,0,84,ORDER by the Honorable,Kelly H Rankin,Denying Without Prejudice 4 Plaintiff's Motion,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,5,11/10/2016,ORDER by the Honorable Scott W Skavdahl granting 2 Motion for Leave to Proceed,0,78,ORDER by the Honorable,Scott W Skavdahl,granting 2 Motion for Leave to Proceed,23,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,13,11/23/2016,filed by Gus Holbrook by the Honorable Scott W Skavdahl. Defendants Jerry Clark and Mark Benton,51,146,filed by Gus Holbrook by the Honorable,Scott W Skavdahl,. Defendants Jerry Clark and Mark Benton,90,106,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,15,12/21/2016,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Substitution of Parties filed,0,81,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Substitution of Parties filed,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,17,01/06/2017,ORDER by the Honorable Kelly H Rankin denying 16 Motion to Substitute Party.,0,76,ORDER by the Honorable,Kelly H Rankin,denying 16 Motion to Substitute Party.,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,26,01/19/2017,MOTION REFERRED TO Judge Kelly H Rankin. MOTION to Stay Discovery re 24,0,71,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION to Stay Discovery re 24,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,27,01/23/2017,ORDER by the Honorable Kelly H Rankin granting 27 Motion to Stay Discovery.,0,75,ORDER by the Honorable,Kelly H Rankin,granting 27 Motion to Stay Discovery.,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,28,01/30/2017,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Extension of Time (,0,71,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Extension of Time (,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,29,02/01/2017,ORDER by the Honorable Kelly H Rankin granting 29 Motion for Extension of Time,0,78,ORDER by the Honorable,Kelly H Rankin,granting 29 Motion for Extension of Time,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,40,04/03/2017,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Extension of Time (,0,71,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Extension of Time (,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,42,04/04/2017,ORDER by the Honorable Kelly H Rankin granting 40 Motion for Extension of Time,0,78,ORDER by the Honorable,Kelly H Rankin,granting 40 Motion for Extension of Time,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,44,05/02/2017,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Leave to file Amended,0,73,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Leave to file Amended,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,46,05/05/2017,ORDER by the Honorable Kelly H Rankin Requiring a Substantive Response to 44 Motion,0,83,ORDER by the Honorable,Kelly H Rankin,Requiring a Substantive Response to 44 Motion,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,55,08/23/2017,FOR TEMPORARY RESTRAINING ORDER by the Honorable Scott W Skavdahl denying 36 Motion for Temporary Restraining Order,63,178,FOR TEMPORARY RESTRAINING ORDER by the Honorable,Scott W Skavdahl,denying 36 Motion for Temporary Restraining Order,112,128,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,56,08/24/2017,MOTION REFERRED TO Judge Kelly H. Rankin. MOTION to Amend/Correct 55,0,68,MOTION REFERRED TO Judge,Kelly H. Rankin,. MOTION to Amend/Correct 55,25,40,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,58,08/25/2017,"Motion to Dismiss, by the Honorable Scott W Skavdahl.(cc: Pro Se Plaintiff",149,223,"Motion to Dismiss, by the Honorable",Scott W Skavdahl,.(cc: Pro Se Plaintiff,185,201,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,59,08/30/2017,"ORDER by the Honorable Kelly H Rankin Denying, Without Prejudice, Plaintiff's",0,77,ORDER by the Honorable,Kelly H Rankin,"Denying, Without Prejudice, Plaintiff's",23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,64,09/21/2017,ORDER by the Honorable Scott W Skavdahl denying 60 Motion for Leave to Appeal,0,77,ORDER by the Honorable,Scott W Skavdahl,denying 60 Motion for Leave to Appeal,23,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,66,01/04/2018,2018 09:30 AM in Judge Rankin Chambers (Room No. 2204),79,133,2018 09:30 AM in Judge,Rankin,Chambers (Room No. 2204),102,108,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,66,01/04/2018,Room No. 2204) before Honorable Kelly H. Rankin. All parties should appear by telephone,119,206,Room No. 2204) before Honorable,Kelly H. Rankin,. All parties should appear by telephone,151,166,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,67,01/31/2018,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for an Order Compelling Discovery,0,81,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for an Order Compelling Discovery,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,69,02/06/2018,ORDER by the Honorable Kelly H Rankin granting in part and denying in part,0,74,ORDER by the Honorable,Kelly H Rankin,granting in part and denying in part,23,37,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,74,03/06/2018,ORDER by the Honorable Scott W Skavdahl overruling plaintiff's 26 Objection to Order,0,84,ORDER by the Honorable,Scott W Skavdahl,overruling plaintiff's 26 Objection to Order,23,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,75,04/13/2018,"MOTION REFERRED TO Judge Kelly H Rankin. ""MOTION and Request for Sanction",0,73,MOTION REFERRED TO Judge,Kelly H Rankin,". ""MOTION and Request for Sanction",25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,76,04/13/2018,MOTION REFERRED TO Judge Kelly H Rankin. MOTION for Extension of Time (,0,71,MOTION REFERRED TO Judge,Kelly H Rankin,. MOTION for Extension of Time (,25,39,line_entry,SPACY JNLP2
wyd;;2:16-cv-00225,wyd,2016,2:16-cv-00225,79,05/04/2018,ORDER by the Honorable Kelly H Rankin denying 74 Motion for Sanctions; granting,0,79,ORDER by the Honorable,Kelly H Rankin,denying 74 Motion for Sanctions; granting,23,37,line_entry,SPACY JNLP2
