ucid,court,cid,year,filing_date,original_text,extracted_pretext,extracted_entity,Ent_span_start,Ent_span_end,Pre_span_start,Pre_span_end,docket_source,Entity_Extraction_Method,judge_enum,party_enum,pacer_id,docket_index
akd;;3:16-cr-00011,akd,3:16-cr-00011,2016,01/20/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cr-00088,akd,3:16-cr-00088,2016,08/01/2016,Kevin F. McCoy,,Kevin F. McCoy,0,14,,,case_parties,referred_judges,1,0.0,1.0,
akd;;3:16-cr-00088,akd,3:16-cr-00088,2016,08/01/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cr-00102,akd,3:16-cr-00102,2016,08/24/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cr-00113,akd,3:16-cr-00113,2016,09/22/2016,Timothy M. Burgess,,Timothy M. Burgess,0,18,,,case_parties,assigned_judge,0,0.0,1.0,
akd;;3:16-cv-00019,akd,3:16-cv-00019,2016,01/19/2016,H. Russel Holland,,H. Russel Holland,0,17,,,case_header,assigned_judge,0,,,
akd;;3:16-cv-00113,akd,3:16-cv-00113,2016,06/06/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_header,assigned_judge,0,,,
akd;;3:16-cv-00118,akd,3:16-cv-00118,2016,06/09/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_header,assigned_judge,0,,,
akd;;3:16-cv-00146,akd,3:16-cv-00146,2016,06/29/2016,Sharon L. Gleason,,Sharon L. Gleason,0,17,,,case_header,assigned_judge,0,,,
akd;;3:16-cv-00237,akd,3:16-cv-00237,2016,10/11/2016,H. Russel Holland,,H. Russel Holland,0,17,,,case_header,assigned_judge,0,,,
akd;;4:16-cr-00024,akd,4:16-cr-00024,2016,12/14/2016,Ralph R. Beistline,,Ralph R. Beistline,0,18,,,case_parties,assigned_judge,0,0.0,1.0,
almd;;2:16-cr-00324,almd,2:16-cr-00324,2016,07/12/2016,Honorable Judge Gray M. Borden,Honorable Judge,Gray M. Borden,16,30,0.0,15.0,case_parties,referred_judges,1,0.0,1.0,
