ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
alsd;;1:16-cv-00162,alsd,2016,1:16-cv-00162,3,04/19/2016,/2016. Signed by Magistrate Judge Sonja F. Bivins on 4/19/2016.,157,220,/2016. Signed by Magistrate Judge,Sonja F. Bivins,on 4/19/2016.,191,206,line_entry,SPACY JNLP2
alsd;;1:16-cv-00162,alsd,2016,1:16-cv-00162,5,06/02/2016,/2016. Signed by Magistrate Judge Sonja F. Bivins on 6/2/2016.,105,167,/2016. Signed by Magistrate Judge,Sonja F. Bivins,on 6/2/2016.,139,154,line_entry,SPACY JNLP2
alsd;;1:16-cv-00162,alsd,2016,1:16-cv-00162,7,06/02/2016,transferred from the docket of Magistrate Judge Sonja F. Bivins and is now assigned to the docket,21,118,transferred from the docket of Magistrate Judge,Sonja F. Bivins,and is now assigned to the docket,69,84,line_entry,SPACY JNLP2
alsd;;1:16-cv-00162,alsd,2016,1:16-cv-00162,7,06/02/2016,now assigned to the docket of Judge Kristi K. DuBose and Magistrate Judge Sonja F. Bivins,92,181,now assigned to the docket of Judge,Kristi K. DuBose,and Magistrate Judge Sonja F. Bivins,128,144,line_entry,SPACY JNLP2
alsd;;1:16-cv-00162,alsd,2016,1:16-cv-00162,7,06/02/2016,Kristi K. DuBose and Magistrate Judge Sonja F. Bivins. To insure that your pleadings are,128,216,Kristi K. DuBose and Magistrate Judge,Sonja F. Bivins,. To insure that your pleadings are,166,181,line_entry,SPACY JNLP2
alsd;;1:16-cv-00362,alsd,2016,1:16-cv-00362,0,10/04/2016,document..  Signed by Magistrate Judge Katherine P. Nelson on 10/4/2016.,291,363,document..  Signed by Magistrate Judge,Katherine P. Nelson,on 10/4/2016.,330,349,line_entry,SPACY JNLP2
alsd;;1:16-cv-00362,alsd,2016,1:16-cv-00362,1,11/03/2016,appeal.  Signed by Chief Judge William H. Steele on 11/3/2016.,403,465,appeal.  Signed by Chief Judge,William H. Steele,on 11/3/2016.,434,451,line_entry,SPACY JNLP2
alsd;;1:16-cv-00362,alsd,2016,1:16-cv-00362,2,11/03/2016,pauperis.  Signed by Chief Judge William H. Steele on 11/3/2016.,230,294,pauperis.  Signed by Chief Judge,William H. Steele,on 11/3/2016.,263,280,line_entry,SPACY JNLP2
alsd;;1:16-cv-00362,alsd,2016,1:16-cv-00362,3,01/19/2017,denied.  Signed by Chief Judge William H. Steele on 1/19/2017.,450,512,denied.  Signed by Chief Judge,William H. Steele,on 1/19/2017.,481,498,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,9,09/29/2016,/2016. Signed by Chief Judge William H. Steele on 9/29/2016.,104,164,/2016. Signed by Chief Judge,William H. Steele,on 9/29/2016.,133,150,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,11,10/14/2016,: 11 MOTION to Supplement to Judge Steele (tgw),16,63,: 11 MOTION to Supplement to Judge,Steele,(tgw),51,57,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,12,10/19/2016,without prejudice. Signed by Chief Judge William H. Steele on 10/19/2016.,115,188,without prejudice. Signed by Chief Judge,William H. Steele,on 10/19/2016.,156,173,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,13,03/28/2017,to prosecute. Signed by District Judge William H. Steele on 3/28/2017.,151,221,to prosecute. Signed by District Judge,William H. Steele,on 3/28/2017.,190,207,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,16,04/11/2017,to Order to Show Cause to Judge Steele. (tgw),24,69,to Order to Show Cause to Judge,Steele,. (tgw),56,62,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,17,04/18/2017,this matter. Signed by District Judge William H. Steele on 4/18/2017.,195,264,this matter. Signed by District Judge,William H. Steele,on 4/18/2017.,233,250,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,20,05/10/2017,18 Notice of Voluntary Dismissal to Judge Steele. (tgw),37,92,18 Notice of Voluntary Dismissal to Judge,Steele,. (tgw),79,85,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,21,05/10/2017,Document endorsed NOTED by District Judge William H. Steele: Notice of Voluntary Dismissal 18 filed,0,99,Document endorsed NOTED by District Judge,William H. Steele,: Notice of Voluntary Dismissal 18 filed,42,59,line_entry,SPACY JNLP2
alsd;;1:16-cv-00098,alsd,2016,1:16-cv-00098,22,05/15/2017,is dismissed. Signed by District Judge William H. Steele on 5/15/2017.,132,202,is dismissed. Signed by District Judge,William H. Steele,on 5/15/2017.,171,188,line_entry,SPACY JNLP2
alsd;;1:16-cr-00104,alsd,2016,1:16-cr-00104,1,05/02/2016,Entry for proceedings held before Magistrate Judge Sonja F. Bivins:Telephone Conference as to Benjamin Argueta,7,117,Entry for proceedings held before Magistrate Judge,Sonja F. Bivins,:Telephone Conference as to Benjamin Argueta,58,73,line_entry,SPACY JNLP2
