ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,4,10/17/2016,"26, 2016. Signed by Honorable Barry A. Bryant on October 17, 2016. (",102,170,"26, 2016. Signed by Honorable",Barry A. Bryant,"on October 17, 2016. (",132,147,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,7,10/26/2016,"10/16. Signed by Honorable Barry A. Bryant on October 26, 2016. (",97,162,10/16. Signed by Honorable,Barry A. Bryant,"on October 26, 2016. (",124,139,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,11,11/10/2016,Minute Entry for proceedings held before Honorable Barry A. Bryant: Arraignment as to Spencer L.,0,96,Minute Entry for proceedings held before Honorable,Barry A. Bryant,: Arraignment as to Spencer L.,51,66,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,11,11/10/2016,Dorado -- 2nd flr before Honorable Harry F. Barnes. (Danita Gallagher-Digital Recorder,371,457,Dorado -- 2nd flr before Honorable,Harry F. Barnes,. (Danita Gallagher-Digital Recorder,406,421,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,12,11/10/2016,". Marshals Service.. Signed by Honorable Barry A. Bryant on November 10, 2016. (",86,166,. Marshals Service.. Signed by Honorable,Barry A. Bryant,"on November 10, 2016. (",127,142,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,13,11/10/2016,"9/2017. Signed by Honorable Barry A. Bryant on November 10, 2016. (",118,185,9/2017. Signed by Honorable,Barry A. Bryant,"on November 10, 2016. (",146,161,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,14,11/14/2016,"Dorado -- 2nd flr before Honorable Harry F. Barnes. Counsel are to be present,",103,181,Dorado -- 2nd flr before Honorable,Harry F. Barnes,". Counsel are to be present,",138,153,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,14,11/14/2016,"date of trial. Signed by Honorable Harry F. Barnes on November 14, 2016. (",212,286,date of trial. Signed by Honorable,Harry F. Barnes,"on November 14, 2016. (",247,262,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,15,11/14/2016,"CJA Representation Appointment. Signed by Honorable Barry A. Bryant on November 10, 2016. (",68,159,CJA Representation Appointment. Signed by Honorable,Barry A. Bryant,"on November 10, 2016. (",120,135,line_entry,SPACY JNLP2
arwd;;1:16-cr-10014,arwd,2016,1:16-cr-10014,17,12/19/2016,"(1). Signed by Honorable Harry F. Barnes on December 19, 2016. (",106,170,(1). Signed by Honorable,Harry F. Barnes,"on December 19, 2016. (",131,146,line_entry,SPACY JNLP2
