ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,0,06/07/2016,INDICTMENT returned before Judge Jeffrey A. Meyer. Grand jury number N-15,0,73,INDICTMENT returned before Judge,Jeffrey A. Meyer,. Grand jury number N-15,33,49,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,1,06/07/2016,REQUIREMENTS IN THIS ORDER Signed by Judge Victor A. Bolden on 6/7/2016.,90,162,REQUIREMENTS IN THIS ORDER Signed by Judge,Victor A. Bolden,on 6/7/2016.,133,149,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,2,06/23/2016,"USM for service. Signed by Judge Sarah A. L. Merriam. (Caffrey, A.)",144,211,USM for service. Signed by Judge,Sarah A. L. Merriam,". (Caffrey, A.)",177,196,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,3,07/01/2016,Minute Entry for proceedings held before Judge William I. Garfinkel:Initial Appearance & Arraignment as to,0,106,Minute Entry for proceedings held before Judge,William I. Garfinkel,:Initial Appearance & Arraignment as to,47,67,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,3,07/01/2016,"., Bridgeport, CT before Judge Victor A. Bolden), Added attorney James P Maguire",321,401,"., Bridgeport, CT before Judge",Victor A. Bolden,"), Added attorney James P Maguire",352,368,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,5,07/01/2016,to Edward Fulton. Signed by Judge William I. Garfinkel on 7/1/2016.,22,89,to Edward Fulton. Signed by Judge,William I. Garfinkel,on 7/1/2016.,56,76,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,6,07/01/2016,as to Edward Fulton Signed by Judge William I. Garfinkel on 7/1/2016.,41,110,as to Edward Fulton Signed by Judge,William I. Garfinkel,on 7/1/2016.,77,97,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,9,08/10/2016,"., Bridgeport, CT before Judge Victor A. Bolden. Based on the filings submitted by",196,278,"., Bridgeport, CT before Judge",Victor A. Bolden,. Based on the filings submitted by,227,243,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,9,08/10/2016,(h). Signed by Judge Victor A. Bolden on 8/10/2016.,985,1036,(h). Signed by Judge,Victor A. Bolden,on 8/10/2016.,1006,1022,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,10,08/11/2016,"., Bridgeport, CT before Judge Victor A. Bolden (LaMura, K.) (",275,337,"., Bridgeport, CT before Judge",Victor A. Bolden,"(LaMura, K.) (",306,322,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,12,10/25/2016,ORDER REFERRING CASE to Magistrate Judge William I. Garfinkel for Motion 13 MOTION for Release from,0,99,ORDER REFERRING CASE to Magistrate Judge,William I. Garfinkel,for Motion 13 MOTION for Release from,41,61,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,12,10/25/2016,Custody and Bond Hearing Signed by Judge Victor A. Bolden on 10/25/16.,100,170,Custody and Bond Hearing Signed by Judge,Victor A. Bolden,on 10/25/16.,141,157,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,12,10/25/2016,"25/16.Motion referred to William I. Garfinkel(Gould, K.) (",164,222,25/16.Motion referred to,William I. Garfinkel,"(Gould, K.) (",189,209,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,13,11/04/2016,Minute Entry for proceedings held before Judge William I. Garfinkel: Bond Hearing as to Edward Fulton,0,101,Minute Entry for proceedings held before Judge,William I. Garfinkel,: Bond Hearing as to Edward Fulton,47,67,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,14,11/04/2016,to Edward Fulton. Signed by Judge William I. Garfinkel on 11/4/2016.,22,90,to Edward Fulton. Signed by Judge,William I. Garfinkel,on 11/4/2016.,56,76,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,17,12/02/2016,"., Bridgeport, CT before Judge Victor A. Bolden. Based on the filings submitted by",182,264,"., Bridgeport, CT before Judge",Victor A. Bolden,. Based on the filings submitted by,213,229,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,17,12/02/2016,(h). Signed by Judge Victor A. Bolden on 12/2/2016.,1057,1108,(h). Signed by Judge,Victor A. Bolden,on 12/2/2016.,1078,1094,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,18,12/02/2016,"., Bridgeport, CT before Judge Victor A. Bolden (Chen, C.) (",254,314,"., Bridgeport, CT before Judge",Victor A. Bolden,"(Chen, C.) (",285,301,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,21,01/31/2017,"., Bridgeport, CT before Judge Victor A. Bolden. Based on the filings submitted by",191,273,"., Bridgeport, CT before Judge",Victor A. Bolden,. Based on the filings submitted by,222,238,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,21,01/31/2017,(h). Signed by Judge Victor A. Bolden on 1/31/2017.,1066,1117,(h). Signed by Judge,Victor A. Bolden,on 1/31/2017.,1087,1103,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,22,02/21/2017,"2017 10:00 AM before Judge Victor A. Bolden (Markle, Peter) (Entered",145,213,2017 10:00 AM before Judge,Victor A. Bolden,"(Markle, Peter) (Entered",172,188,line_entry,SPACY JNLP2
ctd;;3:16-cr-00113,ctd,2016,3:16-cr-00113,23,03/13/2017,Minute Entry for proceedings held before Judge Victor A. Bolden:Change of Plea Hearing as to,0,92,Minute Entry for proceedings held before Judge,Victor A. Bolden,:Change of Plea Hearing as to,47,63,line_entry,SPACY JNLP2
