ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,2,07/20/2016,22/2016. Signed by JUDGE MARK E WALKER on 7/20/2016.,193,245,22/2016. Signed by JUDGE,MARK E WALKER,on 7/20/2016.,218,231,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,9,09/09/2016,BY DISTRICT JUDGE: Chambers of JUDGE MARK E WALKER notified that action is needed Re:,16,101,BY DISTRICT JUDGE: Chambers of JUDGE,MARK E WALKER,notified that action is needed Re:,53,66,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,11,09/13/2016,BY DISTRICT JUDGE: Chambers of JUDGE MARK E WALKER notified that action is needed Re:,16,101,BY DISTRICT JUDGE: Chambers of JUDGE,MARK E WALKER,notified that action is needed Re:,53,66,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,13,09/23/2016,.S. Courthouse Tallahassee before JUDGE MARK E WALKER. Mediation Report due by 6/,225,306,.S. Courthouse Tallahassee before JUDGE,MARK E WALKER,. Mediation Report due by 6/,265,278,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,13,09/23/2016,referred to mediation. Signed by JUDGE MARK E WALKER on 9/23/2016.,319,385,referred to mediation. Signed by JUDGE,MARK E WALKER,on 9/23/2016.,358,371,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,21,03/30/2017,.S. Courthouse Tallahassee before JUDGE MARK E WALKER. Pretrial Conference set for 7/,160,245,.S. Courthouse Tallahassee before JUDGE,MARK E WALKER,. Pretrial Conference set for 7/,200,213,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,21,03/30/2017,.S. Courthouse Tallahassee before JUDGE MARK E WALKER. Signed by JUDGE MARK E WALKER,266,350,.S. Courthouse Tallahassee before JUDGE,MARK E WALKER,. Signed by JUDGE MARK E WALKER,306,319,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,21,03/30/2017,MARK E WALKER. Signed by JUDGE MARK E WALKER on 3/30/2017.,306,364,MARK E WALKER. Signed by JUDGE,MARK E WALKER,on 3/30/2017.,337,350,line_entry,SPACY JNLP2
flnd;;4:16-cv-00451,flnd,2016,4:16-cv-00451,23,06/09/2017,close the file. Signed by JUDGE MARK E WALKER on 6/9/2017.,384,442,close the file. Signed by JUDGE,MARK E WALKER,on 6/9/2017.,416,429,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,3,03/17/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,3,03/17/2016,"Writ of Habeas Corpus. Referred to CHARLES J KAHN, JR. (sdw) (Entered: 03",187,260,Writ of Habeas Corpus. Referred to,"CHARLES J KAHN, JR.",(sdw) (Entered: 03,222,241,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,4,03/22/2016,"Habeas Corpus. Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on 3/22/2016.",370,444,Habeas Corpus. Signed by MAGISTRATE JUDGE,"CHARLES J KAHN, JR",on 3/22/2016.,412,430,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,6,03/31/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,8,03/31/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,9,04/01/2016,"the petition. Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on 4/1/2016.",375,447,the petition. Signed by MAGISTRATE JUDGE,"CHARLES J KAHN, JR",on 4/1/2016.,416,434,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,14,05/31/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,14,05/31/2016,"Answer re 7 Order. Referred to CHARLES J KAHN, JR. (djb) (Entered: 05",160,229,Answer re 7 Order. Referred to,"CHARLES J KAHN, JR.",(djb) (Entered: 05,191,210,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,15,05/31/2016,", 2016. Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on May 31, 2016. (",116,188,", 2016. Signed by MAGISTRATE JUDGE","CHARLES J KAHN, JR","on May 31, 2016. (",151,169,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,18,06/08/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,19,06/08/2016,"2016.) Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on 6/8/2016.",134,199,2016.) Signed by MAGISTRATE JUDGE,"CHARLES J KAHN, JR",on 6/8/2016.,168,186,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,21,06/17/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,22,06/22/2016,"2016.) Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on 6/22/2016.",250,316,2016.) Signed by MAGISTRATE JUDGE,"CHARLES J KAHN, JR",on 6/22/2016.,284,302,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,24,07/18/2016,"MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE CHARLES J KAHN, JR notified that action is needed Re:",19,119,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,"CHARLES J KAHN, JR",notified that action is needed Re:,66,84,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,25,08/04/2016,"flag set. Signed by MAGISTRATE JUDGE CHARLES J KAHN, JR on 8/4/2016.",189,257,flag set. Signed by MAGISTRATE JUDGE,"CHARLES J KAHN, JR",on 8/4/2016.,226,244,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,27,09/01/2016,DISTRICT JUDGE: Chambers of SENIOR JUDGE MAURICE M PAUL notified that action is needed Re:,19,109,DISTRICT JUDGE: Chambers of SENIOR JUDGE,MAURICE M PAUL,notified that action is needed Re:,60,74,line_entry,SPACY JNLP2
flnd;;5:16-cv-00089,flnd,2016,5:16-cv-00089,28,09/07/2016,2241 is DENIED. Signed by JUDGE MARK E WALKER on 9/7/2016.,118,176,2241 is DENIED. Signed by JUDGE,MARK E WALKER,on 9/7/2016.,150,163,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,3,03/15/2016,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE GARY R JONES notified that action is needed Re:,19,113,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,GARY R JONES,notified that action is needed Re:,66,78,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,4,05/12/2016,2016). Signed by MAGISTRATE JUDGE GARY R JONES on 5/12/2016.,143,203,2016). Signed by MAGISTRATE JUDGE,GARY R JONES,on 5/12/2016.,177,189,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,5,06/20/2016,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE GARY R JONES notified that action is needed Re:,19,113,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,GARY R JONES,notified that action is needed Re:,66,78,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,6,06/21/2016,/2016. Signed by MAGISTRATE JUDGE GARY R JONES on 6/21/2016.,53,113,/2016. Signed by MAGISTRATE JUDGE,GARY R JONES,on 6/21/2016.,87,99,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,8,06/29/2016,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE GARY R JONES notified that action is needed Re:,19,113,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,GARY R JONES,notified that action is needed Re:,66,78,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,9,06/30/2016,2016). Signed by MAGISTRATE JUDGE GARY R JONES on 6/30/2016 -,370,431,2016). Signed by MAGISTRATE JUDGE,GARY R JONES,on 6/30/2016 -,404,416,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,10,07/08/2016,"Plaintiff, DANIEL JOSEPH MORRIS to Judge Jones (atm) (Entered: 07",12,77,"Plaintiff, DANIEL JOSEPH MORRIS to Judge",Jones,(atm) (Entered: 07,53,58,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,11,07/14/2016,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE GARY R JONES notified that action is needed Re:,19,113,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,GARY R JONES,notified that action is needed Re:,66,78,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,14,09/26/2016,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE GARY R JONES notified that action is needed Re:,19,113,MAGISTRATE JUDGE: Chambers of MAGISTRATE JUDGE,GARY R JONES,notified that action is needed Re:,66,78,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,16,10/11/2016,AND SCHEDULING ORDER signed by MAGISTRATE JUDGE GARY R JONES on 10/11/16 -,16,90,AND SCHEDULING ORDER signed by MAGISTRATE JUDGE,GARY R JONES,on 10/11/16 -,64,76,line_entry,SPACY JNLP2
flnd;;5:16-cv-00079,flnd,2016,5:16-cv-00079,17,10/11/2016,/Reset Deadline - Chambers of Judge Gary R Jones to be notified that action is needed,3,88,/Reset Deadline - Chambers of Judge,Gary R Jones,to be notified that action is needed,39,51,line_entry,SPACY JNLP2
